Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
150,,408.0,Child Labor,408-01,Operations and suppliers at significant risk for incidents of child labor,,Approach to Human Rights,,,South32,2023.0,"In FY23, South32 updated its Approach to Human Rights to detail its governance framework to embed the UNGPs across its business and to include the human rights requirements of the Global Industry Standard on Tailings Management (GISTM).",,,Databook,53,,,"Approach to Human Rights, governance framework, human rights requirement",16,G,,,,,,,,,,,,,,,,
151,,409.0,Forced or Compulsory Labor,409-01,Operations and suppliers ar significant risk for incidents of forced or compulsory labor,,Human Rights Working Group,,,South32,2023.0,"South32 continued strengthening its cross-functional approach to understanding, managing, and embedding its human rights approach across the business. South32's Human Rights Working Group (HRWG) held three meetings, covering in-depth reviews of the Hillside Aluminium and Mozal Aluminium HRIAs, just transition and climate change, due diligence, complaints and grievance mechanisms, Indigenous, Traditional, and Tribal Peoples, and cultural heritage.\t",,,Databook,53,,,"Human Rights Working Group, human rights, cultural heritage",16,G,,,,,,,,,,,,,,,,
152,,410.0,Security Practices,410-01,Security personnel trained in human rights policies or procedures,South32 trained 913 employees on cultural awareness.,,,,South32,2023.0,,,,Databook,Databook,,,,,,,,,,,,,,,,,,,,,
153,,411.0,Rights of Indigenous Peoples,411-01,Incidents of violations involving rights of indigenous peoples,South32 needed complete information on this disclosure.,,,NO DISCLOSURE,South32,2023.0,,,,Databook,Databook,,,,,,,,,,,,,,,,,,,,,
154,,412.0,Human Rights Assessment,412-01,Operations that have been subject to human rights reviews or impacts assessments,,Uluru Statement from the Heart,,,South32,2023.0,"South32 supports the Uluru Statement from the Heart as the pathway towards reconciliation by Australia's First Nations Peoples to enshrine a voice for First Nations Peoples into the Australian constitution. As a company, South32 believes it is in its interests that the communities who support its operations are thriving, and South32 further believes that this will be supported if First Nations Peoples have a say on matters relating to them. In FY23, South32 raised awareness and created opportunities for open discussion amongst its employees on an Indigenous Voice to Parliament by sharing why South32 supports it and how it links to South32's purpose, values and vision for reconciliation.",,,Databook,,,,Uluru Statement from the Heart,10,S,,,,,,,,,,,,,,,,
155,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,Cultural awareness training,,,South32,2023.0,"South32 helped its people become culturally aware and develop the skills and knowledge to respectfully engage with Aboriginal and Torres Strait Islander Peoples in their day-to-day work, with mandatory cultural awareness training in place for all Australian employees and tailored training for employees that engage with Aboriginal and Torres Strait Islander Peoples where it is deemed necessary.",,,Databook,37,,,"Cultural awareness training, Aboriginal and Torres Strait Islander, Australian employee","10, 16","S, G",,,,,,,,,,,,,,,,
156,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,Human rights training,,,South32,2023.0,"South32's human rights training suite includes an introductory module and two learning modules on modern slavery and security. In FY23, these modules were available and assigned to selected employees based on role.",,,Databook,54,,,"Human rights training, introductory module, modern slavery",16,G,,,,,,,,,,,,,,,,
157,,412.0,Human Rights Assessment,412-03,Significant investment agreements and contracts that include human rights clauses or that underwent human rights screening,,Supplier risk mapping,,,South32,2023.0,"South32 uses a suite of tools to map supplier risk, including internal tools such as supplier data analytics and external tools to provide an informed view of its supplier risk, which is then used to design South32's supplier due diligence program. This mapping provides a snapshot of potential modern slavery-related risks across South32's supply chains. In FY23, these risks included fair remuneration, psychological safety and workplace conditions.",,,Databook,,,,"Supplier risk mapping, supplier data analytics, supplier due diligence","8, 16","S, G",,Modern Slavery Statement page 11,,,,,,,,,,,,,,
158,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Reconciliation Action Plan,,,South32,2023.0,"South32 developed its Reflect Reconciliation Action Plan (RAP) in 2018, which created a strong foundation for long-term change. In 2020, South32 launched its next-level Innovate RAP to build on its previous commitments and integrate reconciliation activities into its business practices and decision-making.",,,Databook,37,,,"Reconciliation Action Plan, long-term change, reconciliation activity",10,S,,,,,,,,,,,,,,,,
159,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Approach to Cultural Heritage,,,South32,2023.0,"This year, South32 updated its cultural heritage approach to apply globally and developed an approach to the engagement of indigenous, traditional, and tribal peoples. Both approaches are supported and operationalised by South32's internal social performance standard and include further requirements, stewardship, and cultural heritage control implementation.",,,Databook,38,,,"Approach to Cultural Heritage, people engagement, social performance standard",10,S,,,,,,,,,,,,,,,,
