Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
74,,302.0,Energy,302-02,Energy consumption outside of the organization,,,,NO DISCLOSURE,Stockland,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,302.0,Energy,302-03,Energy intensity,,,,NO DISCLOSURE,Stockland,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,302.0,Energy,302-04,Reduction of energy consumption,,,,NO DISCLOSURE,Stockland,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,302.0,Energy,302-05,Reductions in energy requirements of products and services,,,,NO DISCLOSURE,Stockland,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,303.0,Water and Effluents,303-01,Interactions with water as a shared resource,,,,NO DISCLOSURE,Stockland,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,,,,NO DISCLOSURE,Stockland,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,,,Green Star rating,,Stockland,2023.0,"Stockland uses the Green Building Council of Australia's (GBCA) Green Star rating tools to support the design and delivery of water initiatives and set a platform for optimal performance. In Commercial Properties, all new Town Centre and Workplace developments and redevelopments (excluding small refurbishments and extensions) are required to achieve a minimum 5-star Green Star Buildings rating with a review of opportunities to reach 6 stars. In the Logistics developments, Stockland targets a minimum 4-star Green Star Buildings rating. Green Star sets minimum standards for water management, and certification assists its assets in meeting its water management targets. Stockland also collects data on water performance to understand opportunities for improvement.",,,,,,,"Green Star rating, Green Building Council of Australia, water management","6, 12",E,,Environmental Management Approach page 4,,,,,,,,,,,,,,
81,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,,,Water Sensitive Urban Design,,Stockland,2023.0,"Stockland considers water-sensitive urban design (WSUD) in its developments. WSUD achieves sustainable water management in urban areas through integration with the urban design and considers all of the elements of the urban water cycle, including potable water, wastewater, rainwater, stormwater and groundwater. Stockland is required to meet minimum standards for WSUD across all projects, regardless of local requirements.",,,,,,,"Water Sensitive Urban Design, sustainable water management, water cycle","6, 12",E,,Environmental Management Approach page 4,,,,,,,,,,,,,,
82,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,,,Water sub-metering systems,,Stockland,2023.0,Stockland installs water sub-metering systems to monitor water consumption in its Town Centre and Workplace assets. These systems have improved clarity on where water is being consumed and assisted Stockland's asset management teams in rectifying wastage more efficiently. Stockland also employs building optimisation services with data analytics partners and monitors day-to-day consumption about an ideal water consumption model.,,,,,,,"Water sub-metering system, water consumption, building optimisation service","6, 12",E,,Environmental Management Approach page 5,,,,,,,,,,,,,,
83,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,,,Water landscaping,,Stockland,2023.0,"In its Communities portfolio, Stockland seeks to promote water-efficient landscaping to enhance water efficiency in the day-to-day lives of its communities. Water-efficient landscaping can include using rain sensors that can be controlled remotely to operate a drip irrigation system and specifying drought-resistant species for roadsides and parks or artificial turf instead of lawns. Other water-efficient landscaping initiatives include drought-resistant species in residents' sales covenants, low or no-irrigation landscaping and water tanks or basins to service irrigation needs.",,,,,,,"Water-efficient landscaping, water efficiency, rain sensor","6, 12",E,,Environmental Management Approach page 5,,,,,,,,,,,,,,
84,,303.0,Water and Effluents,303-03,Water withdrawal,"Stockland consumed 428,997 kL of non-potable water in 2023.",,,,Stockland,2023.0,,,,Data pack,Data pack,,,,,,,,,,,,,,,,,,,,,
85,,303.0,Water and Effluents,303-04,Water discharge,,,,NO DISCLOSURE,Stockland,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,303.0,Water and Effluents,303-05,Water consumption,,,,NO DISCLOSURE,Stockland,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
