Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
50,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Financial Inclusion Action Plan,,,Suncorp,2023.0,"We are also committed to further understanding the barriers impacting homeowners when purchasing insurance through our Financial Inclusion Action Plan1 leadership commitment. Suncorp is working with our customers, communities and critical decision-makers to explore and design a lower-cost home insurance solution to help reduce the barriers to insurance.",,,Sustainabiliy Reporting Supp,,25,,"Financial Inclusion Action Plan, Leadership Commitment, Lower-Cost Home",89.0,S,,,,,,,,,,,,,,,,
51,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Bundaberg Flood Levee,,,Suncorp,2023.0,"Suncorp has strongly advocated for the Bundaberg Flood Levee Project over several years. This year, the Queensland and Federal governments announced funding for the levee, which, when built, could see affected locals save around $1,000 a year on their home insurance premiums.",,,Sustainabiliy Reporting Supp,,25,,"Bundaberg Flood Levee, Queensland, Federal Governments, Local Save",89.0,S,,,,,,,,,,,,,,,,
52,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Australian Cyber Security Centre,,,Suncorp,2023.0,"Our Bank backed the Australian Banking AssociationÃ¢ÂÂs (ABA) new scams-focused campaign and ramped up customer education as scammersÃ¢ÂÂ tactics became increasingly sophisticated. We have a dedicated Financial Crimes team that uses 24-hour detection technology, and our Group Cyber Security team works closely with the Australian Cyber Security Centre.",,,Sustainabiliy Reporting Supp,,25,,"Australian Banking Association, Scams-Focused Campaign, Scamers' Tactics",89.0,S,,,,,,,,,,,,,,,,
53,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Suncorp Secured Two Factor App,,,Suncorp,2023.0,"We have continued to invest in technology to protect customers. This year, we have added new warning messages in the Suncorp Secured Two Factor App and in our SMS one-time codes to encourage customers to stop and think before they are tricked into giving codes to offenders. We also deployed an extension to our behavioural and detection analytics systems, enabling our teams to detect when customers operate their Internet banking while their computer is remotely accessed.",,,Sustainabiliy Reporting Supp,,25,,"Protect Customer, Suncorp Secured Two Factor App, SMS one-time codes",89.0,S,,,,,,,,,,,,,,,,
54,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,AAMI Driver Rewards,,,Suncorp,2023.0,"This year, AAMI introduced a new Driver Rewards feature on its app, which delivered an enhanced telematics customer experience and has demonstrated a powerful ability to improve individual driving behaviours. Since launch, over 70,000 customers have registered and had over 80,000,000 kilometres of driving data analysed and communicated back, leading to greater road safety awareness and responsibility.",,,Sustainabiliy Reporting Supp,,25,,"AAMI, Driver Rewards, Telematics Customer Experience",89.0,S,,,,,,,,,,,,,,,,
55,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Community grants,,,Suncorp,2023.0,"Suncorp and the Foundation for Rural & Regional Renewal (FRRR) awarded a further 27 grants in FY23 to local community groups affected by the 2022 East Coast Floods. With a combined worth of $500,000, the grants funded projects to see communities better equipped to manage future natural disasters. The next round of grants awarded in FY24 will help communities impacted by the 2022/23 Victorian floods.",,,Sustainabiliy Reporting Supp,,30,,"Foundation for Rural & Regional Renewal, East Coast Floods, Future Natural Disasters",89.0,S,,,,,,,,,,,,,,,,
56,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Solar powered batteries for Mooloolah Valley,,,Suncorp,2023.0,"The suburb of Mooloolah Valley in Queensland experienced intermittent loss of power during the 2022 East Coast floods, which impacted the communityÃ¢ÂÂs access to lighting, hot water and technology. To help the community prepare for future disaster events, the Mooloolah Valley Community Association used a $25,000 grant to purchase and install three batteries that can be used to supply power to the region. The batteries have kept the communityÃ¢ÂÂs ability running during the two electricity outages that Mooloolah has experienced since the batteries were installed.",,,Sustainabiliy Reporting Supp,,30,,"Mooloolah Valley, East Coast Floods, Community's Power Running",89.0,S,,,,,,,,,,,,,,,,
57,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,What Ability Partnership,,,Suncorp,2023.0,"AAMI announced a partnership this year with What Ability, a National Disability Insurance Scheme (NDIS) registered service. What Ability supports people living with a disability with community access and overnight camps. The partnership continues AAMIÃ¢ÂÂs proud history of supporting community programs that spearhead positive change. The partners hosted their first event earlier this year. We welcomed over 200 people, including participants, families, volunteers and some of AustraliaÃ¢ÂÂs most prominent sports stars, to AAMI Park for a day of fun and enriching sporting activities.",,,Sustainabiliy Reporting Supp,,30,,"AAMI, National Disability Insurance Scheme, Community Access and Overnight Camps",89.0,S,,,,,,,,,,,,,,,,
58,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Financial Literacy Program,,,Suncorp,2023.0,"Suncorp has continued its work with partner First Nations Foundation, running financial literacy programs for 819 Indigenous Australians in FY23 and training 246 mentors to deliver the program locally. This year, a new Impact Report1 released by the First Nations Foundation measured positive outcomes for the programs offered. Suncorp has completed our second Reconciliation Action Plan (RAP), introduced in 2020. A key achievement was the launch of a new training module called Reconciliation: It Starts with Understanding, which more than 300 employees have completed since its launch in August 2022.",,,Sustainabiliy Reporting Supp,,31,,"First Nations Foundation, Financial Literacy programs, Indigenous Australians",89.0,S,,,,,,,,,,,,,,,,
59,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Road Safety Education,,,Suncorp,2023.0,"As AustraliaÃ¢ÂÂs largest personal injury insurer, we see the significant impact of road trauma on our customers, people and community. Suncorp continued campaigning for safer roads through community partnerships and public education programs. Our association with the Australian Road Safety Foundation is now in its seventeenth year, and its well-recognised Fatality Free Friday campaign encouraged long-term change this year, urging motorists to move to a Fatality Free Future.",,,Sustainabiliy Reporting Supp,,31,,"Personal Injury Insurer, Australian Road Safety Foundation, Fatality Free Future",89.0,S,,,,,,,,,,,,,,,,
60,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Responsible Supply Chain Strategy,,,Suncorp,2023.0,"Suncorp introduced a Responsible Supply Chain Strategy this year, with aims to: ÃÂ reduce the climate impact of our supply chain ÃÂ diversify our suppliers and increase employment opportunities, including among Indigenous Australians ÃÂ pay all suppliers on time ÃÂ mitigate the risk of modern slavery, and ÃÂ improve measurement and reporting.",,,Sustainabiliy Reporting Supp,,31,,"Responsible Supply Chain Strategy, Climate Impact, Indigenous Australians",89.0,S,,,,,,,,,,,,,,,,
61,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,OzHarvest Partnership,,,Suncorp,2023.0,"Suncorp Bank announced a new partnership with OzHarvest, AustraliaÃ¢ÂÂs leading food rescue organisation, this year. The national alliance is helping fight food waste, feed more needy people, and protect the planet.",,,Sustainabiliy Reporting Supp,,31,,"Suncorp Bank, OzHarvest, Food Rescue Organisation",89.0,S,,,,,,,,,,,,,,,,
62,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Effective Risk and Compliance Management,,,Suncorp,2023.0,"Suncorp has policies, systems, processes and people in place to identify, assess, manage and monitor internal and external sources of material risk. Effective risk and compliance management is supported by: ÃÂ an Enterprise Risk Management Framework, through which the Board sets the direction of risk management ÃÂ a sound risk culture, aligned to SuncorpÃ¢ÂÂs broader culture ÃÂ a Risk Appetite Statement that is aligned to the Suncorp strategy and sets out the nature and degree of risk the Board is willing to accept in the pursuit of business objectives ÃÂ the Three Lines of Defence Model and clear accountabilities with risk owned in the first line ÃÂ an independent Risk function that oversees and challenges the business in our risk-taking, and drives SuncorpÃ¢ÂÂs Risk Strategy, and ÃÂ the Board Risk Committee which monitors management of existing and emerging risks to the business.",,,Sustainabiliy Reporting Supp,,34,,"Enterprise Risk Management Framework, Risk Appetite Statement, Three Lines of Defence Model",89.0,S,,,,,,,,,,,,,,,,
63,,203.0,Indirect Economic Impacts,203-01,Infrastructure investments and services supported,,Enterprise Risk Management Framework,,,Suncorp,2023.0,"SuncorpÃ¢ÂÂs Enterprise Risk Management Framework (ERMF) applies to Suncorp, including all of the GroupÃ¢ÂÂs regulated entities, setting out the minimum standards to manage the risks that Suncorp is exposed to as it implements our strategic and business objectives and ÃÂ roles and responsibilities, including the Three Lines of Defence Model for risk management accountability. SuncorpÃ¢ÂÂs ERMF lays the foundation for the GroupÃ¢ÂÂs approach to risk management and evolves with the business strategy and operating environment. The framework provides a holistic approach to risk management with all financial, nonÃ¢ÂÂfinancial and strategic risks covered and outlined by risk categories. The ERMF sets out accountabilities, governance arrangements and processes for managing risk within the Three Lines of Defence Model.",,,Sustainabiliy Reporting Supp,,34,,"Enterprise Risk Management Framework, Minimum Standards, Three Lines Defence Model",89.0,S,,,,,,,,,,,,,,,,
