Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
0,,,,,,,,,,,,,,,GRI Index,SR,AR,CGS,HRMS,Code of Condut,,,,,,,,,,,,,,,,,,,
1,,2.0,General Disclosures,2-1,Organizational details,Telstra Corporation Limited was incorporated as an Australian public limited liability company in November 1991 and was initially listed on the ASX on 17 November 1997. Telstra is Australia's leading telecommunications and technology provider.,,,,Telstra,2023.0,,,,,7,,,,,,,,,,,,,,,,,,,,,,,
2,,2.0,General Disclosures,2-2,Entities included in the organization's sustainability reporting,"The Telstra Group (Telstra) refers to Telstra Group and its owned and controlled entities. This includes but is not limited to, Telstra Limited, InfraCo, Amplitel and Telstra International. Information regarding the controlled entities in the Telstra Group can be found on our website at telstra.com.au/about us/investors/financial-information/financial-results.",,,,Telstra,2023.0,,,,GRI Index,16,,,,,,,,,,,,,,,,,,,,,,,
3,,2.0,General Disclosures,2-3,"Reporting period, frequency, and contact point",Telstra's 2023 Annual Reporting Suite for 1 July 2022 to 30 June 2023 (FY23).,,,,Telstra,2023.0,,,,,16,,,,,,,,,,,,,,,,,,,,,,,
4,,2.0,General Disclosures,2-4,Restatements of information,Telstra has restated data from FY22 to account for the TRIFR and LTIFR increase due to an escalation in injury severity post-initial report.,,,,Telstra,2023.0,,,,GRI Index,,,,,,,,,,,,,,,,,,,,,,,,
5,,2.0,General Disclosures,2-5,External assurance,TelstraÃ¢ÂÂs external auditor is Ernst & Young (EY).,,,,Telstra,2023.0,,,,,16,,,,,,,,,,,,,,,,,,,,,,,
6,,2.0,General Disclosures,2-6,"Activities, value chain and other business relationships",,Sustainable long-term value,,,Telstra,2023.0,"Telstra is focused on creating sustainable long-term value for our customers, employees, shareholders, suppliers and the broader community. The purpose is to build a connected future so everyone can thrive.",,,,12,,,,,"Sustainable long-term, sustainable, customer value","8, 9, 12",S,,,,,,,,,,,,,,,,
7,,2.0,General Disclosures,2-7,Employees,Telstra defines a significant geographic location as those with more than 100 employees.,,,,Telstra,2023.0,,,,GRI Index,Data Pack,,,,,,,,,Data pack sustainability report,,,,,,,,,,,,,,
8,,2.0,General Disclosures,2-8,Workers who are not employees,Telstra defines Contingent workers as the contract and agency labour employees in Telstra Group and its controlled entities within the Telstra Group HR System.,,,,Telstra,2023.0,,,,GRI Index,Data Pack,,,,,,,,,,,,,,,,,,,,,,,
9,,2.0,General Disclosures,2-9,Governance structure and composition,Telstra has 10 Directors on our Board (nine non-executive Directors and the CEO). Telstra's Board has three standing Committees.,,,,Telstra,2023.0,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
