Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
112,,403.0,Occupational Health and Safety,403-07,Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,,HSE Contractor Management Framework,,,Transurban,2023.0,"Transurban is in its third year working under its HSE Contractor Management Framework that embeds HSE analytics into its risk reporting and analysis. This approach, designed to improve Transurban's overall understanding, identification and management of hazards, risks, incidents and near misses, has improved contractor HSE performance.",,,Data pack,,71,,"HSE Contractor Management Framework, risk reporting, hazard","3, 8",S,,,,,,,,,,,,,,,,
113,,403.0,Occupational Health and Safety,403-08,Workers covered by an occupational health and safety management system,"Transurban has a Health and Safety Management System aligned to ISO 45001 Occupational Health and Safety Management Systems that addresses the activities undertaken by employees and other workers, where works are under the management control of Transurban.",,,,Transurban,2023.0,,,,Data pack,Data pack,,,,,,,,,,,,,,,,,,,,,
114,,403.0,Occupational Health and Safety,403-09,Work-related injuries,Transurban had no injuries in 2023.,,,,Transurban,2023.0,,,,Data pack,Data pack,,,,,,,,,,,,,,,,,,,,,
115,,403.0,Occupational Health and Safety,403-10,Work-related ill health,Transurban had a 2.2% absentee rate for its male workers in Victoria.,,,,Transurban,2023.0,,,,Data pack,Data pack,,,,,,,,,,,,,,,,,,,,,
116,,404.0,Training and Education,404-01,Average hours of training per year per employee,Transurban's average training hours in 2023 were 5 hours per entry-level employee.,,,,Transurban,2023.0,,,,Data pack,Data pack,,,,,,,,,,,,,,,,,,,,,
117,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,LinkedIn Learning,,,Transurban,2023.0,"Transurban people are encouraged to undertake self-directed learning for the skills that will help them in their careers. More than 86% of Transurban's direct employees have activated their LinkedIn Learning account, 6% higher than similar organisations. Transurban's annual performance and development cycle supports meaningful career conversations and planning, with 83% of employees having set formal development goals throughout the year.",,,Data pack,,63,,"LinkedIn Learning, self-directed learning, performance and development cycle",8,S,,,,,,,,,,,,,,,,
118,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,Strategic Leadership Program,,,Transurban,2023.0,The Strategic Leadership Program is a partnership program with the Stanford Graduate School of Business for several of Transurban's senior leaders. The program focuses on developing the capability of senior leaders to shape and pursue strategic and cultural ambitions.,,,Data pack,,63,,"Strategic Leadership Program, Stanford Graduate School of Business, senior leader","4, 8",S,,,,,,,,,,,,,,,,
119,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,Business Leadership Program,,,Transurban,2023.0,The Business Leadership Program is a seven-month program for mid to senior-level leaders. It focuses on enterprise leadership capability creating strategic impact.,,,Data pack,,63,,"Business Leadership Program, senior-level leader, enterprise leadership","4, 8",S,,,,,,,,,,,,,,,,
120,,404.0,Training and Education,404-03,Percentage of employees receiving regular performance and career development reviews,"All employees are expected to have performance and development conversations throughout the year, with 83% of employees having set formal development goals.",,,,Transurban,2023.0,,,,Data pack,Data pack,,,,,,,,,,,,,,,,,,,,,
121,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,Workplace Gender Profile,,,Transurban,2023.0,"As a 'relevant employer' and as required by the Workplace Gender Equality Act (2012), Transurban lodged its Workplace Gender Profile as of March 2023 with the Workplace Gender Equality Agency (WGEA). Transurban also has a longstanding endorsement as an 'Employer of Choice for Gender Equality' by WGEA.",,,Data pack,,11,,"Workplace Gender Profile, WGEA, relevant employer","5, 10",S,,,,,,,,,,,,,,,,
