Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
78,,305.0,Emissions,305-05,Reduction of GHG emissions,,Power purchase agreements,,,Wesfarmers,2023.0,Wesfarmers sources renewable electricity and associated large-scale generation certificates (LGCs) through power purchase agreements and other wholesale agreements with electricity retailers and generators.,,,GRI Index,,,,"Power purchase agreement, renewable electricity, large-scale generation certificate","7, 13",E,,https://www.wesfarmers.com.au/docs/default-source/sustainability/sustainability-2023/climate-related-disclosures.pdf?Status=Master&sfvrsn=4ec9e1bb_4,,,,,,,,,,,,,,
79,,305.0,Emissions,305-05,Reduction of GHG emissions,,GreenPower,,,Wesfarmers,2023.0,"Wesfarmers sources renewable electricity through retail products such as GreenPower to meet electricity needs in markets with limited options, including for some small sites.",,,GRI Index,,,,"GreenPower, renewable electricity, small site","7, 13",E,,https://www.wesfarmers.com.au/docs/default-source/sustainability/sustainability-2023/climate-related-disclosures.pdf?Status=Master&sfvrsn=4ec9e1bb_4,,,,,,,,,,,,,,
80,,305.0,Emissions,305-05,Reduction of GHG emissions,,Covalent Lithium,,,Wesfarmers,2023.0,"Covalent Lithium is a 50/50 joint venture between Wesfarmers and SQM. Together, Wesfarmers and SQM are investing over $2 billion in the joint venture, which is expected to produce battery-quality lithium hydroxide in Australia in 2025. Since the final investment decision was taken in 2021, Covalent Lithium has managed the construction of a mine and concentrator at Mt Holland, 400 kilometres east of Perth. When fully operational, the mine and concentrator are expected to produce approximately 380,000 tonnes of spodumene concentrate yearly.",,,GRI Index,,,,"Covalent Lithium, lithium hydroxide, concentrator","7, 8, 13","E, S",,https://www.wesfarmers.com.au/docs/default-source/sustainability/sustainability-2023/climate-related-disclosures.pdf?Status=Master&sfvrsn=4ec9e1bb_4,,,,,,,,,,,,,,
81,,305.0,Emissions,305-05,Reduction of GHG emissions,,Ammonia and hydrogen,,,Wesfarmers,2023.0,Wesfarmers' WesCEF has partnered with Mitsui & Co. Ltd on carbon capture and storage and low-carbon ammonia and with APA Group to assess the feasibility of transporting hydrogen along the southern portion of the Parmelia Gas Pipeline. WesCEF is also part of a consortium developing breakthrough green ammonia technology led by Jupiter Ionics.,,,GRI Index,,,,"Carbon capture, ammonia, hydrogen","7, 8, 13","E, S",,https://www.wesfarmers.com.au/docs/default-source/sustainability/sustainability-2023/climate-related-disclosures.pdf?Status=Master&sfvrsn=4ec9e1bb_4,,,,,,,,,,,,,,
82,,305.0,Emissions,305-05,Reduction of GHG emissions,,FSC certification,,,Wesfarmers,2023.0,"By December 2025, suppliers of products containing paper and wood sold and procured by Officeworks must demonstrate that the products are free from deforestation. It can be done via FSC certification, being 100 per cent recycled, made from fast-growing fibres (with evidence they have been harvested legally and sustainably) or by additional due diligence or responsible forestry initiatives the supplier undertakes to ensure no deforestation is associated.",,,GRI Index,,,,"FSC certification, paper, wood","12, 13",E,,https://www.wesfarmers.com.au/sustainability/fy2023/our-businesses/officeworks/Expanding-our-approach-to-emissions-and-waste,,,,,,,,,,,,,,
83,,305.0,Emissions,305-06,Emissions of ozone-depleting substances (ODS),,,,NO DISCLOSURE,Wesfarmers,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,305.0,Emissions,305-07,"Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",,,,NO DISCLOSURE,Wesfarmers,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,306.0,Waste,306-01,Waste generation and significant waste-related impacts,,Environment Policy,,,Wesfarmers,2023.0,"Wesfarmers' Environment Policy sets out the minimum level of controls and standards required across the Group to ensure compliance with environmental laws, regulatory requirements and licence conditions and demonstrate a commitment to sustainably operate the business.",,,GRI Index,,,12,"Environment Policy, environmental law, licence condition","13, 16","E, G",,,,,,,,,,,,,,,,
86,,306.0,Waste,306-01,Waste generation and significant waste-related impacts,,Waste and recycling dashboard,,,Wesfarmers,2023.0,"Wesfarmers' Kmart Group utilised its waste and recycling dashboard to enable stores, regions and states to monitor and compare waste generation, diversion and bin density and deploy site-specific interventions to improve waste diversion. It includes expanding the suite of recycling services available and identifying where education and employee engagement are required to improve recycling outcomes.",,,GRI Index,,,,"Waste and recycling dashboard, waste generation, recycling service",12,E,,https://www.wesfarmers.com.au/sustainability/fy2023/our-businesses/kmart-group/sustainable-operations,,,,,,,,,,,,,,
87,,306.0,Waste,306-02,Management of significant waste-related impacts,,Raw materials recovery,,,Wesfarmers,2023.0,"Bunnings and Officeworks currently operate recycling programs to support the recovery of raw materials from products at the end of life, delivering Scope 3 reduction benefits. Other strategies can also reduce Scope 3 emissions by extending product life and reducing upstream resource demand, such as more sustainable product ranges and repurposing and repairing.",,,GRI Index,,,,"Raw materials recovery, recycling program, sustainable product range",12,E,,https://www.wesfarmers.com.au/docs/default-source/sustainability/sustainability-2023/climate-related-disclosures.pdf?Status=Master&sfvrsn=4ec9e1bb_4,,,,,,,,,,,,,,
