Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
104,,401.0,Employment,401-02,Benefits provided to full-time employees that are not provided to temporary or part-time employees,,,,NO DISCLOSURE,Wesfarmers,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,401.0,Employment,401-03,Parental leave,,,,NO DISCLOSURE,Wesfarmers,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,401.0,Employment,401-03,Parental leave,,,Parental Leave Policy,,Wesfarmers,2023.0,"A new Parental Leave Policy provides additional flexibility and entitlements for employees with young families, with 12 weeks of paid parental leave for primary carers and superannuation contributions for 52 weeks. Secondary carers will receive two weeks of paid parental leave, including superannuation.",,,,,,,"Parental Leave Policy, flexibility, young family",8,S,,https://www.wesfarmers.com.au/sustainability/fy2023/our-priorities/people-development-diversity-and-inclusion/workplace-relations,,,,,,,,,,,,,,
107,,401.0,Employment,401-03,Parental leave,,,Family and Domestic Violence Policy,,Wesfarmers,2023.0,"A new Family and Domestic Violence Policy aims to support team members experiencing domestic violence, including access to paid leave and professional services to help them navigate their ongoing employment.",,,,,,,"Family and Domestic Violence Policy, domestic violence, professional service",8,S,,https://www.wesfarmers.com.au/sustainability/fy2023/our-priorities/people-development-diversity-and-inclusion/workplace-relations,,,,,,,,,,,,,,
108,,402.0,Labor/Management Relations,402-01,Minimum notice periods regarding operational changes,"Casual employment plays an important role for team members who value flexibility. Wesfarmers' businesses also benefit from this, for example, when managing seasonal variations in employment with a peak in the Christmas period, in line with the broader retail industry.",,,,Wesfarmers,2023.0,,,,GRI Index,,,,,,,,https://www.wesfarmers.com.au/sustainability/fy2023/our-priorities/people-development-diversity-and-inclusion,,,,,,,,,,,,,,
109,,403.0,Occupational Health and Safety,403-01,Occupation health and safety management system,,Occupational Health and Safety (OHS) management systems,,,Wesfarmers,2023.0,All divisions have established Occupational Health and Safety (OHS) management systems. The systems assist divisions in fulfilling their legislative requirements and meeting the requirements of Wesfarmers' self-insurance licences. Resources are available within each division to manage these systems and provide the business with technical safety support and services.,,,GRI Index,,,,"Occupational Health and Safety (OHS) management system, self-insurance licence, technical safety support","3, 8",S,,https://www.wesfarmers.com.au/sustainability/fy2023/our-priorities/safety-health-and-wellbeing,,,,,,,,,,,,,,
110,,403.0,Occupational Health and Safety,403-02,"Hazard identification, risk assessment, and incident investigation",,External safety review,,,Wesfarmers,2023.0,"During the year, Wesfarmers completed an external safety review, identifying leading safety and well-being practices. The review validated many of the Group's safety and well-being strategies and identified opportunities to enhance well-being measurement and develop new indicators, which will be introduced in the 2024 financial year.",,,GRI Index,,,,"External safety review, safety, and well-being practice","3, 8",S,,https://www.wesfarmers.com.au/sustainability/fy2023/our-priorities/safety-health-and-wellbeing,,,,,,,,,,,,,,
111,,403.0,Occupational Health and Safety,403-02,"Hazard identification, risk assessment, and incident investigation",,Hazard reduction,,,Wesfarmers,2023.0,"Wesfarmers' Kmart continues to invest in hazard reduction initiatives, including store fitting design changes to reduce the risk of customer injuries. Kmart has permanently closed several mezzanine deck gate access points to eliminate the risk of a fall from height. Kmart also trialled a new purpose-built ladder in-store to mitigate falls associated with 'steppers' on-site.",,,GRI Index,,,,"Hazard reduction, store fitting, mezzanine deck gate","3, 8",S,,https://www.wesfarmers.com.au/sustainability/fy2023/our-priorities/safety-health-and-wellbeing,,,,,,,,,,,,,,
112,,403.0,Occupational Health and Safety,403-02,"Hazard identification, risk assessment, and incident investigation",,HiPo risk management,,,Wesfarmers,2023.0,"WesCEF's HiPo risk management program continued throughout the year, reinforcing to team members the importance of having critical controls before starting a task. There are more than 70 critical controls across multiple activities that are to be verified by team members before starting a work activity, ranging from ensuring a work permit is in place, gas testing when working in confined places, wearing fall protection harnesses to setting up exclusion zones for dropped objects when working at height.",,,GRI Index,,,,"HiPo risk management, critical control, work permit","3, 8",S,,https://www.wesfarmers.com.au/sustainability/fy2023/our-priorities/safety-health-and-wellbeing,,,,,,,,,,,,,,
113,,403.0,Occupational Health and Safety,403-03,Occupational health services,,Life-Threatening Risk program,,,Wesfarmers,2023.0,"Wesfarmers' Bunnings continued to concentrate on identifying risks in the workplace and measures to control these risks through implementing the Life-Threatening Risk program. Bunnings implemented lifesaving controls for forklift and pedestrian interactions across all sites. A new Great Saves program was also launched, encouraging team members to call 'Stop' when they observe work that does not have the appropriate lifesaving controls.",,,GRI Index,,,,"Life-Threatening Risk program, lifesaving control, forklift","3, 8",S,,https://www.wesfarmers.com.au/sustainability/fy2023/our-priorities/safety-health-and-wellbeing/safety-initiatives,,,,,,,,,,,,,,
