Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,Unnamed: 19,SDGs,ESG,UNGC,Notes,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
0,,,,,,,,,,,,,,,GRI Index,SR,AR,CGS,,,,,,,,,,,,,,,,,,,,
1,,2.0,General Disclosures,2-1,Organizational details,Westpac Banking Corporation,,,,Westpac,2023.0,,,,Data sheet,Data sheet,,,,,,,,,,,,,,,,,,,,,,
2,,2.0,General Disclosures,2-2,Entities included in the organization's sustainability reporting,"Westpac's report included Asgard Capital Management Limited, St. George Finance Holdings Ltd, and BT Funds Management Limited.",,,,Westpac,2023.0,,,,Data sheet,,276,,,,,,,,,,,,,,,,,,,,,
3,,2.0,General Disclosures,2-3,"Reporting period, frequency, and contact point",Westpac's report covers its performance from 1 October 2022 to 30 September 2023.,,,,Westpac,2023.0,,,,Data sheet,Data sheet,,,,,,,,,,,,,,,,,,,,,,
4,,2.0,General Disclosures,2-4,Restatements of information,"All restatements have been highlighted within the relevant data sheets, including footnotes to explain the reason for restatement.",,,,Westpac,2023.0,,,,Data sheet,Data sheet,,,,,,,,,,,,,,,,,,,,,,
5,,2.0,General Disclosures,2-5,External assurance,PwC provided external assurance for Westpac's report.,,,,Westpac,2023.0,,,,Data sheet,Data sheet,,,,,,,,,,,,,,,,,,,,,,
6,,2.0,General Disclosures,2-6,"Activities, value chain and other business relationships",Westpac provides financial products and services.,,,,Westpac,2023.0,,,,Data sheet,10,,,,,,,,,,,,,,,,,,,,,,
7,,2.0,General Disclosures,2-7,Employees,"Westpac had 29,847 employees in 2023.",,,,Westpac,2023.0,,,,Data sheet,Data sheet,,,,,,,,,,,,,,,,,,,,,,
8,,2.0,General Disclosures,2-8,Workers who are not employees,"Westpac had 1,412 contractors in 2023.",,,,Westpac,2023.0,,,,Data sheet,Data sheet,,,,,,,,,,,,,,,,,,,,,,
9,,2.0,General Disclosures,2-9,Governance structure and composition,The Board comprises ten members.,,,,Westpac,2023.0,,,,Data sheet,,57,,,,,,,,,,,,,,,,,,,,,
10,,2.0,General Disclosures,2-10,Nomination and selection of the highest governance body,,Director Appointment & Board Renewal Policy,,,Westpac,2023.0,"Westpac's Director Appointment & Board Renewal Policy limits the tenure of Non-executive Directors, other than the Chairman, to nine years from the date first elected by shareholders. The maximum tenure for the Chairman is 12 years, including any term served previously as a Director, from the date first elected by shareholders.",,,Data sheet,,51,,"Director Appointment & Board Renewal Policy, Non-Executive Director, shareholder",,16,G,,,,,,,,,,,,,,,,
11,,2.0,General Disclosures,2-10,Nomination and selection of the highest governance body,,Induction pack,,,Westpac,2023.0,"New Directors receive an induction pack and letter of appointment setting out the expectations of the role and conditions of appointment, including the expected term of appointment and remuneration. This letter aligns with the ASXCGC Recommendations. All new Directors participate in an induction program to familiarise themselves with Westpac's business and strategy, culture and values and any current issues before the Board and the Board Committees.",,,Data sheet,,,6,"Induction pack, letter of appointment, remuneration",,16,G,,,,,,,,,,,,,,,,
12,,2.0,General Disclosures,2-10,Nomination and selection of the highest governance body,,Fit and Proper Policy,,,Westpac,2023.0,"Westpac's Board-approved Group Fit and Proper Policy (F&P Policy) outlines how it assesses the fitness and propriety of its Directors, Accountable Persons under BEAR, and other individuals in key positions of responsibility. The F&P Policy supports Westpac in complying with APRA Prudential Standards CPS 520 and SPS 520, the Banking Act 1959 (Cth) (including BEAR), Superannuation Industry (Supervision) Act 1993 (Cth), relevant ASIC licensing requirements (Australian Financial Services Licence and Australian Credit Licence) and equivalent offshore regulations as applicable.",,,Data sheet,,,17,"Fit and Proper Policy, Director, Accountable Person",,16,G,,,,,,,,,,,,,,,,
13,,2.0,General Disclosures,2-11,Chair of the highest governance body,Mr John McFarlane is the chair of Westpac's Board.,,,,Westpac,2023.0,,,,Data sheet,,52,,,,,,,,,,,,,,,,,,,,,
