Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
150,,403.0,Occupational Health and Safety,403-06,Promotion of worker health,,13YARN,,,Woolworths,2023.0,"Woolworths implements the 13YARN program to bolster employee wellbeing by fostering a supportive and inclusive workplace culture. This initiative allows employees to access confidential counselling and support services, ensuring their mental health needs are addressed effectively.\t",,,1,24,,,"13YARN, acute mental health, financial and safety concerns",3,S,,,,,,,,,,,,,,,,
151,,403.0,Occupational Health and Safety,403-06,Promotion of worker health,,Healthylife pharmacy,,,Woolworths,2023.0,"Healthy Life Pharmacy, a part of Woolworths, promotes health and wellbeing through its products and services. With a focus on providing quality healthcare products and expert advice, Healthy Life Pharmacy aims to support customers in their journey towards a healthier lifestyle.",,,1,44,,,"Healthylife pharmacy, Health Advisory BoardÃ¢ÂÂs, Online health services",3,S,,,,,,,,,,,,,,,,
152,,403.0,Occupational Health and Safety,403-06,Promotion of worker health,,Naturopath discovery calls,,,Woolworths,2023.0,"Woolworths offers Naturopath discovery calls to support customers in exploring natural health and wellness solutions. Through these calls, customers can receive personalised advice and guidance from qualified naturopaths, empowering them to make informed choices for their wellbeing.",,,1,44,,,"Naturopath discovery calls, Healthylife, Living Healthy",3,S,,,,,,,,,,,,,,,,
153,,403.0,Occupational Health and Safety,403-06,Promotion of worker health,,Telehealth,,,Woolworths,2023.0,"Woolworths provides Telehealth services to ensure convenient access to healthcare for its customers. Through Telehealth, customers can connect with healthcare professionals remotely, facilitating timely consultations and promoting overall wellbeing.",,,1,15,,,"Telehealth, Healthylife, wellness advice",3,S,,,,,,,,,,,,,,,,
154,,403.0,Occupational Health and Safety,403-06,Promotion of worker health,,Always-on Campaigns,,,Woolworths,2023.0,"Woolworths' Always-on Campaigns are designed to promote wellbeing by providing continuous support and resources to customers. Through these campaigns, Woolworths aims to educate, inspire, and empower individuals to make healthier lifestyle choices, fostering a community wellness culture.",,,1,24,,,"Always-on Campaigns, Mental Health Month, Promoting mental wellbeing",3,S,,,,,,,,,,,,,,,,
155,,403.0,Occupational Health and Safety,403-07,Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,,Responsible Sourcing Policy,,,Woolworths,2023.0,"Woolworths upholds a Responsible Sourcing Policy to ensure ethical practices throughout its supply chain. This policy outlines guidelines and standards prioritising fair labour practices, environmental sustainability, and animal welfare, reflecting Woolworths' commitment to responsible and sustainable sourcing practices.",,,1,,,,"Responsible Sourcing Policy, pre-qualify contractors, self-assessment",3,S,,,,,,,,,,,,,,,,
156,,403.0,Occupational Health and Safety,403-08,Workers covered by an occupational health and safety management system,"Number of employees covered under health & safety management systems was 204,386 employees.",,,,Woolworths,2023.0,,,,1,,,,,,,,https://www.woolworthsgroup.com.au/au/en/sustainability/reports.html,,,,,,,,,,,,,,
157,,403.0,Occupational Health and Safety,403-09,Work-related injuries,The total high consequence injuries (HCI) for FY23 was 256.,,,,Woolworths,2023.0,,,,1,,,,,,,,https://www.woolworthsgroup.com.au/au/en/sustainability/reports.html,,,,,,,,,,,,,,
158,,403.0,Occupational Health and Safety,403-10,Work-related ill health,"Ill health by nature & gender for men was 340, and for women was 566.",,,,Woolworths,2023.0,,,,1,,,,,,,,https://www.woolworthsgroup.com.au/au/en/sustainability/reports.html,,,,,,,,,,,,,,
159,,404.0,Training and Education,404-01,Average hours of training per year per employee,Information needs to be completed.,,,NO DISCLOSURE,Woolworths,2023.0,,,,1,,,,,,,,https://www.woolworthsgroup.com.au/au/en/sustainability/reports.html,,,,,,,,,,,,,,
