Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
132,,406.0,Non-discrimination,406-01,Incidents of discrimination and corrective actions taken,,,,NO DISCLOSURE,Worley,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,407.0,Freedom of Association and Collective Bargaining,407-01,Operations and suppliers in which the right to freedom of association and collective bargaining may be at risk,,,,NO DISCLOSURE,Worley,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,408.0,Child Labor,408-01,Operations and suppliers at significant risk for incidents of child labor,,,,NO DISCLOSURE,Worley,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,409.0,Forced or Compulsory Labor,409-01,Operations and suppliers ar significant risk for incidents of forced or compulsory labor,,,,NO DISCLOSURE,Worley,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,410.0,Security Practices,410-01,Security personnel trained in human rights policies or procedures,,,,NO DISCLOSURE,Worley,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,411.0,Rights of Indigenous Peoples,411-01,Incidents of violations involving rights of indigenous peoples,,,,NO DISCLOSURE,Worley,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,412.0,Human Rights Assessment,412-01,Operations that have been subject to human rights reviews or impacts assessments,,,,NO DISCLOSURE,Worley,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,,,NO DISCLOSURE,Worley,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,,Modern slavery training,,Worley,2023.0,Worley offers e-learning training on modern slavery to strategic partners and suppliers outside its systems. Training courses are online and provided by a third party. The courses cover the definitions of forced labour and human trafficking. These also include case studies and guidance for recognising red flags and illicit behaviour.,,,,,,,"E-learning, modern slavery, forced labour","8, 16","S, G",,Modern Slavery Statement page 15,,,,,,,,,,,,,,
141,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,,Modern Slavery Working Group,,Worley,2023.0,"In FY23, Worley upgraded its Modern Slavery Stakeholder Group to a Modern Slavery Working Group. The working group reviewed the FY2023 assessment of Worley's modern slavery risks and provided valuable feedback on areas of risk, degree of involvement and controls Worley has.",,,,,,,"Modern Slavery Working Group, modern slavery risk, feedback","8, 16","S, G",,Modern Slavery Statement page 16,,,,,,,,,,,,,,
