Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
165,,408.0,Child Labor,408-01,Operations and suppliers at significant risk for incidents of child labor,,United Nations Global Compact (UNGC) Membership,,,APA Group,2023.0,"The UNGC is the worldÃ¢ÂÂs largest corporate sustainability initiative. APA joined the UNGC in 2021, which involves committing to ten key principles, including relating to addressing forced and child labour, as well as other human rights abuses. We submitted APAÃ¢ÂÂs 2022 Communication on Progress to the UNGC to demonstrate our commitment to making the UNGC and its principles part of APAÃ¢ÂÂs strategy, culture and day-to-day operations, and we participated in UNGCÃ¢ÂÂs Early Adopter Program to communicate our progress in their new digital platform.",,,Sustainability Report Data Book FY23,26,,,"UNGC, Ten Key Principles, Child Labor","3, 8",S,,APA Modern Slavery Statement 2022,,,,,,,,,,,,,
166,,409.0,Forced or Compulsory Labor,409-01,Operations and suppliers ar significant risk for incidents of forced or compulsory labor,,Supplier Selection and Onboarding,,,APA Group,2023.0,"During FY22, 495 new suppliers were onboarded using the APA supplier onboarding process. The process ensures suppliers declare their commitment to respect workersÃ¢ÂÂ fundamental human rights before adding them to our systems.",495 compliant new suppliers in FY22.,,Sustainability Report Data Book FY23,25,,,"Onboarding Process, Human Rights Declaration, New Supplier Agreement","3, 8",S,,APA Modern Slavery Statement 2022,,,,,,,,,,,,,
167,,409.0,Forced or Compulsory Labor,409-01,Operations and suppliers ar significant risk for incidents of forced or compulsory labor,,Suppliers for Solar Panels Selection,,,APA Group,2023.0,"In our FY21 Modern Slavery Statement, we noted we had reviewed our sourcing strategy for solar panels associated with solar farm construction projects. Given the inherent risk in solar panel manufacturing and the sourcing of raw materials in certain countries, we developed an alternative approach where APA would procure solar panels directly from international suppliers.",,,Sustainability Report Data Book FY23,27,,,"Solar Panel, Alternative Approach, Sourcing Strategy","3, 8",S,,APA Modern Slavery Statement 2022,,,,,,,,,,,,,
168,,410.0,Security Practices,410-01,Security personnel trained in human rights policies or procedures,,,,NO DISCLOSURE,APA Group,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
169,,411.0,Rights of Indigenous Peoples,411-01,Incidents of violations involving rights of indigenous peoples,,,,NO DISCLOSURE,APA Group,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
170,,412.0,Human Rights Assessment,412-01,Operations that have been subject to human rights reviews or impacts assessments,,,,NO DISCLOSURE,APA Group,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
171,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,,,NO DISCLOSURE,APA Group,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
172,,412.0,Human Rights Assessment,412-03,Significant investment agreements and contracts that include human rights clauses or that underwent human rights screening,,,,NO DISCLOSURE,APA Group,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
173,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,,,NO DISCLOSURE,APA Group,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
174,,413.0,Local Communities,413-02,Operations with significant actual and potential negative impacts on local communities,,,,NO DISCLOSURE,APA Group,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
175,,414.0,Supplier Social Assessment,414-01,New suppliers that were screened using social criteria,,Risk Management Policy,,,APA Group,2023.0,"Consideration of the risk across countries, suppliers and product /service categories, recognising social performance and specific international social impact risk data to drive supplier reviews and interventions. These reviews consider the control environment supporting key risk areas for suppliers, including legal requirements, confidence in assurance provided, and independent third-party reviews with brand and reputation impacts of transacting with the supplier.",,,Sustainability Report Data Book FY23,2,,,"Environment Control, Brand and Reputation, Supplier","10, 12, 16",S,,APA Modern Slavery Fact Sheet,,,,,,,,,,,,,
