Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
111,,303.0,Water and Effluents,303-05,Water consumption,"Dexus consumed 1,345,439 kL of water in 2023.",,,,Dexus,2023.0,,,,Data pack,Data pack,,,,,,,,,,,,,,,,,,,,
112,,304.0,Biodiversity,304-01,"Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",,,,NO DISCLOSURE,Dexus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
113,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",,,,NO DISCLOSURE,Dexus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
114,,304.0,Biodiversity,304-03,Habitats protected or restored,,,,NO DISCLOSURE,Dexus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
115,,304.0,Biodiversity,304-04,IUCN Red List species and national conversation list species with habitats in areas affected by operations,,,,NO DISCLOSURE,Dexus,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
116,,305.0,Emissions,305-01,Direct (Scope 1) GHG emissions,"Dexus' scope 1 emissions in 2023 were 12,346 tCO2e.",,,,Dexus,2023.0,,,,Data pack,Data pack,,,,,,,,,,,,,,,,,,,,
117,,305.0,Emissions,305-02,Energy indirect (Scope 2) GHG emissions,"Dexus' scope 2 emissions in 2023 were 87,614 tCO2e.",,,,Dexus,2023.0,,,,Data pack,Data pack,,,,,,,,,,,,,,,,,,,,
118,,305.0,Emissions,305-03,Other indirect (Scope 3) GHG emissions,"Dexus' scope 3 emissions in 2023 were 28,046 tCO2e.",,,,Dexus,2023.0,,,,Data pack,Data pack,,,,,,,,,,,,,,,,,,,,
119,,305.0,Emissions,305-04,GHG emissions intensity,,GreenPower,,,Dexus,2023.0,"Dexus is a signatory to RE100 and has been purchasing renewable electricity in the form of GreenPower since 2008, in line with its targets for sourcing 100% renewable electricity and achieving net-zero emissions. Sourcing renewable energy through on-site renewable energy installations and purchasing off-site renewable energy sources is embedded as a standard within Dexus' energy tendering process.",,,Data pack,,67,,"GreenPower, renewable electricity, net-zero emission","7, 13",E,,,,,,,,,,,,,,,
120,,305.0,Emissions,305-05,Reduction of GHG emissions,,Macarthur Wind Farm,,,Dexus,2023.0,"Macarthur Wind Farm spans 5,500 hectares and is the largest wind farm in the southern hemisphere. The wind farm comprises 140 wind turbines capable of generating 420 MW of energy, enough to power the equivalent of 180,000 Australian homes every year. Energy generated from the wind farm is fully committed under a fixed-price contract until 2038.",,,Data pack,,51,,"Macarthur Wind Farm, wind turbine, fixed-price contract","7, 8, 13","E, S",,,,,,,,,,,,,,,
