Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
156,,403.0,Occupational Health and Safety,403-05,Worker training on occupational health and safety,,,,NO DISCLOSURE,Evolution Mining,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
157,,403.0,Occupational Health and Safety,403-06,Promotion of worker health,,,,NO DISCLOSURE,Evolution Mining,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
158,,403.0,Occupational Health and Safety,403-07,Prevention and mitigation of occupational health and safety impacts directly linked by business relationships,,,,NO DISCLOSURE,Evolution Mining,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
159,,403.0,Occupational Health and Safety,403-08,Workers covered by an occupational health and safety management system,A worker health and safety management system and associated controls cover 100% of workers (including contractors).,,,,Evolution Mining,2023.0,,,,GRI Index,,,,,,S,,,,,,,,,,,,,,,
160,,403.0,Occupational Health and Safety,403-09,Work-related injuries,"In FY23, the Total Recordable Injury Frequency (TRIF) was reported at 8.63, indicating the overall frequency of work-related injuries. The Total Lost Time Injury Frequency (LTIF) was also recorded at 2.24, reflecting injuries resulting in lost working time.",,,,Evolution Mining,2023.0,,,,GRI Index,,,,,,S,,,,,,,,,,,,,,,
161,,403.0,Occupational Health and Safety,403-10,Work-related ill health,"In FY23, the Occupational Illness Frequency, including employees and contractors, was reported at 0.59. This index reflects the frequency of occupational illnesses within the workforce and highlights the Company's commitment to tracking and addressing health-related issues among employees and contractors.",,,,Evolution Mining,2023.0,,,,GRI Index,,,,,,S,,,,,,,,,,,,,,,
162,,404.0,Training and Education,404-01,Average hours of training per year per employee,"In FY23, employees received an average of 61.5 hours of training. This training encompassed various categories, including leadership training (Leader Essential), compliance training (Manager/Supervisor Training, High-Risk Licenses), competency training (Operations Training, Inductions, Safety Training), and development training, where formal courses or conferences were deemed necessary.",,,,Evolution Mining,2023.0,,,,GRI Index,,,,,,S,,,,,,,,,,,,,,,
163,,404.0,Training and Education,404-02,Programs for upgrading employee skills and transition assistance programs,,Extensive training,,,Evolution Mining,2023.0,"Extensive training is provided to increase or improve skills and knowledge that mitigate the risk of health and safety incidents, meet compliance requirements, and increase employees' understanding of their responsibilities towards the environment and our communities. The annual performance review also covers training and development needs and goals.",,,,,125,,"Extensive training, Training, Employees","3, 8, 9",S,,,,,,,,,,,,,,,
164,,404.0,Training and Education,404-03,Percentage of employees receiving regular performance and career development reviews,,Performance and career development reviews,,,Evolution Mining,2023.0,"Many of Evolution's workforce engages in regular performance and career development reviews. Notably, 95% of salaried employees and 74% of hourly employees participate in these essential evaluations.",,,GRI Index,,,,"Performance, career, development reviews","3, 8, 9",S,,,,,,,,,,,,,,,
165,,405.0,Diversity and Equal Opportunity,405-01,Diversity of governance bodies and employees,,Inclusion and Diversity Approach,,,Evolution Mining,2023.0,"ENV recognizes the benefits of an inclusive workforce, valuing people's diverse experiences, perspectives, and backgrounds. ENV aims for everyone to feel respected, comfortable, and confident to bring their best self to work, fostering professional and personal growth.",,,,66,,,"Inclusion, Diversity, Opportunity","8, 9",S,,,,,,,,,,,,,,,
