Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
111,,302.0,Energy,302-04,Reduction of energy consumption,,Onsite solar installation,,,Lynas Rare Earth,2023.0,"The Lynas Malaysia plant primarily uses natural gas and electricity, with some diesel consumed in machines and processes. During the year, Lynas Malaysia signed a 1MW onsite solar installation contract. Implementing onsite solar installations at Lynas Rare Earth's facilities is a commendable step towards Sustainability and reducing the environmental footprint of its operations.",,,3,24,,,"Energy, solar, sustainability","7, 13",E,,,,,,,,,,,,,,,
112,,302.0,Energy,302-05,Reductions in energy requirements of products and services,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
113,,303.0,Water and Effluents,303-01,Interactions with water as a shared resource,"Mt Weld uses groundwater and recycled water; The Kalgoorlie Rare Earths Processing Facility uses treated grey water supplied by the City of Kalgoorlie-Boulder; in Lynas, Malaysia, it uses scheme water (city water) provided by the local water utility provider.",,,,Lynas Rare Earth,2023.0,,,,3,30.31,,,,,,,,,,,,,,,,,,,,
114,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,,,,NO DISCLOSURE,Lynas Rare Earth,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
115,,303.0,Water and Effluents,303-03,Water withdrawal,"The total water withdrawn is 5,895,628 per m3.",,,,Lynas Rare Earth,2023.0,,,,3,30,,,,,,,,,,,,,,,,,,,,
116,,303.0,Water and Effluents,303-04,Water discharge,The total water being discharged is 48.7%.,,,,Lynas Rare Earth,2023.0,,,,3,30,,,,,,,,,,,,,,,,,,,,
117,,303.0,Water and Effluents,303-05,Water consumption,"The total water consumption is 6,452,685 per m3.",,,,Lynas Rare Earth,2023.0,,,,3,30,,,,,,,,,,,,,,,,,,,,
118,,304.0,Biodiversity,304-01,"Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",The Mt Weld mine site is on approximately 2500 hectares of mining leases.,,,,Lynas Rare Earth,2023.0,,,,3,27,,,,,,,,,,,,,,,,,,,,
119,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",,Environmental management plan,,,Lynas Rare Earth,2023.0,"At Mt Weld, Lynas implements an Environmental Management Plan approved by the EPA. Our Environmental Management Plan includes a mitigation hierarchy that sets objectives and targets for flora, fauna, surface water, and groundwater.",,,3,27,,,"Biodiversity, environmental, EMP","11, 12,13",E,,,,,,,,,,,,,,,
120,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",,Groundwater seepage monitoring,,,Lynas Rare Earth,2023.0,"Monitoring groundwater seepage is crucial for ensuring environmental integrity and safety of mining and processing operations, especially in the Lynas Rare Earth. Lynas Rare Earth We perform quarterly groundwater seepage monitoring surrounding our Mt Weld tailings storage facilities with water analysis performed by an independent third party. Since commencing Mt Weld operations, no groundwater quality impact has been recorded.",,,3,27,,,"Biodiversity, groundwater, monitoring","11, 12",E,,,,,,,,,,,,,,,
121,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",,Vegetation health monitoring,,,Lynas Rare Earth,2023.0,"Vegetation health monitoring is integral to Lynas Rare Earth's commitment to environmental stewardship and Sustainability. In addition, 15 years of vegetation health monitoring has shown no significant impacts on flora surrounding the Mt Weld site.",,,3,27,,,"Biodiversity, vegetation, monitoring",111213,E,,,,,,,,,,,,,,,
122,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",,Annual Rehabilitation Monitoring,,,Lynas Rare Earth,2023.0,"Annual Rehabilitation Monitoring, including vegetation trials, is undertaken, and 5 years of monitoring data has been obtained. The mountainous vegetation surrounding the Mt Weld site was surveyed by biodiversity experts in September 2020 and assessed as ""excellent condition"", the second highest rating available.",,,3,27,,,"Biodiversity, rehabilitation, monitoring",11.12,E,,,,,,,,,,,,,,,
123,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",,Radiation management plan,,,Lynas Rare Earth,2023.0,"Mt Weld also has an approved Radiation Management Plan (RMP) as prescribed by the Mines Safety and Inspection Act, 1994, with a tenth iteration approved by the Department of Mines, Industry Regulation and Safety in March 2022. Ongoing monitoring has shown there is no increase in background radiation.",,,3,27,,,"Biodiversity, Radiation, RMP",8.12,E,,,,,,,,,,,,,,,
