Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
160,,305.0,Emissions,305-07,"Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",,,,NO DISCLOSURE,Spark,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
161,,306.0,Waste,306-01,Waste generation and significant waste-related impacts,,,,NO DISCLOSURE,Spark,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
162,,306.0,Waste,306-02,Management of significant waste-related impacts,,E-waste and Network Recycling,,,Spark,2023.0,"Spark has a long-standing programme for managing end-of-life network equipment and technology. Recovered equipment is separated into different waste streams, such as printed circuit boards, copper cables, lead batteries, and all types of metals.",,,2,,47,,"Waste, Network, Recycle",11.12,E,,,,,,,,,,,,,,,
163,,306.0,Waste,306-02,Management of significant waste-related impacts,,Mobile Phone Recycling,,,Spark,2023.0,"This continues a longer-term trend of reduced recycling collection numbers. As mobile devices become more advanced and robust, their lifecycles have extended, meaning customers are replacing their devices less frequently, and we are experiencing a lower recycling volume.",,,2,,47,,"Mobile, Phone, Recycle",11.12,E,,,,,,,,,,,,,,,
164,,306.0,Waste,306-03,Waste generated,"In FY23, we recovered 559 tonnes of e-waste, up slightly from 545 tonnes in FY22.",,,,Spark,2023.0,,,,2,,47,,,,,,,,,,,,,,,,,,,
165,,306.0,Waste,306-04,Waste diverted from disposal,,,,NO DISCLOSURE,Spark,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
166,,306.0,Waste,306-05,Waste directed to disposal,,,,NO DISCLOSURE,Spark,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
167,,307.0,Environmental Compliance,307-01,Non-compliance with environmental laws and regulations,,,,NO DISCLOSURE,Spark,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
168,,308.0,Supplier Environmental Assessment,308-01,New suppliers that were screened using environmental criteria,,Joint Audit Cooperation (JAC),,,Spark,2023.0,"JAC is an international association of telecommunications operators aiming to align around a standard set of requirements and KPIs for ICT suppliers to uphold human rights and social, labour, and environmental standards. The association aims to verify, develop, and assess the Corporate Social Responsibility (CSR) implementation across the manufacturing centres of suppliers in the industry.",,,2,,70,,"Joint, Audit, Cooperation",12.17,"S,G",,,,,,,,,,,,,,,
169,,308.0,Supplier Environmental Assessment,308-02,Negative environmental impacts in the supply chain and actions taken,,Supplier Code of Conduct,,,Spark,2023.0,"The Policy supplemented several long-standing policies and processes to protect and uphold human rights. For example, our Supplier Code of Conduct sets precise requirements for our suppliers, and our Privacy Policy and values outline clear expectations around protecting our customers' rights around their personal data and environment.",,,2,,70,,"Supplier, Code, Conduct",12.17,"S,G",,,,,,,,,,,,,,,
170,,308.0,Supplier Environmental Assessment,308-02,Negative environmental impacts in the supply chain and actions taken,,SAP Ariba Platform,,,Spark,2023.0,"Spark is in the process of transitioning our supplier management system to the SAP Ariba platform. This system provides improved methods for data collection from suppliers, including self-assessment questionnaires and compliance declarations, covering topics such as modern slavery and science-based emissions reduction targets.",,,2,,70,,"SAP, Ariba, Platform",12.17,"S,G",,,,,,,,,,,,,,,
171,,401.0,Employment,401-01,New employee hires and employee turnover,"In FY23, the total number of newly hired employees was 1,274.",,,,Spark,2023.0,,,,2,,59,,,,,,,,,,,,,,,,,,,
172,,401.0,Employment,401-02,Benefits provided to full-time employees that are not provided to temporary or part-time employees,"Employees with active Spark mobile or broadband accounts will receive monthly credits of $120, which can be used towards Spark products or services.",,,,Spark,2023.0,,,,2,,145,,,,,,,,,,,,,,,,,,,
173,,401.0,Employment,401-03,Parental leave,,Parental Leave Policy,,,Spark,2023.0,"Spark provides a parental leave policy for eligible employees, regardless of gender, sexuality, age or whether the employee is giving birth or adopting a child. In FY23, we refreshed our parental offering Ã¢ÂÂ WhakapuÃÂwai Ã¢ÂÂ to offer better support to primary parents through the process of having children and returning to work and encouraging secondary parents to be able to take a more active role in that journey to support more equitable outcomes.",,,2,,61,,"Parental, Leave, Policy",81016.0,S,,,,,,,,,,,,,,,
174,,402.0,Labor/Management Relations,402-01,Minimum notice periods regarding operational changes,,,,NO DISCLOSURE,Spark,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
175,,403.0,Occupational Health and Safety,403-01,Occupation health and safety management system,,Health and Safety Management System,,,Spark,2023.0,"A Health and Safety Management System is a comprehensive framework designed to manage and improve occupational health and safety within an organization. The primary goal is to create a safe and healthy work environment, prevent accidents and injuries, and ensure compliance with relevant health and safety regulations.",,,2,,55,,"HSE, Management, System",3.8,S,,,,,,,,,,,,,,,
176,,403.0,Occupational Health and Safety,403-01,Occupation health and safety management system,,Platform for health and safety,,,Spark,2023.0,"A platform for health and safety refers to a digital or software-based solution designed to streamline, manage, and enhance various aspects of occupational health and safety (OHS) within an organization. Such platforms leverage technology to support the implementation and ongoing management of health and safety programs, ensuring compliance with regulations, promoting a safe work environment, and facilitating communication among stakeholders.",,,2,,55,,"HSE, Safety, Platform",3.8,S,,,,,,,,,,,,,,,
177,,403.0,Occupational Health and Safety,403-01,Occupation health and safety management system,,Proactive owners approach,,,Spark,2023.0,"Proactively identify potential challenges, risks, and obstacles in a given situation. This involves thoroughly analyzing the environment, hazards, and factors that could impact the desired outcomes.",,,2,,55,,"HSE, Proactive Approach",3.8,S,,,,,,,,,,,,,,,
178,,403.0,Occupational Health and Safety,403-01,Occupation health and safety management system,,Resources and Supporting Activity,,,Spark,2023.0,"Resources and supporting activity refer to the various assets, tools, and actions contributing to or facilitating a particular task, project, or objective. The initiative may be used in the planning, execution, and evaluation phases to ensure all necessary elements are considered and aligned with the overarching goals.",,,2,,55,,"HSE, Resource, Activity",3.8,S,,,,,,,,,,,,,,,
179,,403.0,Occupational Health and Safety,403-01,Occupation health and safety management system,,Pandemic planning and \nresponse activities,,,Spark,2023.0,"Pandemic planning and response activities refer to the strategic and operational measures by Spark Limited to prepare for and respond to a pandemic. These activities aim to mitigate the impact of a widespread infectious disease outbreak, such as the flu or a novel virus, on public health, safety, and essential services.",,,2,,55,,"Pandemic, Planning, Response",3.8,S,,,,,,,,,,,,,,,
180,,403.0,Occupational Health and Safety,403-01,Occupation health and safety management system,,Wider Leadership Group,,,Spark,2023.0,"A more comprehensive Leadership Group refers to an organization's broader or extended Group of leaders. While the specific composition and responsibilities can vary, the Wider Leadership Group often includes leaders who play critical roles beyond the top executive or senior management team. This Group may encompass leaders from various levels and departments who contribute to an organisation's overall leadership and strategic direction of occupational health and safety (OHS).",,,2,,55,,"Wider, Leadership, Group",3.8,S,,,,,,,,,,,,,,,
181,,403.0,Occupational Health and Safety,403-01,Occupation health and safety management system,,Centre of Excellence (CoE) Meeting,,,Spark,2023.0,"A Center of Excellence is a dedicated team or Group within an organization that focuses on and promotes best practices, expertise, and knowledge in a particular area. CoE meetings are essential for collaboration, knowledge sharing, decision-making, and continuous improvement within the designated area of expertise.",,,2,,55,,"Centre, Excellence, Meeting",3.8,S,,,,,,,,,,,,,,,
182,,403.0,Occupational Health and Safety,403-01,Occupation health and safety management system,,Routine Events for Health and Safety,,,Spark,2023.0,"Routine events for health and safety refer to regular and planned activities by Spark Limited that are designed to maintain and enhance the health, safety, and wellbeing of individuals in the workplace. These events are part of an organization's commitment to creating a safe and healthy work environment, preventing accidents and injuries, and complying with relevant health and safety regulations.",,,2,,55,,"HSE, Routine, Events",3.8,S,,,,,,,,,,,,,,,
183,,403.0,Occupational Health and Safety,403-02,"Hazard identification, risk assessment, and incident investigation",,,,NO DISCLOSURE,Spark,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
184,,403.0,Occupational Health and Safety,403-03,Occupational health services,,,,NO DISCLOSURE,Spark,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
185,,403.0,Occupational Health and Safety,403-04,"Worker participation, consultation, and communication on occupational health and safety",,,,NO DISCLOSURE,Spark,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
186,,403.0,Occupational Health and Safety,403-05,Worker training on occupational health and safety,,,,NO DISCLOSURE,Spark,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
187,,403.0,Occupational Health and Safety,403-06,Promotion of worker health,,,,NO DISCLOSURE,Spark,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,
