Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
36,,102.0,General Disclosures,102-34,Nature and total number of critical concerns,,,,NO DISCLOSURE,Vicinity Centres,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,102.0,General Disclosures,102-35,Remuneration policies,,Tax Exempt Restricted Securities Plan (TERSO),,,Vicinity Centres,2023.0,"Subject to the Board's approval each year, $1,000 worth of Vicinity securities are granted annually to eligible employees for nil consideration. Securities granted are subject to a three-year trading restriction unless the employee ceases to be employed by the Group. Participants in the LTI do not participate in the TERSO.",,,,,"50, 107",,"Remuneration Policies, Employee Benefits, Long-Term Incentives",8,G,,,,,,,,,,,,,,,,
38,,102.0,General Disclosures,102-35,,,Short-Term Incentive,,,Vicinity Centres,2023.0,"The STI allows eligible employees to receive an annual, performance-based incentive award when a combination of short-term Group financial, strategy and portfolio enhancement, and individual performance objectives are achieved. For executive KMP, other members of the ELT and other senior executives, a portion of the annual STI award is deferred into equity for 12 to 24 months.",,,,,107,,"Short-Term Incentives, Performance Evaluation, Employee Benefits",8,G,,,,,,,,,,,,,,,,
39,,102.0,General Disclosures,102-35,,,Long-Term Incentive,,,Vicinity Centres,2023.0,"Executive KMP, other members of the Executive Leadership Team (ELT) and other senior executives are granted a combination of performance and restricted rights to acquire Vicinity securities for nil consideration. Performance rights granted are subject to Total Shareholder Return (TSR) and Total Return (TR) hurdles.",,,,,107,,"Executive Compensation, Equity Compensation, Performance Evaluation",8,G,,,,,,,,,,,,,,,,
40,,102.0,General Disclosures,102-36,Process for determining remuneration,"Vicinity has a Remuneration and Human Resources Committee, which assists the Board in fulfilling its corporate governance responsibilities about the remuneration framework, remuneration and performance of the CEO, and the ELT and remuneration disclosures.",,,,Vicinity Centres,2023.0,,,,,50,,,,,,,,,,,,,,,,,,,,,
41,,102.0,General Disclosures,102-37,Stakeholders' involvement in remuneration,,,,NO DISCLOSURE,Vicinity Centres,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,102.0,General Disclosures,102-38,Annual total compensation ratio,,,,NO DISCLOSURE,Vicinity Centres,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,102.0,General Disclosures,102-39,Percentage increase in annual total compensation ratio,,,,NO DISCLOSURE,Vicinity Centres,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,102.0,General Disclosures,102-40,List of stakeholder groups,"Consumers and local communities, Suppliers and contractors, Retailers, Strategic partners, Securityholders, Our people, Government and regulators, Industry groups, Community groups",,,,Vicinity Centres,2023.0,,,,,"17, 18, 19",,,,,,,,,,,,,,,,,,,,,
45,,102.0,General Disclosures,102-41,Collective bargaining agreements,Vicinity respects and is guided by Fair Work Australia and the Fair Work Act 2009 on individuals' rights to join freely and form a trade union of their choice and their right to collective bargaining.,,,,Vicinity Centres,2023.0,,,,,49,,,,,,,,,,,,,,,,,,,,,
