Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
63,,,"(iv) number of other significant positions and commitments held by each member, and the nature of the commitments",,,,,,,,,
64,,,(v) gender,,,,,,,,,
65,,,(vi) under-represented social groups,,,,,,,,,
66,,,(vii) competencies relevant to the impacts of the organisation,,,,,,,,,
67,,,(viii) stakeholder representation,,,,,,,,,
68,,2-10: Nomination and slection of the highest governance body\nThe organisation shall:,,,,,,,,,,
69,,2-10-a,Describe the nomination and selection processes for the highest governance body and its committees,,2023 Corporate Governance Statement (p.7),,,,,,,
70,,"2-10-b\n\nDescribe the criteria used for nominating and selecting highest governance body members, including whether and how the following are taken into consideration:",(i) views of stakeholders (including shareholders),,,,,,,,,
71,,,(ii) diversity,,,,,,,,,
72,,,(iii) independence,,,,,,,,,
73,,,(iv) competencies relevant to the impacts of the organisation,,,,,,,,,
74,,2-11: Chair of the highest governance body\nThe organisation shall:,,,,,,,,,,
75,,2-11-a,Report whether the chair of the highest governance body is also a senior executive in the organisation,,"Chair of the ANZ Board is an independent non executive director.\n2023 Annual Report, Directors report (p.84-86)\n2023 Corporate Governance Statement (p.5)",,,,,,,
76,,2-11-b,"If the chair is also a senior executive, explain their function within the organisation's management, the reasons for this arrangement and how conflicts of interest are prevented and mitigated",,,,2-11-a,"Not applicable, see response to 2-11-a",,,,
77,,2-12: Role of the highest governance body in overseeing the management of impacts\nThe organisation shall:,,,,,,,,,,
78,,2-12-a,"Describe the role of the highest governance body and of senior executives in developing, approving, and updating the organisation's purpose, value or mission statements, strategies, policies and goals related to sustainable development",,"2023 Corporate Governance Statement\n2023 Annual Report, Governance (p.17-23)\n2023 ESG Supplement, ESG governance and risk management (p.8-9)\n2023 Climate-related Financial Disclosures, Governance (p.8-11)",,,,,,,
