Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
2,,6. People & Culture,,,,,,,,,,,,,,,,,,,,,
4,,Diversity Breakdown,,,,,,,,,,,,,,,,,,,,,
5,,,GRI,SASB,CSA,FY23,Column2,Column3,Column4,Column5,Column6,FY22,Column7,Column8,Column9,Column10,Column11,FY21,Column12,Column13,Column14,Column15,Column16
6,,Year-end 30 June,,,,Gender (%),,Age group (%),,,Identify as IndigenousÃÂ¹ (%),Gender (%),,Age group (%),,,Identify as IndigenousÃÂ¹ (%),Gender (%),,Age group (%),,,Identify as IndigenousÃÂ¹ (%)
7,,,,,,Male,Female,<30 years,30-49 years,>50 years,,Male,Female,<30 years,30-49 years,>50 years,,Male,Female,<30 years,30-49 years,>50 years,
9,,Diversity breakdown,,,,,,,,,,,,,,,,,,,,,
10,,Full APA Board (including non-executive directors),"405-1, 405-2",,"3.1.1, 3.1.4, 5.1.2; 5.1.5; 5.1.6",57,43,0,14,86,0,63,37,0,0,100,0,63,37,0,0,100,0
11,,All employees,"405-1, 405-2",,"3.1.1, 5.1.2; 5.1.5; 5.1.6",68,32,9,57,34,<1,71,29,8,58,34,<1,71,29,7.2,59,33.8,<1
12,,Executive Leadership Team (ELT)2,405-1,,"3.1.1, 5.1.2; 5.1.5; 5.1.6",56,44,0,33,67,0,71,29,0,43,57,0,63,37,0,50,50,0
13,,Senior leaders,405-1,,"3.1.1, 5.1.2; 5.1.5; 5.1.6",69,31,0,61,39,0,71,29,0,66,34,0,75,25,0,60,40,0
14,,Other employees,405-1,,"3.1.1, 5.1.2; 5.1.5; 5.1.6",68,32,10,57,33,<1,71,29,9,58,33,<1,71,29,8,59,33,<1
16,,Divisional diversity,,,,,,,,,,,,,,,,,,,,,
17,,Operational Divisions,405-1,,3.1.1,75,25,10,53,37,<1,76,24,8,56,36,<1,77,23,7,57,36,<1
18,,Corporate Divisions,405-1,,3.1.1,51,49,7,67,26,<1,53,47,8,66,26,<1,53,47,8,65,27,0
21,,1 The Ã¢ÂÂ% Identify as IndigenousÃ¢ÂÂ measure relies on voluntary information. This measure represents APA employees who have voluntarily self-identified to APA that they are an Aboriginal and/or Torres Strait Islander person.,,,,,,,,,,,,,,,,,,,,,
22,,2 Executive Leadership Team (ELT) - portion of employees aligned to WGEA Management Category: Key Management Personnel / Head of Business; Key Management Personnel and internationally based ELT members (Excludes CEO).,,,,,,,,,,,,,,,,,,,,,
41,,Gender Targets Action Plan (GTAP)ÃÂ²,,,,,,,,,,,,,,,,,,,,,
42,,Year-end 30 June,GRI,SASB,CSA,2025 Target,UoM,FY23,,FY22,,FY21,,FY20,,FY19,,FY18,,,,,
44,,Board gender diversity,,,,,,M,F,M,F,M,F,M,F,M,F,M,F,,,,
45,,Full APA Board gender diversity (including non-executive directors),405-1,,3.1.4,40/40/20,%,57,43,63,37,63,37,57,43,67,33,57,43,,,,
47,,Female representation,,,,,,F,,F,,F,,F,,F,,F,,,,,
48,,Total workforce female representation,,,5.1.1,0.4,%,31.82,,29.5,,29.3,,29.6,,29,,27,,,,,
49,,Senior leader female representation,,,5.1.1,0.3,%,31.39,,30.4,,26.7,,19.8,,19,,17,,,,,
50,,Talent pipeline female representation,,,5.1.1,0.5,%,49.2,,39.6,,42,,40.6,,40,,30,,,,,
51,,Extended leadership female representation,,,5.1.1,0.4,%,35.63,,35.1,,34.8,,32.3,,28,,30.5,,,,,
54,,ÃÂ² FY23 GTAP metrics are based on data effective 30 June 2023. The data represented for previous financial years is based on APAÃ¢ÂÂs WGEA submission data effective 31 March. GTAP metrics align with Workplace Gender Equality Agency (WGEA) reporting rules in which only the Australian workforce is included. Ã¢ÂÂSenior LeadersÃ¢ÂÂ metric includes members from the Executive Leadership Team (ELT).,,,,,,,,,,,,,,,,,,,,,
56,,Employment Diversity,,,,,,,,,,,,,,,,,,,,,
57,,Year-end 30 June,GRI,SASB,CSA,UoM,FY23,,FY22,,FY21,,FY20,,FY19,,FY18,,,,,,
59,,Diversity of total workforce employment,,,,,M,F,M,F,M,F,M,F,M,F,M,F,,,,,
60,,Total employee,102-8,,,count,1640,767,1476,615,1427,577,1297,538,1233,501,1199,457,,,,,
61,,Total contingent worker,102-8,,,count,242,91,193,68,125,35,57,19,83,16,84,21,,,,,
62,,Total workforce employment,"102-7, 207-4",,5.3.3.e,count,1882,858,1669,683,1552,612,1354,557,1316,517,1283,478,,,,,
64,,Diversity of total employees by employment type,,,,,M,F,M,F,M,F,M,F,M,F,M,F,,,,,
65,,Permanent full time,102-8,,,count,1490,601,1328,486,1286,453,1194,413,1130,380,1106,332,,,,,
