Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
2,,9. Air Emissions,,,,,,,,,,
4,,Air EmissionsÃÂ¹,,,,,,,,,,
5,,Year-end 30 June,GRI,SASB,Unit,FY22,FY21,FY20,FY19,FY18,FY17,
7,,Oxides of nitrogen (NOX) emissions,,,,,,,,,,
8,,Gas transmission assets oxides of nitrogen (NOX),305-7,IF-EU-120a.1 & EM-MD-120a.1,tonnes,2564,2264.59,2226,1892,1818,2012,
9,,Power assets oxides of nitrogen (NOX),305-7,IF-EU-120a.1 & EM-MD-120a.1,tonnes,2130,2846.9,4426,4945,5775,6323,
10,,Total oxides of nitrogen (NOX) emissions,305-7,IF-EU-120a.1 & EM-MD-120a.1,tonnes,4694,5111.49,6652,6837,7593,8336,
12,,Oxides of sulfur (SOX) emissions,,,,,,,,,,
13,,Gas transmission assets oxides of sulfur (SOX),305-7,IF-EU-120a.1 & EM-MD-120a.1,tonnes,75,2.3,2,2,2,2,
14,,Power assets oxides of sulfur (SOX),305-7,IF-EU-120a.1 & EM-MD-120a.1,tonnes,0,0.5,1,1,1,1,
15,,Total oxides of sulfur (SOX) emissions,305-7,IF-EU-120a.1 & EM-MD-120a.1,tonnes,75,2.8,3,3,3,3,
17,,Volatile organic compounds (VOC) emissions,,,,,,,,,,
18,,Gas transmission assets direct volatile organic compounds (VOC),305-7,,tonnes,381,325.6,263,163,136,151,
19,,Power assets direct volatile organic compounds (VOC),305-7,,tonnes,0,77.2,124,100,126,141,
20,,Total direct volatile organic compounds (VOC) emissions,305-7,,tonnes,381,402.8,387,263,262,292,
22,,Hazardous air pollutant (HAP) emissions,,,,,,,,,,
23,,Gas transmission assets hazardous air pollutant (HAP),305-7,,tonnes,3,6.3,6,13,12,14,
24,,Power assets hazardous air pollutant (HAP),305-7,,tonnes,21,42,56,45,57,64,
25,,Total hazardous air pollutant (HAP) emissions,305-7,,tonnes,24,48.3,62,58,69,78,
27,,Particulate matter (PM) emissions,,,,,,,,,,
28,,Gas transmission assets particulate matter (PM),305-7,IF-EU-120a.1 & EM-MD-120a.1,tonnes,3,16.8,16,14,13,14,
29,,Power assets particulate matter (PM),305-7,IF-EU-120a.1 & EM-MD-120a.1,tonnes,44,86,76,76,73,74,
30,,Total particulate matter (PM) emissions,305-7,IF-EU-120a.1 & EM-MD-120a.1,tonnes,47,102.8,92,90,86,88,
32,,Persistent organic pollutant (POP) emissions,,,,,,,,,,
33,,Gas transmission assets persistent organic pollutant (POP),305-7,,tonnes,0,0,0,0,0,0,
34,,Power assets persistent organic pollutant (POP),305-7,,tonnes,0,0.1,0,0,0,0,
35,,Total persistent organic pollutant (POP) emissions,305-7,,tonnes,0,0.1,0,0,0,0,
37,,Lead emissions,,,,,,,,,,
38,,Gas transmission assets lead,,IF-EU-120a.1 & EM-MD-120a.1,kg,0,0,0,0,0,0,
39,,Power assets lead,,IF-EU-120a.1 & EM-MD-120a.1,kg,0,4.1,4,4,4,4,
40,,Total Lead emissions,,IF-EU-120a.1 & EM-MD-120a.1,kg,0,4.1,4,4,4,4,
42,,Mercury (Hg) emissions,,,,,,,,,,
43,,Gas transmission assets mercury (Hg),,IF-EU-120a.1 & EM-MD-120a.1,kg,0,0,0,0,0,0,
44,,Power assets mercury (Hg),,IF-EU-120a.1 & EM-MD-120a.1,kg,0,1.9,2,2,2,2,
45,,Total Mercury (Hg) emissions,,IF-EU-120a.1 & EM-MD-120a.1,kg,0,1.9,2,2,2,2,
48,,"1Emissions, substance, source and location data is accounted and reported in line with the National Environment Protection (National Pollutant Inventory) Measure. The emission factors used in APA's NPI reports are sourced from relevant industry emission estimation technique manuals available on the NPI website. APAÃ¢ÂÂs FY23 NPI submission is currently being prepared and will be lodged with the Regulator by 30 September 2023. Unless required to be displayed as a decimal, numbers and percentages have been rounded to the nearest whole number.",,,,,,,,,,
