Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
2,,Global Reporting Initiative (GRI) Standards Index,,,
4,,GRI topic,Code,Disclosure,APA response / reference
5,,GENERAL AND MANAGEMENT,,,
6,,GRI 102: General Disclosures (2016),,,
7,,,Organisational Profile,,
8,,,102-1,Description of the organizationÃ¢ÂÂs activities,APA Annual Report 2023
9,,,102-2,Location of headquarters,"Head Office: Level 25, 580 George Street, Sydney NSW 2000"
10,,,103-3,Location of operations,APA Annual Report 2023
11,,,103-4,Ownership and legal form,"APA Group (APA) comprises two registered investment schemes, \n- APA Infrastructure Trust, and\n- APA Investment Trust \nand their controlled entities"
12,,,102-5,Countries of operation,Australia
13,,,102-6,Markets served,APA Annual Report 2023
14,,,102-7,Scale of the organisation,APA Annual Report 2023 Ã¢ÂÂ About APA
15,,,102-8,Information on employees and other workers,APA Annual Report 2023 - Sustainability @ APA - People and culture\nAPA FY23 Sustainability Data Book - 6. People & Culture
16,,,102-9,Description of the organizationÃ¢ÂÂs supply chain,APA Annual Report 2023
17,,,102-10,Significant changes to the organisation and its supply chain,APA Annual Report 2023
18,,,102-11,Whether and how the organisation applies the Precautionary Principle or approach,"The Precautionary Principle is implicitly and generally reflected in APAÃ¢ÂÂs approach to Risk Management via our Risk Appetite, Risk Management System (RMS) and the systematic application of risk assessment, risk management and risk communication applied through our HSEH Management System.\nFor more information refer to Annual Report 2022 (Risk Management), Sustainability Report 2022 (Environment Chapter), and our RiskÃÂ Management Policy, EnvironmentÃÂ andÃÂ HeritageÃÂ Policy and Health,\nSafetyÃÂ andÃÂ WellbeingÃÂ Policy."
19,,,102-12,"A list of externally-developed economic, environmental and social charters, principles, or other initiatives to which the organisation subscribes, or which it endorses",Financial Stability BoardÃ¢ÂÂs Task Force on Climate- related Financial Disclosures (TCFD)\nGlobal Reporting Initiative (GRI) \nSustainability Accounting Standards Board (SASB) \nUnited Nations Sustainable Development Goals (UN SDGs)\nWorkplace Gender Equality Agency (WGEA)\nNote: This list is not an exhaustive.
20,,,102-13,Membership of associations,APA Annual Report 2023 - Governance section - Membership of associations
21,,,Strategy,,
22,,,102-14,Statement from senior decision-maker,"APA Annual Report 2023 - Letter from Chair & CEO,"
23,,,102-15,"Key impacts, risks, and opportunities",APA Annual Report 2023\nAPA Climate Transition Plan 2022
24,,,Ethics and integrity,,
25,,,102-16,"Values, principles, standards, and norms of behaviour",APA Annual Report 2023 - Governance\nAPA Website Ã¢ÂÂConduct PoliciesÃ¢ÂÂ; https://www.apa.com.au/about-apa/our-\norganisation/corporate-governance/
26,,,102-17,Mechanisms for advice and concerns about ethics,APA Annual Report 2023 - Governance
27,,,Governance,,
28,,,102-18,Governance structure,APA Annual Report 2023 - Governance\nAPA FY23 Corporate Governance Statement - Board and its Committees
29,,,102-19,"Process for delegating authority for economic, environmental, and social topics from the highest governance body to senior executives and other employees.",APA Annual Report 2023 - Governance\nAPA FY23 Corporate Governance Statement - Board and its Committees
30,,,102-20,"Executive-level responsibility for economic, environmental, and social topics.",APA Annual Report 2023 - Governance \nAPA FY23 Corporate Governance Statement
31,,,102-21,"Consulting stakeholders on economic, environmental, and social topics",APA Annual Report 2023 \n- Sustainability @ APA\n- Community & Social Performance \n- First Nations Peoples
32,,,102-22,Composition of the highest governance body and its committees,APA FY23 Corporate Governance Statement - Board and its Committees
33,,,102-23,Chair of the highest governance body,APA FY23 Corporate Governance Statement - Board and its Committees
34,,,102-24,Nominating and selecting the highest governance body,APA FY23 Corporate Governance Statement - Selection and appointment of Directors; Nomination Committee
