Unnamed: 0,2023 Sustainability Report - Governance and Ethics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,SDJ: Sales de Jujuy (Olaroz Lithium Facility) - SDV: Sal de Vida - JB: James Bay - MC: Mt Cattlin,,,,,,,,,,
2,Corporate Governance*,,,,,,,,,,
4,INDICATOR,Unit,2018,2019,2020,2021,2022,2023,,,
5,Board members,,,,,,,,,,
6,Total Directors on Board,Number,8,8,8,8,9,8,,,
7,Non-Executive Directors,Number,7,7,7,7,8,7,,,
8,Diversity in Governance Bodies by Gender,,,,,,,,,,
9,Male Directors,Number,7,7,7,6,7,6,,,
10,Percentage of Male Directors,%,0.88,0.88,0.88,0.75,0.777778,0.75,,,
11,Female Directors,Number,1,1,1,2,2,2,,,
12,Percentage of Female Directors,%,0.13,0.13,0.13,0.25,0.222222,0.25,,,
13,Diversity in Governance Bodies by Age,,,,,,,,,,
14,<30,Number,0,0,0,0,0,0,,,
15,30-50,Number,0,0,0,1,0,0,,,
16,>50,Number,8,8,8,7,9,8,,,
17,Corporate Governance,,,,,,,,,,
18,Average tenure (years),Years,6,6,7,7,6,6,,,
19,Separate Chairman of the Board and CEO,YES/NO,Yes,Yes,Yes,Yes,Yes,Yes,,,
20,Number of countries/cultures represented,Number,4,4,4,4,3,3,,,
21,Independent Directors,,,,,,,,,,
22,Full Board,%,0.75,0.625,0.63,0.625,0.777778,0.75,,,
23,Audit and Risk Committee,%,1,0.67,1,1,1,1,,,
24,People and Remuneration Committee,%,1,1,1,0.666667,0.666667,0.666667,,,
25,Related Party Committee (Renamed Nominations and Governance in 2022),%,1,0.84,0.83,0.833333,0.714286,-,,,
26,Nomination and Governance Committee,%,-,-,-,-,1,1,,,
27,Sustainability Committee,%,-,-,0.75,0.666667,0.666667,0.666667,,,
28,Number of Board meetings scheduled or held,Number,11,10,12,19,7,11,,,
29,Attendance,,,,,,,,,,
30,Full Board,%,0.95,0.97,0.99,0.97,0.98,0.98,,,
31,Audit and Risk Committee,%,0.56,0.93,0.95,0.95,1,0.94,,,
32,People and Remuneration Committee,%,1,1,1,1,1,1,,,
33,Related Party Committee (Renamed Nominations and Governance in 2022),%,1,0.93,0.97,0.94,1,-,,,
34,Nomination and Governance Committee,%,-,-,-,-,1,1,,,
35,Sustainability Committee,%,-,-,1,0.8,1,1,,,
36,Independent Performance Review,YES/NO,Yes,Yes,Yes,No,No,No,,,
37,Board Review and Approval of Sustainability Report,YES/NO,Yes,Yes,Yes,Yes,Yes,Yes,,,
38,Shareholder support of the advisory vote on executive compensation,%,0.96,0.95,0.94,0.77,0.81,0.9247,,,
39,*. Data on governance and Board are reported based on Allkem Group.,,,,,,,,,,
40,Ã¢ÂÂÃÂ : No information,,,,,,,,,,
42,Ethics - Code of Conduct *,,,,,,,,,,
44,INDICATOR,Unit,2018,2019,2020,2021,2022,2023,,,
45,Sales de Jujuy,,,,,,,,,,
46,Employees,,,,,,,,,,
47,Percentage of employees that have signed acknowledgement on the Code of Conduct,%,-,1,1,0.97,0.929936,0.88,,,
48,Percentage of employees trained on Code of Conduct,%,-,1,1,0.97,0.929936,0.88,,,
49,Employee training on Human Rights policies or procedures1,Hours,-,,,94,150,6382,,,
50,Suppliers/Contractor,,,,,,,,,,
51,Percentage of contractors/suppliers that have signed acknowledgement on the Code of Conduct,%,-,-,-,-,0.41,1,,,
52,Contractors/suppliers trained on Code of Conduct2,Quantity,-,-,-,-,-,378,,,
53,Sal de Vida,,,,,,,,,,
54,Employees,,,,,,,,,,
55,Percentage of employees that have signed acknowledgement on the Code of Conduct,%,-,-,-,-,0.3412,0.97,,,
56,Percentage of employees trained on Code of Conduct,%,-,-,-,-,0.3412,0.97,,,
57,Employee training on Human Rights policies or procedures1,Hours,-,-,-,-,153,810,,,
58,Suppliers/Contractor,,,,,,,,,,
59,Percentage of contractors/suppliers that have signed acknowledgement on the Code of Conduct,%,-,-,-,-,-,-,,,
60,Contractors/suppliers trained on Code of Conduct2,Quantity,-,-,-,-,-,97,,,
61,James Bay,,,,,,,,,,
62,Employees,,,,,,,,,,
63,Percentage of employees that have signed acknowledgement on the Code of Conduct,%,-,-,-,-,1,0.79,,,
64,Percentage of employees trained on Code of Conduct,%,-,-,-,-,0,0.79,,,
65,Employee training on Human Rights policies or procedures1,Hours,-,-,-,-,30,16,,,
66,Suppliers/Contractor,,,,,,,,,,
67,Percentage of contractors/suppliers that have signed acknowledgement on the Code of Conduct,%,-,-,-,-,1,1,,,
68,Percentage of contractors/suppliers trained on Code of Conduct,Quantity,-,-,-,-,0,0,,,
69,Mt Cattlin,,,,,,,,,,
70,Employees,,,,,,,,,,
71,Percentage of employees that have signed acknowledgement on the Code of Conduct,%,-,-,-,-,-,0.79,,,
72,Percentage of employees trained on Code of Conduct,%,-,-,-,-,-,0.79,,,
73,Employee training on Human Rights policies or procedures1,Hours,-,-,-,-,-,0,,,
74,Suppliers/Contractor,,,,,,,,,,
75,Percentage of contractors/suppliers that have signed acknowledgement on the Code of Conduct,%,-,-,-,-,-,-,,,
76,Percentage of contractors/suppliers trained on Code of Conduct,Quantity,-,-,-,-,0,0,,,
77,"*. Data on ethics is reported separately for each subsidiary company as this information is managed separately. All Directors, Management Team, employees, consultants and contractors of the Company or group members must understand and comply with the company code of conduct.",,,,,,,,,,
78,1. Human Rights trainings include topics such as: Diversity and Inclusion; Cognitive Biases; Modern Slavery; and others.,,,,,,,,,,
79,"2. Includes all Permanent Contractors who are on site, and have receive training in code of conduct.",,,,,,,,,,
80,Ã¢ÂÂÃÂ : No information,,,,,,,,,,
