Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,,People,,,,,,,
1,,"AmpolÃ¢ÂÂs sustainability performance data covers the reporting period 1 January to 31 December, with the exceptions of energy (GJ), emissions data (Scope 1, 2 and 3) and emissions performance, all of which cover the reporting period 1 July to 30 June. Unless otherwise specified, Ampol's performance data is focused on our operations in Australia, Singapore, Houston (USA) and New Zealand (including Z Energy and Trading and Shipping supply to New Zealand). 'Fuels and Infrastructure' includes Lytton refinery, Trading and Shipping, Distribution, Infrastructure and Future Energy. Please refer to the definitions tab in this datasheet for further information on some data boundaries and calculations, as well as in the Sustainability Data footnotes on Pages 47-49 of Ampol's 2023 Annual Report. Additional Z Energy sustainability performance data, can be found on the Z Energy website.",,,,,,,
3,,Sustainability Performance Data,2019.0,2020.0,2021.0,2022.0,2023,,
5,,Group employee information,,,,,,,
6,,Employee headcount,7644.0,8127.0,8381.0,8790.0,9115,,
7,,Permanent full-time,2491.0,2350.0,2417.0,2549.0,3152,,
8,,Permanent part-time,3183.0,2128.0,1505.0,1076.0,1004,,
9,,Fixed-term contract full-time employees,51.0,52.0,51.0,61.0,123,,
10,,Fixed-term contract part-time employees,5.0,4.0,20.0,17.0,5,,
11,,Casual employees,1914.0,3593.0,4388.0,5087.0,4831,,
12,,Group female representation (%),,,,,,,
13,,Female representation at leadership level,37.4,37.7,37.9,37.0,40,,
14,,Overall female representation,42.6,42.8,41.9,42.3,42.4,,
15,,Group gender-based pay differences (%),,,,,,,
16,,Gender-based pay differences (like-for-like roles),0.4,1.8,1.4,1.3,1.3,,
17,,Gender-based pay differences overall group,,,,,13.7,,
18,,Cultural health scores,,,,,,,
19,,Group employee Net Promotor Score (eNPS),,,,,40+,,
20,,Ampol cultural health score (%),,63.0,71.0,70.0,79,,
21,,Group turnover (%),,,,,,,
22,,Voluntary,27.0,17.0,20.0,21.0,15,,
23,,Community,,,,,,,
24,,Australian total community investment (AUDm),2.48,2.47,3.17,4.1,4.63,,
25,,New Zealand total community investments (NZDm),,,,,2.77,,
26,,Community complaints in Australia only,62.0,34.0,27.0,90.0,30,,
27,,Personal safety,,,,,,,
28,,Total Group Recordable Injuries,135.0,83.0,41.0,42.0,53,,
29,,Group employees (includes all geographies),120.0,75.0,37.0,33.0,40,,
30,,Group contractors (includes all geographies),15.0,8.0,4.0,9.0,13,,
31,,Fuels & Infrastructure employees and contractors (Australia only),42.0,17.0,7.0,15.0,10,,
32,,Convenience Retail employees and contractors,93.0,66.0,34.0,27.0,28,,
33,,Z Energy employees and contractors,,,,,14,,
34,,Total Group Category 2 Severity Injuries,1.0,1.0,1.0,1.0,2,,
35,,Group employees (includes all geographies),,,,,2,,
36,,Group contractors (includes all geographies),,,,,0,,
37,,Fuels & Infrastructure employees and contractors (Australia only),1.0,0.0,1.0,1.0,0,,
38,,Convenience Retail employees and contractors,0.0,1.0,0.0,0.0,0,,
39,,Z Energy employees and contractors,,,,,2,,
40,,Total Group Recordable Injury Frequency Rate,11.5,7.4,3.4,3.6,3.2,,
41,,Group employees (includes all geographies),,,,,2.8,,
42,,Group contractors (includes all geographies),,,,,5.6,,
43,,Fuels & Infrastructure employees and contractors (Australia only),10.7,4.6,1.9,4.2,2.2,,
44,,Convenience Retail employees and contractors,14.0,10.1,4.6,3.5,3.8,,
45,,Z Energy employees and contractors,,,,,3.8,,
46,,Total Group Days Away from Work Injury Frequency Rate,5.7,3.1,1.8,1.5,1.6,,
47,,Group employees (includes all geographies),,,,,1.4,,
48,,Group contractors (includes all geographies),,,,,2.6,,
49,,Fuels & Infrastructure employees and contractors (Australia only),3.8,1.1,0.8,1.1,0.9,,
50,,Convenience Retail employees and contractors,7.8,4.8,2.4,1.8,1.6,,
51,,Z Energy employees and contractors,,,,,2.4,,
52,,Process Safety,,,,,,,
53,,Group Tier One Safety event,0.0,0.0,0.0,0.0,0,,
54,,Group Tier Two Safety event,2.0,1.0,3.0,1.0,3,,
55,,Group Total Fatalities,0.0,0.0,0.0,0.0,0,,
