Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
1,,Employees,,,,,,,,,,,,,,,,,,,,
3,,EMPLOYEE PROFILE,,,,,,,,,,,,,,,,,,,,
5,,Employee headcount,,2023,2022,2021,2020,,2019,,,,,,,,,,,,,
6,,Group Total,,41849,40744,41286,40464,,41269,,,,,,,,,,,,,
9,,Employees by contract type and gender,,2023,,,,,2022,,,,,2021,,,,2020,,,,
10,,,,Female,Male,Not disclosed1,Total,,Female,Male,Not disclosed,Total,,Female,Male,Total,,Female,Male,Total,,
11,,Permanent,,,,,,,,,,,,,,,,,,,,
12,,Full-time,,17980,19738,6,37724,,17189,19052,32,36273,,17058,18996,36054,,16194,18347,34541,,
13,,Part-time,,2718,448,1,3167,,3014,490,2,3506,,3363,566,3929,,4151,630,4781,,
14,,Fixed term,,,,,,,,,,,,,,,,,,,,
15,,Full-time,,317,286,0,603,,317,288,4,609,,403,421,824,,264,341,605,,
16,,Part-time,,72,29,0,101,,71,33,0,104,,109,39,148,,88,39,127,,
17,,Casual,,188,65,1,254,,193,59,0,252,,256,75,331,,322,88,410,,
18,,Total,,21275,20566,8,41849,,20784,19922,38,40744,,21189,20097,41286,,21019,19445,40464,,
19,,"1. Includes selection of both ""Non-binary"" and ""Prefer not to disclose""",,,,,,,,,,,,,,,,,,,,
21,,Employees by gender and region,,Female,Male,Not disclosed2,Total,,Female,Male,Not disclosed,Total,,Female,Male,Total,,Female,Male,Total,,
22,,Asia Pacific,,3085,2175,2,5262,,3048,2163,10,5221,,3484,2532,6016,,3560,2672,6232,,
23,,Australia,,10343,10254,5,20602,,10315,10059,20,20394,,10439,9975,20414,,10492,9521,20013,,
24,,New Zealand,,4439,3196,1,7636,,4399,3116,7,7522,,4387,3121,7508,,4426,3167,7593,,
25,,EAMEI3,,3408,4941,0,8349,,3022,4584,1,7607,,2879,4469,7348,,2541,4085,6626,,
26,,Total,,21275,20566,8,41849,,20784,19922,38,40744,,21189,20097,41286,,21019,19445,40464,,
