Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
2,,DISCLAIMER AND IMPORTANT NOTICES,,,,,,,,,,,,,
4,,DATA SHEETS,,,,,,,,,,,,,
5,,,Financing sustainability,,,,,,,,,,,,
6,,,Operational footprint,,,,,,,,,,,,
7,,,Community investment,,,,,,,,,,,,
8,,,Customer experience,,,,,,,,,,,,
9,,,Social and environmental risk management,,,,,,,,,,,,
10,,,Supply chain,,,,,,,,,,,,
11,,,Employees,,,,,,,,,,,,
13,,REPORTING FRAMEWORKS,,,,,,,,,,,,,
14,,,Global Reporting Initiative (GRI) 2021 Standards index,,,,,,,,,,,,
15,,,United Nations Guiding Principles on Business and Human Rights (UN GP) reporting framework,,,,,,,,,,,,
16,,,United Nations Sustainable Development Goals (UN SDGs) alignment,,,,,,,,,,,,
17,,,United Nations Principles of Responsible Banking (UN PRBs) self-assessment index,,,,,,,,,,,,
19,,KPMG ASSURANCE OPINION,,,,,,,,,,,,,
