Unnamed: 0,Unnamed: 0.1,Business Positive,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
0,,Last Updated:,2023-09-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,
1,,"For further information on performance, please refer to the appropriate Sustainability Review.",,,,,,,,,,,,,,,,,,,,,,,,
2,,We have divested companies' figures up until their divestment for transparency purposes in each table below,,,,,,,,,,,,,,,,,,,,,,,,
3,,Contents:,,,,,,,,,,,,,,,,,,,,,,,,
5,,Sharing and reusing model performance,,,,,People performance - Employee Stats continued,,,,,,,Responsible Supply Chain,,,,,,,,,,,,
6,,Environmental benefits delivered in customers' supply chains,,,,,Group employees returning from parental leave during the Year,,,,,,,Footnotes,,,,,,,,,,,,
7,,Customer feedback,,,,,Voluntary turnover of employees,,,,,,,,,,,,,,,,,,,
8,,Global insights relationship survey,,,,,Total number of employee hires,,,,,,,,,,,,,,,,,,,
9,,People performance - Employee Stats,,,,,Employee hires by gender,,,,,,,,,,,,,,,,,,,
10,,Number of employees,,,,,Employee hires by age group,,,,,,,,,,,,,,,,,,,
11,,Permanent employees by gender,,,,,Engagement,,,,,,,,,,,,,,,,,,,
12,,Permanent employees by gender (management positions) as at 30 June,,,,,Brambles Injury Frequency Rate (BIFR) and Lost Time Injury Frequency Rate (LTIFR),,,,,,,,,,,,,,,,,,,
13,,Office v Plant ratio,,,,,BIFR by gender,,,,,,,,,,,,,,,,,,,
14,,Employees by employment contract,,,,,BIFR by segment,,,,,,,,,,,,,,,,,,,
15,,Employees by employment type,,,,,Wellbeing,,,,,,,,,,,,,,,,,,,
16,,Age distribution of permanent employees,,,,,Inclusion & Diversity,,,,,,,,,,,,,,,,,,,
17,,Male: female salary ratios,,,,,Brambles Pulse Survey results,,,,,,,,,,,,,,,,,,,
18,,Group employees taking parental leave during the Year,,,,,"Education, Training and Development",,,,,,,,,,,,,,,,,,,
21,,Sharing and reusing model performance,,,,,,,,,,,,,,,,,,,,,,,,
22,Environmental benefits delivered in customers' supply chains [1],,,,,,,,,,,,,,,,,,,,,,,,,
23,,Group,,FY23,FY22 (restated),FY22,FY21,FY20 (restated) [3],FY20,FY19 (exc IFCO) [2],FY19 (inc IFCO),,,,,,,,,,,,,,,
24,,CO2-e saved (tonnes),,1927134,1986449.38834,2480283,2353468,2307948,2026835,1998587,2588014.734,,,,,,,,,,,,,,,
25,,Number of trees saved,,3044976,3103585.993846,3103586,3248917,3168910,1761119,1739666,1739666,,,,,,,,,,,,,,,
26,,Waste eliminated from landfill (tonnes),,1206443.419324,1243100.293139,1454048,1417610,1400788,1316689,1312842,1393019.798,,,,,,,,,,,,,,,
27,,Food waste eliminated (tonnes),,0,0,0,0,,0,0,4693.84257,,,,,,,,,,,,,,,
28,,Water saved (m3),,4276475.455242,4379875.610108,4470316,3164184,2987710,2523580,2632,4140.262719,,,,,,,,,,,,,,,
29,,Carbon Neutral Pallet CO2-e offset (tonnes),,24592,20851,20851,18667,8699,8699,10562,10562,,,,,,,,,,,,,,,
31,,Year,Saving from,CO2-e saved (tonnes),Number of trees saved,Waste eliminated from landfill (tonnes),Food waste eliminated (tonnes),Water saved (m3),CO2-e offset (tonnes) - carbon neutral products,,,,,,,,,,,,,,,,,
32,,FY23,Group,1927134.384333,3044976.499358,1206443.419964,,4276475.455242,24592,,,,,,,,,,,,,,,,,
33,,,Pallets,1798489.113501,1762519.331231,1186324.439085,,3057388.732589,24592,,,,,,,,,,,,,,,,,
34,,,RPCs,128645.270832,126072.365415,20118.980879,,1219086.722654,,,,,,,,,,,,,,,,,,
35,,,Transport collaboration/multimodal programs,93842.876518,-,-,-,-,-,,,,,,,,,,,,,,,,,
36,,FY22 (restated),Group,1986449.38834,3166924.483516,1243100.909459,,4379874.550808,20851,,,,,,,,,,,,,,,,,
37,,,Pallets,1858936.544816,3103585.993846,1222662.49836,,3128159.999857,20851,,,,,,,,,,,,,,,,,
38,,,RPCs,127512.843524,0,20438.411099,,1251714.550951,,,,,,,,,,,,,,,,,,
39,,,Transport collaboration/multimodal programs,105962,-,-,-,-,,,,,,,,,,,,,,,,,,
