Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
0,,Communities Positive,,,,,,,,,,,,
1,,Last Updated:,2023-09-14 00:00:00,,,,,,,,,,,
2,,"For further information on performance, please refer to the appropriate Sustainability Review.",,,,,,,,,,,,
3,,We have divested companies' figures up until their divestment for transparency purposes in each table below,,,,,,,,,,,,
4,,Contents:,,,,,,,,,,,,
5,,Food Positive,,Brambles Community Investment,,,Footnotes,,,,,,,
6,,Circular Economy Transformation,,Volunteering Hours,,,,,,,,,,
8,,Food Positive - Number of people served,,,,,,,,,,,,
10,,Region,FY23,FY22,FY21,FY20,,,,,,,,
11,,Group,19716653,16216021,17425891,16096617,,,,,,,,
12,,Americas,15473645,9991960,12294635,11750303,,,,,,,,
13,,EMEA,2454498,2170019,2158414,1541127,,,,,,,,
14,,Asia-Pacific,1788510,4054042,2972842,2805187,,,,,,,,
16,,Circular Economy Transformation,,,,,,,,,,,,
18,,Measure,Cumulative,FY23,FY22 [1],FY21,,,,,,,,
19,,Number of people trained on circular economy,903500,304095,504305,95100,,,,,,,,
21,,Brambles community investment (US$),,,,,,,,,,,,
23,,,FY23,FY22,FY21,FY20,FY19 (exc IFCO),FY19 (inc IFCO),,,,,,
24,,Corporate donations and sponsorship,1854412.68,1396659,1007878.06,$1.477.363,1056845.442284,1143124.140997,,,,,,
25,,In kind donations,5016076,4290121.21,4063198,$3.414.732,2781638.43772,2866011.916243,,,,,,
26,,Volunteering,897728,555527,424297,$518.707,582544.048608,591281.805564,,,,,,
27,,Total US$ Donation,7768216.68,6242307.21,5495373.06,$5.410.802,4421027.928612,4600417.862804,,,,,,
28,,Pre-tax Profit (continuing operations),934200000,819900000,793700000,$686.200.000,652400000,1726000000,,,,,,
29,,% of pre-tax profit,0.008315,0.007613,0.006924,0.0079,0.006777,0.002665,,,,,,
31,,Volunteering hours,,,,,,,,,,,,
33,,,FY23,FY22,FY21[2],FY20*,FY19 (exc IFCO),FY19 (inc IFCO),,,,,,
34,,Hours volunteered per employee,1.863374,1.202415,0.95,1.42,1.91,1.78026,,,,,,
35,,Total hours,23901.5,14834.2,11404.49,17020,21602,21904,,,,,,
37,,Footnotes,,,,,,,,,,,,
38,,[1] Updated methodology to include social media reach,,,,,,,,,,,,
39,,[2] FY21&20 were severely impacted by covid-19 lockdowns implemented worldwide,,,,,,,,,,,,
41,,Back to top,,,,,,,,,,,,
