Unnamed: 0,Unnamed: 0.1,Planet Positive,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
120,,Recycled,1.025,1.025081,325.565103,199.634168,201.961069,179.048541,388.543092,,,,,,
121,,Discharged,192.5,426.621401,453.30627,480.368902,478.517437,443.87771,475.58891,,,,,,
122,,Rainwater,0.00065,0.00067,0.00067,0.00067,0.00067,0.00067,0.00067,,,,,,
124,"Water consumed, recycled and discharged (million cubic metres)",,,,,,,,,,,,,,
125,,Million cubic litres,FY23,FY22,FY21,FY20 Rebased,FY20,FY19 (exc IFCO),FY19 (inc IFCO),,,,,,
126,,Withdrawal from municipal water supplies or other water utilities,0.213961,0.271487,0.325565,0.199634,0.201961,0.179049,0.388543,,,,,,
127,,Withdrawal from fresh surface water,0,0,0,0,0,0,0,,,,,,
128,,Withdrawal from groundwater,0,0,0,0,0,0,0,,,,,,
129,,Recycled,0.001025,0.001025,0.325565,0.199634,0.201961,0.179049,0.388543,,,,,,
130,,Discharged,0.1925,0.426621,0.453306,0.480369,0.478517,0.443878,0.475589,,,,,,
131,,Rainwater,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,,,,,,
133,Volume of water consumed in areas of Water Stress,,,,,,,,,,,,,,
134,,Water Stress,FY23,FY22,FY21,FY20,,,,,,,,,
135,,Low (<10%),0.2,0.2,0.18,0.36,,,,,,,,,
136,,Low - Medium (10-20%),0.08,0.14,0.19,0.25,,,,,,,,,
137,,Medium - High (20-40%),0.12,0.18,0.16,0.1,,,,,,,,,
138,,High (40-80%),0.39,0.41,0.39,0.21,,,,,,,,,
139,,Extremely High (>80%),0.2,0.07,0.08,0.08,,,,,,,Back to top,,
141,,Energy & Emissions,,,,,,,,,,,,,
143,Kilotonnes (kt) of CO2-e [16 & 17] and Terajoules (TJ) of Energy (Scope 1 and 2) RE100 aligned,,,,,,,,,,,,,,
144,,Year,Regional Split,Total of Scope 1 and Scope 2 (Market based),,Scope 1,,Scope 2 Location Based,,"Scope 2 ""Market Based"" [2]",,,,,
145,,,,kt CO2-e,TJ,kt CO2-e,TJ,kt CO2-e,TJ,kt CO2-e,TJ,,,,
146,,FY23,Group,32.682,771.881261,32.682,534.44,16.407,237.444,0,237.444,,,,
147,,,Americas,15.514,350.77,15.514,254.65,6.366,96.12,0,96.12,,,,
148,,,Asia-Pacific,7.164,179.53,7.164,118.71,3.659,60.819,0,60.819,,,,
149,,,EMEA,10.004,241.59,10.004,161.08,6.383,80.506,0,80.506,,,,
150,,FY22,Group,35.546,775.42,31.748,523.55,5.263,251.87,3.798,251.87,,,,
151,,,Americas,13.558,333.64,13.558,227.46,-0.028,106.18,0,106.18,,,,
152,,,Asia-Pacific,10.762,177.78,6.964,116.09,5.291,61.69,3.798,61.69,,,,
153,,,EMEA,11.226,264,11.226,180,0,84,0,84,,,,
154,,FY21,Group,42.36,771.67294,29.41,491.91,30.84,279.76,12.95,279.76,,,,
155,,,Pallets (total),39.46,732.55396,28.24,470.12,28.44,262.44,11.22,262.44,,,,
156,,,Pallets Americas,12.16874,316.94886,12.41,213.62442,7.90926,103.32444,-0.24126,103.32444,,,,
157,,,Pallets EMEA,15.08776,141.11321,4.87,81.07272,10.21776,60.04049,10.21776,60.04049,,,,
158,,,Pallets Asia-Pacific,12.2067,274.49189,10.96,175.41935,10.3123,99.07254,1.2467,99.07254,,,,
159,,,RPCs,2.91882,33.24946,1.17,21.79787,1.74882,11.45159,1.74882,11.45159,,,,
160,,,Corporate,-0.02019,5.86952,0,0,0.64879,5.86952,-0.02019,5.86952,,,,
161,,FY20 Rebased [3],Group,43.537,726.06,27.935,460.01,30.257,253.45,15.41,253.45,,,,
162,,,Pallets (total),41.164,708.14,27.625,454.44,28.41,241.36,13.563,241.36,,,,
163,,,Pallets Americas,11.422,290.16,10.96,190.75,8.542,96.02,-0.415,96.02,,,,
164,,,Pallets EMEA,12.884,270.24,11.534,179.4,8.004,87.67,2.114,87.67,,,,
165,,,Pallets Asia-Pacific,16.858,147.74,5.131,84.29,11.864,57.67,11.864,57.67,,,,
166,,,RPCs,1.348,9.55,0.31,5.57,0.878,3.98,0.878,3.98,,,,
167,,,Corporate,1.025,8.37,0,0,0.969,8.11,0.969,8.11,,,,
168,,FY20 [4],Group,43.537,726.06,28.326512,466.01,30.059537,260.051826,15.2114,260.051826,,,,
169,,,Pallets (total),41.164,708.14,27.866286,460.44,28.146623,247.701826,13.298486,247.701826,,,,
170,,,Pallets Americas,11.422,290.16,11.681982,192.35,8.697912,97.801981,-0.259805,97.801981,,,,
171,,,Pallets EMEA,12.884,270.24,10.926435,179.96,7.848358,90.279845,1.957938,90.279845,,,,
172,,,Pallets Asia-Pacific,16.858,147.74,5.257868,88.13,11.600353,59.62,11.600353,59.62,,,,
173,,,RPCs,1.348,9.55,0.460226,5.57,0.88742,3.98,0.88742,3.98,,,,
