Unnamed: 0,2023 Sustainability performance,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
1,Customer metrics,,,,,,,,,,,
3,Customers,# m,2023-06-30 00:00:00,2022-06-30 00:00:00,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,,,,,
4,Total customers1,,17.11,16.6,16.6,17.3,17.6,,,,,
5,CBA customers,,13.81,13.2,13.3,13.9,14.2,,,,,
6,Bankwest customers1,,1.2,1.3,1.3,1.4,1.4,,,,,
7,ASB customers1,,2.1,2.1,2.1,2,2,,,,,
9,,# m,Jun 23,Jun 22,Jun 21,Jun 20,Jun 19,,,,,
10,Digitally active customers1,,8.7,8,7.6,7.4,7,,,,,
11,CommBank app customers1,,7.8,6.9,6.4,6.1,5.6,,,,,
14,Customer advocacy2,#,2023-06-30 00:00:00,2022-06-30 00:00:00,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,,,,,
15,Commonwealth Bank - Net Promoter Score,,,,,,,,,,,
16,Consumer NPS,,3.9,4.5,0.8,-2.9,-10,,,,,
17,Rank,,1st,2nd,2nd,2nd,3rd,,,,,
18,Online banking NPS,,11.1,16.8,19,17.2,12.6,,,,,
19,Rank,,1st,1st,1st,1st,2nd,,,,,
20,Mobile banking app NPS,,26.2,30.7,30,28.6,24.5,,,,,
21,Rank,,1st,1st,1st,1st,1st,,,,,
22,Business NPS,,7.5,-3.2,-5.8,-14.3,-22.4,,,,,
23,Rank,,1st,1st,1st,3rd,3rd,,,,,
24,Bankwest - Net Promoter Score3,,,,,,,,,,,
25,Consumer NPS,,12.8,19.5,11.8,9.4,0,,,,,
26,Rank,,3rd,3rd,4th,3rd,5th,,,,,
27,ASB - Net Promoter Score,,,,,,,,,,,
28,Consumer NPS4,,23.6,29.5,32.5,32,Ã¢ÂÂ,,,,,
29,Rank,,3rd,3rd,3rd,3rd,Ã¢ÂÂ,,,,,
30,Business and rural banking NPS5,,-0.5,-7.4,4,4.2,3.7,,,,,
31,Rank,,1st,1st,1st,1st,1st,,,,,
34,Customer complaints,#,2023-06-30 00:00:00,2022-06-30 00:00:00,2021-06-30 00:00:00,2020-06-30 00:00:00,,,,,,
35,Received,,921855,984493,1211808,1182699,,,,,,
36,Resolved within five days,%,93,94,96,96,,,,,,
37,Escalated to an external dispute resolution (EDR) scheme,,6871,5384,5419,6455,,,,,,
38,Privacy complaints,,98,61,123,Ã¢ÂÂ,,,,,,
40,"Approved hardship accounts1, 6",#,2023-06-30 00:00:00,2022-06-30 00:00:00,2021-06-30 00:00:00,,,,,,,
41,Unemployment/Underemployment,,26799,32303,40301,,,,,,,
42,Health,,15630,14404,10229,,,,,,,
43,Relationship breakdown,,6017,5130,3739,,,,,,,
44,Over committed,,37546,28816,23000,,,,,,,
45,COVID-19,,2075,41176,37931,,,,,,,
46,Natural Disasters,,1152,1992,494,,,,,,,
47,Total approved hardship accounts,,89219,123821,115694,,,,,,,
49,"Cyber defence1, 7",,2023-06-30 00:00:00,2022-06-30 00:00:00,,,,,,,,
50,Phishing sites taken down,#,2275,1806,,,,,,,,
51,Signals analysed for potential cyber threats,ave per week (bn),214,184,,,,,,,,
54,1 Not assured by PwC.,,,,,,,,,,,
55,2 Customer advocacy metrics have not been assured by PwC as they are sourced from independent third-party providers.,,,,,,,,,,,
56,3 Bankwest Business Bank transitioned to CBA in April 2023. Bankwest Business NPS score removed from reporting.,,,,,,,,,,,
57,4 NPS methodology changed in 2019. Numbers prior to FY20 are not comparable.,,,,,,,,,,,
58,5 NPS methodology changed in 2023. Prior years are not comparable.,,,,,,,,,,,
59,6 Prior years restated due to amended reasons for hardship.,,,,,,,,,,,
60,7 Reported for the first time in FY23.,,,,,,,,,,,
