Unnamed: 0,2023 Sustainability performance,Unnamed: 1
1,Glossary,
4,Term,Definition
5,Absenteeism,"Absenteeism refers to the average number of sick leave days taken (and carerÃ¢ÂÂs leave days for CommSec employees) per Australia-based full-time equivalent employee. Bankwest is included from FY19. Colonial First State is included up to 1 December 2021, after which time our divestment from the business was complete. Accompanying sustainability performance metric assured by PwC."
6,Age diversity,"Percentage of permanent employees (full-time, part-time, job share or on extended leave), casuals, employees on international assignment and contractors paid directly by the Group, by age group as at 30 June. Excludes ASB businesses in New Zealand. Accompanying sustainability performance metric assured by PwC."
7,Approved hardship accounts,"The number of customers who have a relationship with ASB New Zealand, as at 30 June. A customer is defined as anyone who holds an open account. Includes retail and non-retail customers and deceased estates."
8,ASB customers,"The number of customers who have a relationship with ASB New Zealand, as at 30 June. A customer is defined as anyone who holds an open account. Includes, retail and non-retail customers and deceased estates."
9,Australian Indigenous supplier spend (Direct),"Direct (first tier) supplier spend (GST inclusive) includes any approved invoice (including grants) from an Indigenous enterprise. To meet the definition of an Indigenous enterprise, the enterprise must be at least 50% Indigenous owned. It includes any approved invoices from an Indigenous enterprise that is; registered or certified by Supply Nation, listed by the Office of the Registrar of Indigenous Corporations, listed by an Indigenous Chamber of Commerce, that provides a Certificate of Indigeneity or a Statutory Declaration that the business is 50% or more Indigenous owned. Accompanying sustainability performance metric assured by PwC."
10,Australian Indigenous supplier spend (Directed),"Directed Indigenous Supplier Spend for FY23 includes spend with three Indigenous enterprises through a first tier non-Indigenous supplier (agents) where the Bank has requested spend with the Indigenous supplier (principal) and the transaction can be verified. This metric is calculated based on the actual amount (GST inclusive) spent with the Indigenous supplier (principal). To meet the definition of an Indigenous enterprise, the enterprise must be at least 50% Indigenous owned. It includes any approved invoices from an Indigenous enterprise that is registered or certified by Supply Nation, listed by the Office of the Registrar of Indigenous Corporations, listed by an Indigenous Chamber of Commerce, that provides a Certificate of Indigeneity or a Statutory Declaration that the business is 50% or more Indigenous owned. Accompanying sustainability performance metric assured by PwC.\n"
11,Bankwest customers,"The number of customers who have a relationship with Bankwest, as at 30 June. A customer is defined as anyone who holds an open account. Includes, retail and non-retail customers and deceased estates."
12,Board,The Board of Directors of the Commonwealth Bank of Australia.
13,Cash contributions,"Total funds contributed by the Group (excluding Aussie Home Loans) through donations, charitable gifts, community partnerships and matched giving. Matched giving excludes staff contributions. All amounts are verified transactions, inclusive of GST where applicable, with the exception of donations and charitable gift transactions which are exempt from GST. Colonial First State is included to 1 December 2021, after which time our divestment from the business was complete. Accompanying sustainability performance metric assured by PwC."
14,CBA customers,"The number of customers who have a relationship with the Commonwealth Bank of Australia, as at 30 June. A customer is defined as anyone who is currently associated with an open account as either the owner, joint owner, trustee or primary cardholder. Includes retail, non-retail customers and deceased estates. Accompanying sustainability performance metric assured by PwC."
15,Commbank app customers,"The total number of customers that have logged into the CommBank mobile app at least once in the month of June, for years 2019-2023."
16,Community investment as a percentage of cash net profit before tax,Total community investment as a percentage of the GroupÃ¢ÂÂs cash net profit from continuing operations before tax as at 30 June. Accompanying sustainability performance metric assured by PwC.
