Unnamed: 0,2023 Sustainability performance,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
1,"Water, waste and paper metrics",,,,,,,,,
3,"Water, waste and paper Ã¢ÂÂ Australia",,2023-06-30 00:00:00,2022-06-30 00:00:00,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,,,
4,Waste (Commercial operations),tonnes,,,,,,,,
5,Landfill1,,335,230,470,988,1167,,,
6,Recycled1,,303,205,308,585,835,,,
7,Secure paper recycled,,143,203,414,580,896,,,
8,Total,,781,638,1192,2153,2898,,,
9,Water1,kilolitres,152791,105172,129494,177046.54,216102,,,
10,Office paper usage (retail and commercial operations),tonnes,284,293,343,482.694,570,,,
12,"1 In FY23, invoiced amounts contributed to 90% of waste to landfill data, 88% of waste recycled data and 76% of water usage. The remainder is estimated based on average tonnes per m2 of net lettable area.",,,,,,,,,
