Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
0,,1. Employees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,1.1 Total Recordable Injury Frequency Rate (TRIFR)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,FY20,,FY21,,FY22,,FY23,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,Target,Performance,Target,Performance,Target,Performance,Target,Performance,,,,,,,,,,,,,,,,,,,,,,,,,
5,,TRIFR,4.5,4.5,3.8,3.6,3.3,4.2,3.3,3.7,,,,,,,,,,,,,,,,,,,,,,,,,
6,,* Total Recordable Injury Frequency Rate is measured per million hours worked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,"* Includes both employee incidents and hours worked, and contractor incidents and hours provided to Cleanaway.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,1.2 Female participation by management and operational roles (%)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,Employment type,FY20,FY21,FY22,FY23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,Management,17.3,19.3,25.5,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,Operational,5.7,6.4,7.4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,Overall participation,19.1,19.1,20.8,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,"* Female representation figures represent the number of active employees as at 30 June 2023. Excludes Labour Hire, Directors, owner drivers, contractors and consultants. Determined based on headcount. Management for the purposes of this reporting measure is defined as salary grade of 6 and above, regardless of direct reports. Operational roles are classified as blue-collar waged roles.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,Our FY22 Sustainability Report closed out performance against the three existing female participation targets. Internal targets against these three worker groups will be retained to drive insight and increased female participation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,Supports GRI Standard 2-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,1.3 40:40 Vision Gender balance target (%)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,Female participation,Cleanaway Target,FY22 Participation,FY23 Participation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,Executive team participation (CEO+1)**,40% by 2027,27.3,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,Leadership roles participation (CEO+2)***,40% by 2030,34.8,36.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,"* 40:40 Vision: For a given cohort, 40% by headcount identifying as women, 40% by headcount identifying as men, 20% by headcount identifying as any gender. This definition is consistent with how CEW Senior Executive Census defines Ã¢ÂÂgender balanceÃ¢ÂÂ.\n** CEO+1: Cohort comprising direct line and functional reports of the CEO, not including the CEO, executive assistants / administrative support, and special project roles.\n*** CEO+2: Cohort comprising CEO+1 and their direct reports.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,1.4 Gender breakdown by occupational category*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,Female,,,,Male,,,,Other,,,,Total,,,,% Female,,,,,,,,,,,,,,,,
26,,Occupational category,FY20,FY21,FY22,FY23,FY20,FY21,FY22,FY23,FY20,FY21,FY22,FY23,FY20,FY21,FY22,FY23,FY20,FY21,FY22,FY23,,,,,,,,,,,,,
27,,Executive and Senior Management,14,17,30,44,98,100,103,110,-,-,-,,112,117,133,154,12.5,15,23,29,,,,,,,,,,,,,
28,,Functional Support,65,69,98,115,55,60,73,94,-,-,1,,120,129,172,209,54.2,53,57,55,,,,,,,,,,,,,
29,,Finance and Administration,433,439,450,490,87,100,113,128,-,-,-,1,520,539,563,619,83.3,81,80,79,,,,,,,,,,,,,
30,,Sales and Marketing,108,100,108,120,181,177,172,186,-,-,-,,289,277,280,306,37.4,36,39,39,,,,,,,,,,,,,
31,,Customer Support,181,174,186,207,58,68,72,80,-,-,-,1,239,242,258,288,75.7,72,72,72,,,,,,,,,,,,,
32,,Business Support,102,113,152,176,440,468,484,541,-,-,-,,542,581,636,717,18.8,19,24,25,,,,,,,,,,,,,
33,,Information Technology,9,9,14,16,24,22,38,44,-,-,-,,33,31,52,60,27.3,29,27,27,,,,,,,,,,,,,
34,,Scientific/Technical,13,13,23,28,65,78,91,101,-,-,-,,78,91,114,129,16.7,14,20,22,,,,,,,,,,,,,
35,,Operations,233,283,338,477,3875,4089,4212,4435,1,1,1,1,4109,4373,4551,4913,5.7,6,7,10,,,,,,,,,,,,,
36,,Acquisitions,-,-,32,46,-,-,97,105,-,-,-,,-,-,129,151,-,-,25,30,,,,,,,,,,,,,
37,,Total,1158,1217,1431,1719,4883,5162,5455,5824,1,1,2,3,6042,6380,6888,7546,19.1,19,21,23,,,,,,,,,,,,,
38,,"* Based on number of active employees at 30 June 2023. Excludes labour hire, directors, owner drivers, contractors and consultants. Determined based on headcount.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,Supports GRI Standard 2-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,,1.5 Gender breakdown by employment type*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,,Female,,,,Male,,,,Other,,,,Total,,,,% Female,,,,,,,,,,,,,,,,
43,,Employment type,FY20,FY21,FY22,FY23,FY20,FY21,FY22,FY23,FY20,FY21,FY22,FY23,FY20,FY21,FY22,FY23,FY20,FY21,FY22,FY23,,,,,,,,,,,,,
44,,Permanent full time,1013,1067,1251,1496,4284,4525,4706,4961,-,-,-,2,5297,5592,5957,6459,19,19,21,23,,,,,,,,,,,,,
45,,Part-time,80,83,75,92,39,34,47,53,-,-,-,,119,117,122,145,67,71,61,63,,,,,,,,,,,,,
46,,Casual,45,46,64,100,537,568,660,766,1,1,1,1,583,615,725,867,8,7,9,12,,,,,,,,,,,,,
47,,Fixed term,20,21,41,31,23,35,42,44,-,-,1,,43,56,84,75,47,38,49,41,,,,,,,,,,,,,
48,,Total,1158,1217,1431,1719,4883,5162,5455,5824,1,1,2,3,6042,6380,6888,7546,19,19,21,23,,,,,,,,,,,,,
49,,"* Based on number of active employees at 30 June 2023. Excludes labour hire, directors, owner drivers, contractors and consultants. Determined based on headcount.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,1.6 Age breakdown (%)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,Age category,FY20,FY21,FY22,FY23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,24 and under,5,5,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,25-34 years,21,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,,35-44 years,25,25,26,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,45-54 years,27,27,26,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,55-64 years,19,19,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,65 and greater,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,"* Based on number of active employees at 30 June 2023. Excludes labour hire, directors, owner drivers, contractors and consultants. Determined based on percentage of total headcount.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,Supports GRI Standard 2-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,1.7 New employees and employee turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,New hires*,,,Turnover**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,Gender,FY21,FY22,FY23,FY21,FY22,FY23,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,Male,1419,1708,2080,1112,1442,1554,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,Female,320,539,793,306,405,426,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,Other,0,2,2,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,Total,1739,2249,2875,1418,1848,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,"* New Hires: Based on number of active and separated employees who were hired between 01/07/2022 to 01/07/2023 and includes acquisitions and directors. Excludes Labour Hire, contractors and consultants. Determined based on headcount.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,"** Turnover: Based on the number of separated employees who left the business between 01/07/2022 to 30/06/2023. Excludes Labour Hire, contractors and consultants. Determined based on headcount.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,Supports GRI Standard 401-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,1.8 Parental leave*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,Female,,,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,Leave status,FY21,FY22,FY23,FY21,FY22,FY23,,,,,,,,,,,,,,,,,,,,,,,,,,,
