Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
0,,11. Basis of Preparation,,,,,,,,,,,,,,,,
1,,This section details the basis on which certain quantitative metrics in this ESG Databook and Cleanaway's FY23 Sustainability report were developed.,,,,,,,,,,,,,,,,
2,,Data tables in this ESG Databook may also contain specific footnotes relevant to all of part of the table. Information in this section should be read in conjunction with these footnotes where relevant.,,,,,,,,,,,,,,,,
4,,11.1 General reporting boundaries,,,,,,,,,,,,,,,,
6,,"Unless otherwise stated, disclosures cover Cleanaway and the entities were controlled during the 12 months ended 30 June 2023. Cleanaway joint ventures have not been included in performance metrics, except where explicitly stated otherwise.",,,,,,,,,,,,,,,,
7,,"When determining operational control, Cleanaway has applied the definitions set out in the National Greenhouse and Energy Reporting Act 2007.",,,,,,,,,,,,,,,,
10,,11.2 Basis of preparation of certain performance indicators,,,,,,,,,,,,,,,,
12,,Indicator,,,,,,,,,,,,,,,,
14,,Metric name,Criteria and metric specific boundaries,Metric formula,Unit of measure,Key assumptions,,,,,,,,,,,,
15,,TRIFR,"TRIFR is measured on the basis of per million hours worked on a 12-month rolling basis\n\nScope of TRIFR calculation includes employees, non-permanent labour, contractors, large contractors, and owner drivers \n\nRecordable injuries are recorded in our incident management system, MyOSH.\n\nWhere an existing injury is upgraded to a recordable injury, the date of the recordable injury is taken as the date of the upgrade event. \nInjury and incident definitions are informed by the Australian Standard Worksafe Australia National Standard - 1985.","TRIFR = [number of recordable injuries as reported in MyOSH for all in-scope workers] / [[total number of hours worked for all in-scope workers] / 1,000,000]",Count,"Reported recordable injuries are those reported in MyOSH as at 30 June\n\nOwner driver hours are manually loaded based on in-vehicle data. \n\nHours for owner drivers without in-vehicle technology are estimated - estimates are based on run hours x 1.17 to allow for additional time for re-start checks, post-shift debrief, and statutory rest breaks.\n\nContractors and large contractor data is included on the basis of information provided to Cleanaway via the relevant Senior Health and Safety Business Partners. In the case of the Industrial & Waste Services Business, this data is obtained from business-provided extracts of our ERP system (JD Edwards).",,,,,,,,,,,,
16,,Number of recordable injuries,"Recordable injuries encompass events from employees, non-permanent labour, contractors, large contractors, and owner drivers \n\nRecordable injuries are recorded in our incident management system, MyOSH.\n\nWhere an existing injury is upgraded to a recordable injury, the date of the recordable injury is taken as the date of the upgrade event. \n\nInjury and incident definitions are informed by the Australian Standard Worksafe Australia National Standard - 1985.",Recordable injuries as reported in MyOSH,Count,"Reported recordable injuries are those reported in MyOSH as at 30 June\n\nContractors and large contractor data is included on the basis of information provided to Cleanaway via the relevant Senior Health and Safety Business Partners. In the case of the Industrial & Waste Services Business, this data is obtained from business-provided extracts of our ERP system (JD Edwards).\n",,,,,,,,,,,,
17,,40:40 Vision - CEO+1,"Female employees in the CEO+1 cohort, expressed as a percentage of this cohort\n\nExclusions: \nEmployees who are the CEO, executive assistants / administration and employees on Special Project roles. \nEmployees who do not report to CEO.",CEO+1 = [number of female employees in the CEO+1 cohort / total number of employees in CEO+1 cohort] * 100\n,%,Determined based on employee reporting relationships recorded in Preceda.,,,,,,,,,,,,
18,,40:40 Vision - CEO+2,"Female employees in the CEO+2 cohort, expressed as a percentage of this cohort\n\nIncludes employees who have been seconded in an acting capacity as at the reporting date.\n\nExclusions: \nEmployees who are the CEO, executive assistants / administration and employees on Special Project roles. \nEmployees who do not report to CEO or one level below the CEO",CEO+2 = [number of female employees in the CEO+2 cohort / total number of employees in CEO+2 cohort] * 100\n,%,Determined based on employee reporting relationships recorded in Preceda.,,,,,,,,,,,,
