Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,,3. Greenhouse Gas Emissions,,,,,,,,,,,,,
2,,3.1 Gross Scope 1 and Scope 2 Greenhouse gas emissions*,,,,,,,,,,,,,
3,,Greenhouse gas Scope,FY20,FY21,FY22,FY23,,,,,,,,,
4,,Scope 1 emissions (ktCO2-e),755.4,860,1062.3,1131,,,,,,,,,
5,,Scope 2 emissions (ktCO2-e),43.1,47.2,50.3,58,,,,,,,,,
6,,Total Gross GHG emissions (ktCO2-e),799,907,1113,1189,,,,,,,,,
7,,* Calculated using methods set out in the National Greenhouse and Energy Reporting (Measurement) Determination 2008.,,,,,,,,,,,,,
9,,3.2 Adjusted Gross Scope 1 and Scope 2 Greenhouse gas emissions*,,,,,,,,,,,,,
10,,Greenhouse gas Scope,FY20,FY21,FY22(1),FY23(2),,,,,,,,,
11,,Scope 1 emissions (ktCO2-e),755.4,860,1247,1133,,,,,,,,,
12,,Scope 2 emissions (ktCO2-e),43.1,47.2,61,59,,,,,,,,,
13,,Total Gross GHG emissions (ktCO2-e),799,907,1308,1192,,,,,,,,,
14,,* Calculated using methods set out in the National Greenhouse and Energy Reporting (Measurement) Determination 2008 and adjusted to reflect the full-year ownership of assets acquired during the reporting period.,,,,,,,,,,,,,
15,,1) Adjusted to reflect emissions from the equivalent of full-year ownership of a portfolio of strategic postÃ¢ÂÂcollection assets in Sydney that were acquired from Suez Groupe S.A.S on 18 December 2021. \n,,,,,,,,,,,,,
16,,2) Adjusted to reflect emissions from the equivalent of full-year ownership of Global Renewables Holdings Pty Ltd that was acquired on 31 August 2022.,,,,,,,,,,,,,
18,,3.3 Net Scope 1 and Scope 2 Greenhouse gas emissions*,,,,,,,,,,,,,
19,,Greenhouse gas Scope,FY20,FY21,FY22,FY23,,,,,,,,,
20,,Scope 1 emissions (ktCO2-e),755.4,860,1247,1192,,,,,,,,,
21,,Scope 2 emissions (ktCO2-e),43.1,47.2,61,58,,,,,,,,,
22,,Total Net GHG emissions (kt CO2-e),799,907,1308,1250,**,,,,,,,,
23,,"* Total Gross Scope 1 and 2 greenhouse gas emissions adjusted for the add back and surrender of ACCU's, and the surrender of third-party carbon offsets.",,,,,,,,,,,,,
24,,** Contingent on the surrender of high quality third-party carbon offsets as set out in Table 3.4 below.,,,,,,,,,,,,,
