Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,GRI content index,,,,,,,,,
,Statement of use\n,,,Disclosures in Cleanaway's 2023 Sustainability Report have been made with reference to the following GRI content index.,,,,,,
,GRI 1 used,,,GRI 1: Foundation 2021,,,,,,
,GRI Standard,,,,,Disclosure,Location,Page number or reference,,
,GRI 2: General Disclosures 2021\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n,,,,,2-1 Organisational details,"Cleanaway Waste Management - Head office\nLevel 4, 441 St Kilda Road\nMelbourne VIC 3004",,,
,,,,,,2-2 Entities included in the organizationâs sustainability reporting,Introduction,pg. 2,,
,,,,,,"2-3 Reporting period, frequency and contact point",Introduction,pg. 2,,
,,,,,,2- 5 External Assurance,Assurance statement,pg. 78,,
,,,,,,"2-6 Activities, value chain and other business relationships",About us\nPartnering for circularity,pg. 8\npg. 51\n,,
,,,,,,2-7 Employees,People snapshot\nEmployees tab of ESG Databook,pg. 12,,
,,,,,,2-8 Workers who are not employees,Health and safety\nResponsible supply chain\nEmployees tab of ESG Databook,pg. 17\npg. 67,,
,,,,,,2-9 Governance structure and composition,Appendix 3 - Governance and transparency\nCorporate Governance Statement\nAnnual Report,pg. 83,,
,,,,,,2-10 Nomination and selection of the highest governance body,Appendix 23 - Governance and transparency\nCorporate Governance Statement,pg. 83,,
,,,,,,2-11 Chair of the highest governance body,Appendix 3 - Governance and transparency\nCorporate Governance Statement,pg. 83,,
,,,,,,2-12 Role of the highest governance body in overseeing the management of impacts,Appendix 3 - Governance and transparency\nCorporate Governance Statement,pg. 83,,
,,,,,,2-13 Delegation of responsibility for managing impacts,Statement from CEO\nAppendix 2 - Governance of Sustainability \nCorporate Governance Statement,pg. 7\npg. 83,,
,,,,,,2-14 Role of the highest governance body in sustainability reporting,Appendix 2 - Governance of Sustainability\n,pg. 82,,
,,,,,,2-15 Conflicts of interest,Appendix 3 - Governance and transparency\nCorporate Governance Statement,pg. 83,,
,,,,,,2-16 Communication of critical concerns,Appendix 3 - Governance and transparency\n,pg. 83,,
,,,,,,2-17 Collective knowledge of the highest governance body,Appendix 3 - Governance and transparency\nAnnual Report\n\n,pg. 83,,
,,,,,,2-18 Evaluation of the performance of the highest governance body,Appendix 3 - Governance and transparency\nAnnual Report\n\n,pg. 83,,
,,,,,,2-19 Remuneration policies,Appendix 3 - Governance and transparency\nRemuneration report\n\n,pg. 83,,
,,,,,,2-20 Process to determine remuneration,Appendix 3 - Governance and transparency\nRemuneration report\n\n,pg. 83,,
,,,,,,2-21 Annual total compensation ratio,Appendix 3 - Governance and transparency\nEmployees tab of ESG Databook,pg. 83,,
,,,,,,2-22 Statement on sustainable development strategy,About us\nBlueprint 2030\nOur stakeholders tab ESG Databook,pg. 8,,
,,,,,,2-23 Policy commitments,"Workplace culture, diversity and inclusion\nAppendix 3 - Governance and transparency\nCorporate Governance Statement",pg. 25\npg. 82,,
,,,,,,2-24 Embedding policy commitments,Appendix 3 - Governance and transparency\nCorporate Governance Statement,pg. 83,,
,,,,,,2-25 Processes to remediate negative impacts,Appendix 3 - Governance and transparency\nCorporate Governance Statement,pg. 83,,
,,,,,,2-26 Mechanisms for seeking advice and raising concerns,Employee wellbeing\nAppendix 3 - Governance and transparency\nCorporate Governance Statement,pg. 31\npg. 83,,
