Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
0,,Glossary,,,,,,
2,,Term,Definition,,,,,
3,,Addressable spend,Spend that Cleanaway can influence. This excludes expenses such as taxes and intercompany expenses.,,,,,
4,,Average FTE compa-ratio,"Compa-ratio is based on the employees FTE (full time equivalent) TFR (total fixed remuneration) divided by the midpoint in employee salary grade range. TFR includes Base Salary, MVA (motor vehicle allowance) and Super.",,,,,
5,,C&D,Construction and Demolition,,,,,
6,,Carbon dioxide,"Carbon dioxide (CO2) is a colourless, odourless gas produced by burning carbon and organic compounds. It is composed of carbon and oxygen.",,,,,
7,,Carbon dioxide equivalent (CO2-e),"A standard measure used to compare the emissions from various greenhouse gases based on their global warming potential. For example, one tonne of methane emissions is equivalent to 21 tonnes of carbon dioxide emissions.",,,,,
8,,Container Deposit Scheme (CDS),CDS are an example of product stewardship legislation in which the beverage industry takes responsibility for the recovery and recycling of empty beverage containers.,,,,,
9,,1.5ÃÂ° pathway,The 1.5ÃÂ°degree pathway refers to the global effort to limit the increase in average global temperature to 1.5 degrees Celsius above pre-industrial levels as a key target to mitigate the impacts of climate change.,,,,,
10,,IPCC,Intergovernmental Panel on Climate Change.,,,,,
11,,Landfill gas,Landfill gas is generated by the decomposition of waste in a landfill. Methane and carbon dioxide make up approximately 99 per cent of the volume of landfill gas.,,,,,
12,,Methane,"Methane (CH4) is a colorless, odorless and highly flammable gas. It is composed of carbon and hydrogen.",,,,,
13,,Paris Alignment,Supporting ambitious climate action and reinforcing the principles set out in the Paris Agreement.,,,,,
14,,Scope 1 Emissions,"Greenhouse gas emissions released to the atmosphere as a direct result of an activity, or series of activities at a facility level. This includes greenhouse gas emissions attributed to landfill gas management, combustion of fossil fuels in our fleet and stationary plant, and incineration of waste.",,,,,
15,,Scope 2 Emissions,"Greenhouse gas emissions released to the atmosphere as a direct result of one or more activities that generate electricity, heating, cooling or steam that is consumed by the facility but that do not form part of the facility. This includes greenhouse gas emissions from the use of fossil fuel-generated electricity.",,,,,
16,,Sustainable Development Goals (SDGs),The SDGs were developed by the United Nations in 2015 and set 17 global goals to achieve a more sustainable and equitable future for all by 2030.,,,,,
17,,Total Recordable Injury Frequency Rate (TRIFR),Number of employee and contractor recordable injuries per million hours worked on a 12-month rolling basis.,,,,,
