Unnamed: 0,GRI Content Index,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
63,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report p.6-7,,,,,,,,,,,,,,
64,GRI 206: Anti-competitive Behaviour 2016,"206-1 Legal actions for anti-competitive behaviour, anti-trust, and monopoly practices","There was no legal action taken during the reporting period for anti-competitive behaviour, anti-trust or monopoly practices by Coles Group or its employees.",,,,,,,,,,,,,,
65,Tax,,,,,,,,,,,,,,,,
66,GRI 3: Material Topics 2021,3-3 Management of material topics,Within the Report mentioned below,,,,,,,,,,,,,,
67,GRI 207: Tax 2019,207-1 Approach to tax,2023 Tax Contribution Report,,,,,110,,,,,,,,,
68,,"207-2 Tax governance, control, and risk management",2023 Tax Contribution Report,,,,,110,,,,,,,,,
69,,207-3 Stakeholder engagement and management of concerns related to tax,2023 Tax Contribution Report,,,,,110,,,,,,,,,
70,,207-4 Country-by-country reporting,2023 Tax Contribution Report,,,,,110,,,,,,,,,
71,Materials,,,,,,,,,,,,,,,,
72,GRI 3: Material Topics 2021,3-3 Management of material topics,,,,,,,,,,,,,,,
73,GRI 301: Materials 2016,301-1 Materials used by weight or volume,,All,Not applicable,,,,,,,,,,,,
74,,301-2 Recycled input materials used,,All,Not applicable,,,,,,,,,,,,
75,,301-3 Reclaimed products and their packaging materials,,All,Not applicable,,,,,,,,,,,,
76,Energy,,,,,,,,,,,,,,,,
77,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report p.14-19\n2023 Annual Report p.43-52,,,,,,,,,,,,,,
78,GRI 302: Energy 2016,302-1 Energy consumption within the organization\n,2023 Sustainability data pack - Energy and emissions tab,"c ii,iii,iv, d",Information unavailable/incomplete,No data available at the level required by GRI.,78,1213,,,,,,,,,
79,,302-2 Energy consumption outside of the organization\n,,all,Information unavailable/incomplete,We do not currently report against GRI 302-2 as this information is currently unavailable. \nColes discloses relevant categories of Scope 3 emissions in the 2023 Sustainability data pack - Energy and emissions tab.,8,1213,,,,,,,,,
80,,302-3 Energy intensity\n,2023 Sustainability data pack - Energy and S1 & S2 Emissions tab,,,,89,1213,,,,,,,,,
81,,302-4 Reduction of energy consumption\n,,All,Information unavailable/incomplete,Initiatives which contributed to energy consumption reductions are outlined in the 2023 Sustainability Report p.15.\nNo further data available at the level required by GRI.,89,1213,,,,,,,,,
82,,302-5 Reductions in energy requirements of products and services\n,,All,Information unavailable/incomplete,No data available at the level required by GRI.,,1213,,,,,,,,,
83,Water and effluents,,,,,,,,,,,,,,,,
84,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report p.6-7,,,,,,,,,,,,,,
85,GRI 303: Water and Effluents 2018,303-01 Interactions with water as a shared resource\n,,All,Information unavailable/incomplete,Limited information available in our 2023 Sustainability Report p.27,,,,,,,,,,,
86,,303-02 Management of water discharge-related impacts\n\n,,All,Information unavailable/incomplete,No data available at the level required by GRI.,,,,,,,,,,,
87,,303-03 Water withdrawal\n\n,,All,Information unavailable/incomplete,No data available at the level required by GRI.,,,,,,,,,,,
88,,303-4 Water discharge\n,,All,Information unavailable/incomplete,No data available at the level required by GRI.,,,,,,,,,,,
89,,303-5 Water consumption\n,2023 Sustainability data pack - Waste and Water tab for (a),b.c.d,Information unavailable/incomplete,Limited data available in the Sustainability Data Pack - Waste & Water.\nNo data available at the level required by GRI.,8,14,,,,,,,,,
90,Biodiversity,,,,,,,,,,,,,,,,
91,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report p.6-7,,,,,,,,,,,,,,
92,GRI 304: Biodiversity 2016,"304-1 Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",,All,Information unavailable/incomplete,Potentially in-scope for future work relating to the Taskforce on Nature-related Financial Disclosures (TNFD).,,,,,,,,,,,
93,,"304-2 Significant impacts of activities, products and services on biodiversity",,All,Information unavailable/incomplete,Potentially in-scope for future work relating to the Taskforce on Nature-related Financial Disclosures (TNFD).,,,,,,,,,,,
94,,304-3 Habitats protected or restored,,All,Information unavailable/incomplete,Potentially in-scope for future work relating to the Taskforce on Nature-related Financial Disclosures (TNFD).,,,,,,,,,,,
95,,304-4 IUCN Red List species and national conservation list species with habitats in areas affected by operations,,All,Information unavailable/incomplete,Potentially in-scope for future work relating to the Taskforce on Nature-related Financial Disclosures (TNFD).,,,,,,,,,,,
96,Emissions,,,,,,,,,,,,,,,,
97,GRI 3: Material Topics 2021,3-3 Management of material topics,2023 Sustainability Report p.14-19\n2023 Annual Report p.43-52,,,,,,,,,,,,,,
98,GRI 305: Emissions 2016,305-1 Direct (Scope 1) GHG emissions\n,2023 Sustainability data pack - Energy and S1 and S2 emissions tab,c,Not applicable,Biogenic emissions are not applicable for Coles.,78,,,,,,,,,,
