Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
0,,Team members (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Team members by category and diversity(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,Gender,,,,,,Age Group,,,,,,,,,,,,,,,,,,,,
5,,,Total,Female,%,Male,%,Gender X (4),%,Under 30,%,30-39,%,40-49,%,50 and Over,%,,,,,,,,,,,,,
6,,Non-executive Directors(3),8,3,0.375,5,0.625,-,-,-,-,-,-,1,0.125,7,0.875,,,,,,,,,,,,,
7,,Executive Team and General Managers(3),84,39,0.464286,45,0.535714,-,-,-,-,3,0.035714,55,0.654762,26,0.309524,,,,,,,,,,,,,
8,,All salaried team members(3) (Managers/Professional),14478,6776,0.46802,7632,0.527145,70,0.004835,2834,0.195745,4973,0.343487,3991,0.27566,2680,0.185108,,,,,,,,,,,,,
9,,All team members(3),123448,60580,0.490733,61843,0.500964,1025,0.008303,66618,0.539644,20851,0.168905,15979,0.129439,20000,0.162012,,,,,,,,,,,,,
11,,"Team members - employment type, gender and region (3)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,Total,Gender,,,Region,,,,,,,,,,,,,,,,,,,,,,,
14,,,,Female,Male,Gender X,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,,,,,,,,,,,,,,,,
15,,Permanent total,76160,38527,37140,493,1084,21537,596,14836,4207,1735,24100,8065,,,,,,,,,,,,,,,,
16,,- Permanent Full-time,23698,10401,13198,99,242,5704,191,4521,1213,370,9064,2393,,,,,,,,,,,,,,,,
17,,- Permanent Part-time,52462,28126,23942,394,842,15833,405,10315,2994,1365,15036,5672,,,,,,,,,,,,,,,,
18,,Fixed term,709,365,339,5,-,168,-,67,8,14,424,28,,,,,,,,,,,,,,,,
19,,Casual,46579,21688,24364,527,571,12829,440,10235,3333,683,12914,5574,,,,,,,,,,,,,,,,
20,,Total,123448,60580,61843,1025,1655,34534,1036,25138,7548,2432,37438,13667,,,,,,,,,,,,,,,,
22,,Team member turnover by employment type,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,Headcount (3),,,Turnover (5),,,% Turnover,,,,,,,,,,,,,,,,,,,,,
25,,,Female,Male,Gender X,Female,Male,Gender X,Female,Male,Gender X,Overall %,,,,,,,,,,,,,,,,,,
26,,Permanent,38527,37140,493,8258,9699,111,0.214343,0.261147,0.225152,0.237237,,,,,,,,,,,,,,,,,,
27,,- Full Time,10401,13198,99,1212,2058,12,0.116527,0.155933,0.121212,0.138493,,,,,,,,,,,,,,,,,,
28,,- Part Time,28126,23942,394,7046,7641,99,0.250516,0.319146,0.251269,0.281842,,,,,,,,,,,,,,,,,,
29,,Fixed Term,365,339,5,122,114,2,0.334247,0.336283,0.4,0.335684,,,,,,,,,,,,,,,,,,
30,,Casual,21688,24364,527,15413,17998,347,0.710669,0.738713,0.658444,0.724747,,,,,,,,,,,,,,,,,,
31,,Overall,60580,61843,1025,23793,27811,460,0.392753,0.449703,0.44878,0.421748,,,,,,,,,,,,,,,,,,
33,,"Team member hires and turnover by gender, age group and region (6),(7)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,Total,Gender,,,Age Group,,,,Region,,,,,,,,,,,,,,,,,,,
36,,,,Female,Male,Gender X,Under 30,30-39,40-49,50 and Over,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,,,,,,,,,,,,
37,,Team member,51346,22912,27873,561,37617,6597,3765,3367,673,15406,571,10847,2241,861,14022,6725,,,,,,,,,,,,
38,,new hires,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,%,0.415932,0.378211,0.450706,0.547317,0.564667,0.316388,0.235622,0.16835,0.406647,0.446111,0.551158,0.431498,0.2969,0.35403,0.374539,0.492061,,,,,,,,,,,,
40,,Team member,52064,23793,27811,460,36297,7400,4165,4202,783,15464,531,10696,2551,892,14372,6775,,,,,,,,,,,,
41,,turnover,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,% Turnover,0.421748,0.392753,0.449703,0.44878,0.544853,0.354899,0.260655,0.2101,0.473112,0.447791,0.512548,0.425491,0.33797,0.366776,0.383888,0.49572,,,,,,,,,,,,
45,,Gender balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,,Population (3),Target,FY22 female representation,FY23 female representation,,,,,,,,,,,,,,,,,,,,,,,,,
48,,Board of Directors (8),0.3,0.375,0.444444,,,,,,,,,,,,,,,,,,,,,,,,,
49,,Executive,40% \nwomen in leadership positions,0.357143,0.416667,,,,,,,,,,,,,,,,,,,,,,,,,
50,,Leadership,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,Team (9),,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,Senior,,0.43038,0.464286,,,,,,,,,,,,,,,,,,,,,,,,,
53,,Executives (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,,All leadership,,0.393561,0.414835,,,,,,,,,,,,,,,,,,,,,,,,,
55,,roles (11),,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,,All management,,0.451012,0.456373,,,,,,,,,,,,,,,,,,,,,,,,,
57,,roles (12),,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,All roles (13),,0.500089,0.490733,,,,,,,,,,,,,,,,,,,,,,,,,
60,,"(1) Excludes Coles Express, Chef Fresh New South Wales, Chef Fresh Victoria and the China Office",,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,(2) These positions are defined through job evaluation methodology,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,(3) As at week ended 28 June 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,"(4) Following the launch of myhub (people and payroll system) in September 2020, team members can now select gender diverse or prefer not to say as their gender identity. This is reflected as Gender X in the above tables",,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,(5) Turnover relates to 30 June 2022 to 28 June 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,(6) New hires and turnover relates to 30 June 2022 to 28 June 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,(7) New hire and turnover percentages use the snapshot headcount from 28 June 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,(8) Includes Chief Executive Officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,(9) Executive Leadership Team (ELT) and Chief Executive Officer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,(10) ELT and General Managers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,"(11) ELT, General Managers, team members pay grade eight and above, and Supermarket store managers",,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,"(12) ELT, General Managers, team members pay grade eight and above, Supermarket store managers, Liquor store managers, Supermarket department managers, Coles Services area managers and team leaders, and people leaders in our distribution centres",,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,(13) Total workplace,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,Health & Safety,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,Total recordable injury frequency rate (TRIFR)(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,FY20,FY21,FY22,FY23,,,,,,,,,,,,,,,,,,,,,,,
79,,Total recordable injury frequency rate (TRIFR)(1),,22.7 (2),19.1,16.3,14.8,,,,,,,,,,,,,,,,,,,,,,,
80,,Fatalities,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
81,,"(1) TRIFR measures the number of medically treated, lost time and restricted duties injuries per million hours worked",,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,(2) FY20 TRIFR was calculated using Period 9 FY19 hours worked to reflect normalised hours over the financial year,,,,,,,,,,,,,,,,,,,,,,,,,,,,
