Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,Waste and Water,,,,,,,,,,,
1,,Waste (1) (tonnes) Ã¢ÂÂ disposed(2) and recycled(3),,,,,,,,,,,
2,,,FY20,,FY21,,FY22,,FY23,,,,
3,,,Disposed,Recycled,Disposed,Recycled,Disposed,Recycled(4),Disposed,Recycled(4),,,
4,,,76742,252616,68645.530147,285975,63243,298750,57515,301817,,,
5,,,,,,,,185802,,178499.9,Cardboard,,
6,,,,,,,,81008,,91461.9,Organics,,
7,,,,,,,,31950,,31854.72,Other,,
8,,(1) Covers 1 July 2022- 30 June 2023 (except the data received from Cleanaway which cover 27 June 2022 to 25 June 2023 ),,,,,,,,,,,
9,,(2) Solid waste to landfill,,,,,,,,,,,
10,,"(3) Recycled waste includes all solid material diverted from landfill eg. Reused, recycled or to be recycled, repurposed, composted or converted to energy. Excludes all liquids, except high-strength sludges and liquids diverted for use as food",,,,,,,,,,,
11,,(4) In FY22 and FY23 we have provided the breakdown of our recycled waste,,,,,,,,,,,
13,,Water1 (ML),FY23,,,,,,,,,,
14,,Total,1342,,,,,,,,,,
15,,(1) for Coles Supermarkets only.,,,,,,,,,,,
