Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
0,Energy & Emissions,,,,,,,,,,,,,,,,,
2,Energy consumption within the organisation,,,,,,,,,FY22,,,,,,,,
3,GRI 302-1\n\n,FY22,FY21,FY20,FY19,FY18,FY17,FY16,,Cowal,Red Lake,Mungari,Mt Rawdon,Mt Carlton,Ernest Henry,Other (1),,
4,Diesel (L),73499769,58130571.005,56573770.528108,55517612.3173,56945951.350083,59743070.226,55562605.95999,,36393140,3053178,16386537,10572278,1542333,5431520,120783,,
5,Liquid Petroleum Gas (LPG) (L),3576595,2714171.725882,2579033.697,2327504.68,2563628.553,2823874.166,2811013.71668,,1803194,933138,483019,335135,265,21844,-,,
6,Unleaded Gasoline (ULP) (L),186854,140241.7,23823.24,24794.88,14751.48,17982,18395.44,,20960,165894,-,-,-,-,-,,
7,Pipeline Natural Gas (GJ),391433,316296,0,0,0,0,0,,-,391433,-,-,-,-,-,,
8,Renewable Electricity Purchased from Grid (kWh),287691221,231430029.717334,83146138.252384,63821935.451505,51192680.171092,54927860.50192,44181413.351383,,65602009,169897944,34378437,15537075,2241550,-,34206,,
9,Renewable Electricity Generated On-site (kWh),39224,39316,0,0,0,0,0,,-,-,32951,6273,-,-,-,,
10,Non-Renewable Electricity Purchased from Grid (kWh),679846445,429550187.984466,418434789.747616,417739518.866495,442707057.602688,488426393.58108,542887261.318517,,186713411,66071422,74759458,63733714,9194929,279282518,90993,,
11,Non-Renewable Electricity Generated On-site (kWh),10057292,637236.6692,740616,0,0,3528403,2651065,,1973343,-,7965476,-,118473,-,-,,
12,Total Electricity Consumption (kWh),977634182,661656770.371,502321544,481561454.318,493899737.77378,546882657.083,589719739.6699,,254288763,235969366,117136322,79277062,11554952,279282518,125199,,
13,Total Energy Consumption (GJ),6898678,5049332.211487,4102171,3986905,4075493,4402695,4415040,,2386344,1387367,1073276,708426,102102,1235976,5187,,
14,,,,,,,,,,(1) Corporate and Exploration,,,,,,,,
15,Energy intensity,,,,,,,,,FY22,,,,,,,,
16,GRI 302-3\n\n,FY22,FY21,FY20,FY19,FY18,FY17,FY16,,Cowal,Red Lake,Mungari,Mt Rawdon,Mt Carlton,Ernest Henry,,,
17,Electricity Intensity (per tonne of ore processed) (GWh/t),0.044953,0.04246,0.033343,0.033864,0.035163,0.034133,,,0.029448,0.278546,0.062846,0.023284,0.045277,0.041427,,,
18,Energy Intensity per tonne of ore processed (GJ/t),0.317211,0.32403,0.272291,0.280366,0.290152,0.27479,,,0.276349,1.637695,0.575838,0.208066,0.400079,0.183335,,,
19,Energy intensity by gold produced (GJ/oz),10.774588,8.581593,6.572591,6.093278,5.274156,5.696524,,,10.507715,12.035176,7.775447,11.806313,6.499173,14.688645,,,
21,Greenhouse gas (GHG) emissions (2),,,,,,,,,FY22,,,,,,,,
22,"GRI 305-1, 305-2, 305-4, 305-5",FY22,FY21,FY20,FY19,FY18,FY17,FY16,,Cowal,"Red Lake (5, 6)",Mungari,Mt Rawdon,Mt Carlton,Ernest Henry,Other,,
