Unnamed: 0,GRI & SDG Index,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
40,Stakeholder Engagement,102-40,List of stakeholder groups,2022 Annual and Sustainability Report,,,,17,,,
41,Stakeholder Engagement,102-41,Collective bargaining agreements,"This document - ""People"" Worksheet\n2022 Annual and Sustainability Report",- The Group respects employee rights to freedom of association and collective bargaining. \n - The majority of Group employees are covered by individual agreements rather than collective bargaining agreements. \n - There have been no examples of significant industrial action in the reporting period.,Go to Data,13,8,,,
42,Stakeholder Engagement,102-42,Identifying and selecting stakeholders,2022 Annual and Sustainability Report,,,,17,,,
43,Stakeholder Engagement,102-43,Approach to stakeholder engagement,2022 Annual and Sustainability Report,,,,11,,,
44,Stakeholder Engagement,102-44,Key topics and concerns raised,2022 Annual and Sustainability Report,- No general or significant concerns were noted in the reporting period,,,11,,,
45,Reporting Practice,102-45,Entities included in the consolidated financial statements,2022 Annual and Sustainability Report,- Our financial overview is updated annually.,,,,,,
46,Reporting Practice,102-46,Defining report content and topic boundaries,2022 Annual and Sustainability Report,"- Refer to 'Materiality Assessment' section in Annual and Sustainability Report.\n - Captured in Risk Register.\n - Aligned with ESG reporting frameworks including GRI, UNSDGs, UNGC and TCFD.",,,,,,
47,Reporting Practice,102-47,List of material topics,2022 Annual and Sustainability Report,"- Refer to 'Materiality Assessment' section in Annual and Sustainability Report.\n - Captured in Risk Register.\n - Aligned with ESG reporting frameworks including GRI, UNSDGs, UNGC and TCFD.",,,,,,
48,Reporting Practice,102-48,Restatements of information,2022 Annual and Sustainability Report,"- Evolution acquired the Ernest Henry operation in Queensland, Kundana and EKJV in Western Australia and divested our Mt Carlton operation.",,,,,,
49,Reporting Practice,102-49,Changes in reporting,2022 Annual and Sustainability Report,"- In FY21, we conducted an independent materiality assessment for the development of this report. The material topics in the FY22 Sustainability Report are based on this assessment.",,,9,,,
50,Reporting Practice,102-50,Reporting period,2022 Annual and Sustainability Report,- 1 July 2021 - 30 June 2022,,,,,,
51,Reporting Practice,102-51,Date of most recent report,2021 Annual and Sustainability Report,- FY21,,,,,,
52,Reporting Practice,102-52,Reporting cycle,2022 Annual and Sustainability Report,"- Annual, released in conjunction with Annual Report",,,,,,
53,Reporting Practice,102-53,Contact point for questions regarding the report,2022 Annual and Sustainability Report,esgreporting@evolutionmining.com,,,,,,
54,Reporting Practice,102-54,Claims of reporting in accordance with the GRI Standards,2022 Annual and Sustainability Report\nGRI & SDG Index,- Annual and Sustainability Report has been prepared in accordance with the GRI Standards.,,,,,,
55,Reporting Practice,102-55,GRI content index,-,This document,,,,,,
56,Reporting Practice,102-56,External assurance,2022 Annual and Sustainability Report,"- This report has been reviewed by the Board\n - This report has been prepared in accordance with ASX Corporate Governance Council Ã¢ÂÂCorporate Governance Principle 5Ã¢ÂÂ to be Ã¢ÂÂfactual, complete, balanced (disclosing both positive and negative information) and expressed in a clear and objective mannerÃ¢ÂÂ.\n - The Remuneration Report and Financial Report in the Annual Report is subject to independent external audit, the report on which appears in the Annual Report as the Ã¢ÂÂindependent auditorÃ¢ÂÂs reportÃ¢ÂÂ.\n - Audits are complete for each operation as per the legal obligations.\n - Cowal Gold is ISO14001 Compliant.\n - Recertification for Cowal and Red Lake to the International Cyanide Management Code.\n - Certain other information is assured by external providers, as noted in this report.",,,,,,
57,Management Approach,103-1,Explanation of the material topic and its Boundary,2022 Annual and Sustainability Report,- In each section of the 2022 Annual and Sustainability Report and Sustainability Website.,,Principles 1-10,Goals 1-17,,,
58,Management Approach,103-2,The management approach and its components,2022 Annual and Sustainability Report,- In each section of the 2022 Annual and Sustainability Report and Sustainability Website.,,,15816,,,
59,Management Approach,103-3,Evaluation of the management approach,2022 Annual and Sustainability Report,- In each section of the 2022 Annual and Sustainability Report and Sustainability Website.,,,,,,
60,Economic Performance,201-1,Direct economic value generated and distributed,"This document - ""Economic Performance"" Worksheet\n2022 Annual and Sustainability Report",,Go to Data,"6, 10","2, 5, 7, 8, 9",,,
61,Economic Performance,201-2,Financial implications and other risks and opportunities due to climate change,2022 Annual and Sustainability Report\nClimate Risk Position Statement\nTCFD Index,,Go to Data,"8, 9",13,,,
62,Market Presence,202-1,Ratios of standard entry level wage by gender compared to local minimum wage,-,"- At all our significant locations, we ensure that the ratios of entry level wages meets or exceeds the legal requirements and complies with all applicable laws.",,6,"1,5,8, 10",,,
63,Procurement Practices,204-1,Proportion of spending on local suppliers,"This document - ""Economic Performance"" Worksheet\n2022 Annual and Sustainability Report",,Go to Data,10,"1, 12",,,
64,Anti-Corruption,205-1,Operations assessed for risks related to corruption,Corporate Governance Statement\n2022 Annual and Sustainability Report,- Fraud (including corruption) is reviewed and reported as part of annual assurance.,,10,"8, 16",,,
65,Anti-Corruption,205-2,Communication and training about anti-corruption policies\nand procedures,Anti-Bribery and Corruption Policy\n2022 Annual and Sustainability Report\nCode of Conduct,- 100% of employees have received training on EVN's Code of Conduct.,,10,"8, 16",,,
66,Anti-Corruption,205-3,Confirmed incidents of corruption and actions taken,-,- There were no incidents of bribery and corruption during this reporting period.,,10,"8, 16",,,
67,Anti-Corruption,206-1,"Legal actions for anti-competitive behaviour, anti-trust, and monopoly practices",Code of Conduct\nWhistleblower Policy\nWhistleblower Standards\n2022 Annual and Sustainability Report,"- 0 legal actions for anti-competitive behaviour, anti-trust and monopoly practices to report in FY22.",,10,16,,,
68,Energy,302-1,Energy consumption within the organization,"This document - ""Energy and Emissions"" Worksheet\n2022 Annual and Sustainability Report",- Assurance reporting is undertaken on National Pollutant Inventory (NPI) and greenhouse gas (GHG) emissions as part of the submission to National Greenhouse and Energy Reporting Act 2007 (NGER Act). Technical experts have also been engaged to complete a range of internal audit processes.,Go to Data,"7, 8, 9","7, 8, 12, 13",,,
