Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
0,"Materials, Tailings & Waste",,,,,,,,,,,,,,,,
2,Production (1),,,,,,,,FY22,,,,,,,,
3,GRI 301-1,FY22,FY21,FY20,FY19,FY18,FY17,,Cowal,Red Lake,Mungari,Mt Rawdon,Mt Carlton,Ernest Henry,,,
4,Total Ore processed (tonnes) (1),21747890.627515,15582910,15065382,14220376,14046053,16022060,,8635259.4,847145.997,1863850.064075,3404816,255204.3,6741614.86644,,,
5,Total Gold (oz),640273,588391,624133,654312,772729,772874,,227104,115276,138034,60004,15710,84145,,,
6,Total Ore mined (tonnes),22815747.187586,9899583,10736000,12654000,14323000,20894000,,10549230.76,842972.262,2476065.663114,2302516.12,222150.9,6422811.482472,,,
7,Total waste mined (tonnes),27088189.229959,32694503,31563000,37708000,40984000,33128000,,13162063.25,471438.5,7110065.919959,5561518.96,783102.6,0,,,
8,Total material mined (tonnes),49903936.417544,42594086,42299000,50362000,55307000,54022000,,23711294.01,1314410.762,9586131.583072,7864035.08,1005253.5,6422811.482472,,,
9,Total material mined (tonnes) (2),48898682.917544,46655664.11,46277064.78,,,,,23711294.01,1314410.762,9586131.583072,7864035.08,,6422811.482472,,,
10,(1) Production data does not include our financial stake in Ernest Henry,,,,,,,,,,,,,,,,
11,(2) Excluding Mt Carlton with revalidated FY20 baseline (against the GHG Protocol).,,,,,,,,,,,,,,,,
13,Total waste generated (non-mineral waste),,,,,FY22,,,,,,,,,,,
14,GRI 306-2,FY22,FY21,FY20,,Cowal,Red Lake,Mungari,Mt Rawdon,Mt Carlton,Ernest Henry,,,,,,
15,Total Non-Hazardous Waste Generated (tonnes),10856.167,15731,7510,,2726,3441.467,3305,555.2,330.53,497.97,,,,,,
16,Total Hazardous Waste Generated (tonnes),5159.03,9064.95,10505,,1459.67,688.12,352,1287,290.18,1082.06,,,,,,
17,Total Waste Generated (tonnes),16015.487,24795.95,18015,,4185.67,4129.587,3657,1842.2,620.71,1580.03,,,,,,
18,Total Waste Recycled (tonnes),6138.19,5671.85,4814,,3014,1565,435,712.44,120.44,291.31,,,,,,
19,% Waste Recycled (tonnes),0.383266,0.228741,0.267222,,0.720076,0.378973,0.11895,0.386733,0.194036,0.18437,,,,,,
21,Mineral waste,,,,,,,FY22,,,,,,,,,
22,"GRI 306-2, MM3",FY22,FY21,FY20,FY19,FY18,,Cowal,Red Lake,Mungari,Mt Rawdon,Mt Carlton,Ernest Henry,,,,
23,Total Waste Mined (tonnes),27071426.629959,32694503,31563000,37708000,40984000,,13162063.25,471438.5,7110065.919959,5561518.96,766340,0,,,,
24,Solids in Tailings (tonnes),21315976.301199,15375336.092428,15011213,14162000,,,8635259,679250.132323,1863850.064075,3404816,236272.116454,6496528.988347,,,,
25,Pastefill (tonnes),429823.47485,348610.3732,,,,,0,162917.47485,266906,0,0,0,,,,
26,Backfilling - waste rock (tonnes),26058,,,,,,0,0,26058,0,0,0,,,,
27,Explosives (tonnes),16880.478699,11142.097898,11414,12505,,,6354.834099,1929.2746,3714.655,1297,208.715,3376,,,,
28,Total Mineral Waste Generated (tonnes),48387402.931157,48069839.092428,46574213,51870000,40984000,,21797322.25,1150688.632323,8973915.984034,8966334.96,1002612.116454,6496528.988347,,,,
29,Total Mineral Waste Recycled (tonnes),455881.47485,348610.3732,,,,,0,162917.47485,292964,0,0,0,,,,
31,Non-mineral waste,,,,,,FY22,,,,,,,,,,
32,GRI 306-2,FY22,FY21,FY20,FY19,,Cowal,Red Lake,Mungari,Mt Rawdon,Mt Carlton,Ernest Henry,,,,,
33,Off-site Landfill (tonnes),4451.546,6280,3267,7207,,663.936,1999,1352,119,310.73,6.88,,,,,
34,On-site landfill (tonnes),2223.33,1181,1573,1792,,0,0,1729,6.5,0,487.83,,,,,
35,Recycling / Reuse (tonnes),6089.4,5658,4814,67,,2971.13,1565,435,712,114.96,291.31,,,,,
36,Tyres disposed of on-site (tonnes),8.22,0,9,10,,0,0,0,0,8.22,0,,,,,
37,Tyres incinerated (tonnes),4.12,0,40,-,,0,0,0,0,0,4.12,,,,,
38,Tyres disposed of off-site (tonnes),282.32,5025,-,-,,0,281,0,0,1.32,0,,,,,
39,Tyres recycled/reused (tonnes),48.72,13.85,-,-,,43.24,0,0,0,5.48,0,,,,,
40,Incinerated (tonnes),0.816,4528.6,-,-,,0,0,0.816,0,0,0,,,,,
41,Composted (tonnes),0,4,6027,-,,0,0,0,0,0,0,,,,,
42,Other Ã¢ÂÂ Septic waste (tonnes),2906.28,2105.1,2285,-,,507.4,285,140,1004,180,789.88,,,,,
43,Total Non-Mineral Waste Generated (tonnes),16014.752,24795.55,18015,9076,,4185.706,4130,3656.816,1841.5,620.71,1580.02,,,,,
44,Total Non-Mineral Waste Recycled (tonnes),6138.12,5671.85,4814,67,,3014.37,1565,435,712,120.44,291.31,,,,,
46,Tailings,,,,,,,,,,,,,,,,
47,,Cowal,Mt Carlton,Mt Rawdon,Mungari,Red Lake,Ernest Henry,,,,,,,,,,
48,Active TSF,1,1,1,1,2,1,,,,,,,,,,
49,Inactive TSF,0,-,0,3,3,0,,,,,,,,,,
50,Construction Type,Downstream / IWL; Upstream,"Downstream, HDPE Lined",Upstream / Rock Buttressing,Upstream / Rock Buttressing,Upstream / Downstream,Upstream,,,,,,,,,,
