Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,Communities,,,,,,,,
2,Operations taking place in or near Indigenous territory,,,,,,,,
3,GRI MM5,FY23,FY22,FY21,,,,,
4,Is the operation adjacent (1) or on Indigenous peoples' territory?,Yes,Yes,Yes,,,,,
5,Do formal agreements exist with Indigenous peoples?,Yes,Yes,Yes,,,,,
6,"(1) Adjacent refers to land physically next to, or influenced by, the operation site",,,,,,,,
8,"Operations with local community engagement, impact assessments, and development programs",,,,,,,,
9,GRI 413-1,FY23,FY22,FY21,FY20,,,,
10,% of sites with formal social impact assessments in place (2),0.4,0.4,0.2,0.2,,,,
11,% of sites with formal Community Plans,1,1,1,1,,,,
12,% of Community Plans Actions completed,1,1,1,1,,,,
13,% of current production assets that have required community consultation,1,1,1,1,,,,
14,% of development projects that are in the process of community consultation,1,1,1,1,,,,
15,Number of development projects in the process of community consultation (3),3,1,1,1,,,,
16,(2) SIA completed for Mt Rawdon and Red Lake; Mungari due to be completed FY24,,,,,,,,
17,"(3) Mt Rawdon Pumped Hydro, Cowal Open Pit Continuation and Ernest Henry Mine Extension Project",,,,,,,,
19,Grievances mechanisms & outcomes,,,,,,,,
20,GRI 413-2,FY23,FY22,FY21,,,,,
21,Total number of community grievances or complaints (4),5,8,15,,,,,
22,Environmental,1,1,3,,,,,
23,Health & Safety,1,2,1,,,,,
24,Social and Communities,1,1,9,,,,,
25,Economic opportunities (e.g. employment & procurement),1,-,1,,,,,
26,Indigenous rights,-,-,1,,,,,
27,Land and resource use,-,1,0,,,,,
28,Mining practices and activities,1,3,0,,,,,
29,Number of grievances or complaints investigated,5,5,15,,,,,
30,Number of remediation plans implemented as a result of an investigation,-,-,0,,,,,
31,"Number of grievances or complaints resolved, completed or withdrawn at the end of the year",5,8,15,,,,,
32,"% of grievances or complaints resolved, completed or withdrawn at the end of the year",0.83,1,1,,,,,
33,(4) Specific issues of concern to community members that requires a response from the company and potentially further action,,,,,,,,
36,Cultural Heritage,,,,,,,,
37,,FY23,FY22,FY21,FY20,FY19,FY18,,
38,Material Cultural Heritage Incidents,0,0,0,0,0,0,,
39,Material Community Impact Incidents,0,0,0,0,0,0,,
41,Suppliers that were screened using social criteria,,,,,,,,
42,"GRI 408-1, 409-1, 412-1, 414-1",FY23,FY22,FY21,,,,,
43,% of medium and high risk suppliers receiving modern slavery questionnaires (5),1,1,1,,,,,
44,% of medium and high risk suppliers assessed for modern slavery and human rights risks in the last year (6),0.57,0.62,0.54,,,,,
45,% of total suppliers assessed where human rights risks have been identified (7),0,0,0,,,,,
46,% of human rights risk with mitigation or remediation process implemented,,,,,,,,
47,"(5) A medium to high risk supplier is a supplier who has been identified as having the potential (through the provision of their goods and services) to breach the policies, standards, practices, values and/or readily accepted business activities, as defined for the particular supply of a good or service.",,,,,,,,
48,(6) 57% of questionnaires issued were returned after issuing 125 questionnaires to Medium to High Risk suppliers,,,,,,,,
49,"(7) No actual modern slavery risks were identified in our supply chain during FY23. One incident of potential modern slavery was identified and investigated during FY23, with no further action required.",,,,,,,,
