Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
0,Energy & Emissions,,,,,,,,,,,,,,,,,
2,Energy consumption within the organisation,,,,,,,,,,FY23,,,,,,,
3,GRI 302-1\n\n,FY23,FY22,FY21,FY20,FY19,FY18,FY17,FY16,,Cowal,Red Lake,Mungari,Mt Rawdon,Ernest Henry,Other (1),,
4,Diesel (L),71751825.36,73499769,58130571.005,56573770.528108,55517612.3173,56945951.350083,59743070.226,55562605.95999,,37521823,3246099,13649086,12210351.83,5024857,99608.53,,
5,Liquid Petroleum Gas (LPG) (L),2788083.45,3576595,2714171.725882,2579033.697,2327504.68,2563628.553,2823874.166,2811013.71668,,1605757.71,332599.6,469464,357799.12,22233.7,229.32,,
6,Unleaded Gasoline (ULP) (L),175494.16,186854,140241.7,23823.24,24794.88,14751.48,17982,18395.44,,12868.68,162620.2,0,0,0,5.28,,
7,Pipeline Natural Gas (GJ),369206,391433,316296,0,0,0,0,0,,0,369206,0,0,0,0,,
8,Renewable Electricity Purchased from Grid (kWh) (2),249681761.41,287691221,231430029.717334,83146138.252384,63821935.451505,51192680.171092,54927860.50192,44181413.351383,,98954703,93694331.78,39023552.34,17968845.4,0,40328.89,,
9,Renewable Electricity Generated On-site (kWh),45461,39224,39316,0,0,0,0,0,,0,0,39054,6407,0,0,,
10,Non-Renewable Electricity Purchased from Grid (kWh),639069904.35,679846445,429550187.984466,418434789.747616,417739518.866495,442707057.602688,488426393.58108,542887261.318517,,165754343,69037928.68,71838812.26,61539320.09,270812276,87224.32,,
11,Non-Renewable Electricity Generated On-site (kWh),10037719.62,10057292,637236.6692,740616,0,0,3528403,2651065,,3165790.62,0,6871929,0,0,0,,
12,Low-emission Electricity Purchased from Grid (kWh) (3),83831770.54,,,,,,,,,0,83831770.54,0,0,0,0,,
13,Total Electricity Consumption (kWh),982666616.92,977634182,661656770.371,502321544,481561454.318,493899737.77378,546882657.083,589719739.6699,,267874836.62,246564031,117773347.6,79514572.49,270812276,127553.21,,
14,Total Energy Consumption (GJ),6819047.02,6898678,5049332.211487,4102171,3986905,4075493,4402695,4415040,,2474818,1408252.01,970981.46,774202.67,1186407.88,4385,,
15,(1) Includes Corporate and Exploration emissions,,,,,,,,,,,,,,,,,
16,"(2) From FY23 onwards, adjustment made to exclude low-emission nuclear energy source at Red Lake and to include the renewable energy associated with large-scale generation certificates (LGCs) at Cowal.",,,,,,,,,,,,,,,,,
17,(3) New metric reported in Sustainability Report for FY23 onwards. Includes low-emission nuclear energy source at Red Lake.,,,,,,,,,,,,,,,,,
19,Energy intensity,,,,,,,,,,FY23,,,,,,,
20,GRI 302-3\n\n,FY23,FY22,FY21,FY20,FY19,FY18,FY17,FY16,,Cowal,Red Lake,Mungari,Mt Rawdon,Ernest Henry,,,
21,Electricity Intensity (per tonne of ore processed) (MWh/t),0.0476,0.044953,0.04246,0.033343,0.033864,0.035163,0.034133,,,0.031,0.3025,0.0621,0.0236,0.0455,,,
22,Energy Intensity per tonne of ore processed (GJ/t),0.3301,0.317211,0.32403,0.272291,0.280366,0.290152,0.27479,,,0.2868,1.7275,0.5124,0.2302,0.1994,,,
23,Energy intensity by gold produced (GJ/oz),10.47,10.774588,8.581593,6.572591,6.093278,5.274156,5.696524,,,8.96,11.65,7.16,14.42,18.33,,,
25,Greenhouse gas (GHG) emissions (4),,,,,,,,,,FY23,,,,,,,
26,"GRI 305-1, 305-2, 305-4, 305-5",FY23,FY22,FY21,FY20,FY19,FY18,FY17,FY16,,Cowal,"Red Lake (7, 8)",Mungari,Mt Rawdon,Ernest Henry,Other,,
27,Greenhouse gas emissions Scope 1 (t CO2-e) (5),218531.02,225350,178394.704672,157857,155085,159061,167734,157584,,104155.77,28846.89,37792.64,33673.48,13791.2,271.04,,
28,"Greenhouse gas emissions Scope 2 (t CO2-e)(6) (Market-based, i.e. includes LGCs(10))",403601.26,,,,,,,,,165087.6,7396.92,56539.8,58040.96,116449.28,86.7,,
29,"Greenhouse gas emissions Scope 2 (t CO2-e) (6) (Location-based, i.e. excludes LGCs(9))",431751.26,472902,371089.3875,398187.08,383449,394144,430993,472257,,193237.6,7396.92,56539.8,58040.96,116449.28,86.7,,
30,"Total of Scope 1 and Scope 2 (t CO2-e) (Market-based, i.e. includes LGCs(10))",622132.28,684921,713978.092172,700378,,,,,,269243.37,36243.81,94332.44,91714.44,130240.48,357.74,,
31,"Total of Scope 1 and Scope 2 (t CO2-e) (12) (Location-based, i.e. excludes LGCs(9))",650282.58,684921,713978.092172,700378,,,,,,297393.37,36243.81,94332.44,91714.44,130240.48,357.74,,
32,"Total of Scope 1 and Scope 2 (t CO2-e) (11) (Historic Location-based, i.e. excludes LGCs)",,698252,549484.092172,556044.08,538534,553205,598727,629841,,,,,,,,,
