Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
33,(4) The energy and emissions boundary is based on operational control as defined by the National Greenhouse and Energy Reporting (NGER) Act 2007. The applied global warming potential (GWP) rates and emission factors are based on the NGER Act (2007) and the National Pollutant Inventory.,,,,,,,,,,,,,,,0.000575,,
34,"(5) Scope 1 refers to emissions produced directly by operations, primarily resulting from combustion of various fuels and includes CO2-equivalent values for greenhouse gases such as CH4, N20 and SF6.",,,,,,,,,,,,,,,,,
35,(6) Scope 2 refers to indirect emissions resulting from the import of electricity from external parties; commonly the electricity grid.,,,,,,,,,,,,,,,,,
36,"(7) Red Lake: Scope 1 Ã¢ÂÂ Emissions have been estimated from all fuel usage (diesel, propane, gasoline and natural gas), oils and greases, and sulphur hexafluoride.",,,,,,,,,,,,,,,,,
37,"(8) Red Lake: Scope 2 - Emissions factor has been sourced from Table 6 from ""Emission Factors and Reference Values: Canada's Greenhouse Gas Offset Credit System"" published by Environment and Climate Change Canada, June 2023 (source: https://publications.gc.ca/collections/collection_2023/eccc/En84-294-2023-eng.pdf)",,,,,,,,,,,,,,,,,
38,"(9) Calculated using the location-based method, aligned with the GHG Protocol and NGER reporting, which does not include consideration of LGCs that are surrendered on the CompanyÃ¢ÂÂs behalf.",,,,,,,,,,,,,,,,,
39,"(10) New metric reported in Sustainability Report for FY23 onwards. Calculated using the market-based method, aligned with the Greenhouse Gas (GHG) Protocol, which reflects the renewable energy purchased through our electricity provider in New South Wales and the large-scale generation certificates (LGCs) that are surrendered on the CompanyÃ¢ÂÂs behalf.",,,,,,,,,,,,,,,,,
40,(11) Includes emissions reflective of the historic asset portfolio in each of the respective years using location-based method.,,,,,,,,,,,,,,,,,
42,Emissions intensity,,,,,,,,,,FY23,,,,,,,
43,,FY23,FY22,FY21,FY20,FY19,FY18,FY17,FY16,,Cowal,Red Lake,Mungari,Mt Rawdon,Ernest Henry,Other,,
44,"Emissions intensity per tonne material mined (t Scope 1 and Scope 2 CO2-e/tonne) (Market-based, i.e. includes LGCs(10))(13)",0.0145,0.014007,0.015303,0.015134,,,,,,0.0106,0.0241,0.0175,0.0177,0.0248,0,,
45,"Emissions intensity per tonne material mined (t Scope 1 and Scope 2 CO2-e/tonne) (12) (Location-based, i.e. excludes LGCs(9))",0.0152,0.014007,0.015303,0.015134,,,,,,0.0117,0.0241,0.0175,0.0177,0.0248,0,,
46,Emissions intensity per tonne material mined (t Scope 1 and Scope 2 CO2-e/tonne) (11),,0.013992,0.0129,0.013146,0.010693,0.010002,0.011083,,,,,,,,,,
47,Emissions intensity per tonne material moved (t Scope 1 and Scope 2 CO2-e/tonne)(13),0.0117,,,,,,,,,0.0082,0.0241,0.0164,0.0126,0.0219,0,,
48,Emissions intensity per tonne ore processed (t Scope 1 and Scope 2 CO2-e/tonne),0.0301,0.032107,0.035262,0.036909,0.037871,0.039385,0.037369,,,0.0312,0.0445,0.0498,0.0273,0.0219,0,,
49,Emissions intensity per gold equivalent ounce produced (t Scope 1 and Scope 2 CO2-e/oz)(13),0.9412,,,,,,,,,0.9744,0.2999,0.6957,1.7084,1.7472,0,,
50,Emissions intensity per gold ounce produced (t Scope 1 and Scope 2 CO2-e/oz),0.9554,1.090554,0.933876,0.890906,0.823054,0.715911,0.774676,,,0.9744,0.2999,0.6957,1.7084,2.0122,0,,
51,"(12) Reflective of emissions associated with current portfolio, with revalidated FY20 baseline (in alignment with GHG Protocol).",,,,,,,,,,,,,,,,,
52,"(13) New metric reported in Sustainability Report for FY23 onwards, reflective of emissions associated with current portfolio, with revalidated FY20 baseline (in alignment with GHG Protocol).",,,,,,,,,,,,,,,,,
54,"Nitrogen oxides (NOx), sulphur oxides (SOx), and other significant air emissions",,,,,,,,,,FY23,,,,,,,
55,GRI 305-7,FY23,FY22,FY21,FY20,FY19,FY18,FY17,FY16,,Cowal,Red Lake,Mungari,Mt Rawdon,Ernest Henry,,,
56,Sulphur oxide SOx (kg),2895.15,3129.1,935.1,932,916,926,1002,936,,623,1782.15,209,205,76,,,
57,Nitrous oxide NOx (kg),1809896.06,1720676.453698,1503417,1492143,1397676,1395277,1521718,1627006,,907902,23368.06,316120,461493,101013,,,
58,Carbon Monoxide (CO) (kg),2019005.9,2003065,1410550,722095,719005,701930,886918,788636,,541220,1060937.9,174366,160246,82236,,,
59,Particulate matter < 10 um (kg) - total,5275425,5571072.2,4746621,4730467,4260114,4323757,5163574,5585918,,3082385,124124.0,187744,930512,950660,,,
60,Particulate matter < 10 um (kg) - dust,5035118.5,5369415.8,4640727,4628208,,,,,,3022577,5806.5,165020,899060,942655,,,
61,Particulate matter < 10 um (kg) - exhaust,215905,201656.4,105894,102259,,,,,,59808,93915,22725,31452,8005,,,
62,Particulate matter < 2.5 um (kg),229219.5,211473.8,155863,96844,88471,86683,95254,104208,,56305,113659.5,21547,30235,7473,,,
63,Total volatile organic compounds (VOC) (kg),123245.717408,113634.717408,99063,100959,90036,86380,97958,110103,,56995,2699.717408,21889,31618,10044,,,
64,Emissions of lead and lead compounds,659.6056,593.6524,674,688,577,639,812,1147,,291,20.6056,16,308,24,,,
