Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,Environmental Stewardship,,,,,,,,,,
2,Habitats protected or restored,,,,,,,,,,
3,"GRI 304-3, MM1",FY23,FY22,FY21,FY20,FY19,FY18,,,,
4,Land disturbed (ha),7056,7038,4460,2193,2984,-,,,,
5,Land rehabilitated (ha),1109,752,323,188,18.2,113.66,,,,
6,Sites with protected conservation status (1),1,1,1,1,1,1,,,,
7,(1) Lake Cowal,,,,,,,,,,
9,Biodiversity management plans,,,,,,,,,,
10,GRI MM2,FY23,FY22,FY21,FY20,FY19,FY18,,,,
11,% of total sites identified as requiring biodiversity management plans,1,1,1,1,1,1,,,,
12,% of sites with plans in place,1,1,1,1,1,1,,,,
15,Cyanide Management,,,,,,,,,,
16,,FY23,FY22,FY21,FY20,FY19,FY18,,,,
17,Cyanide use (tonnes),3600,3480.197644,3191,3005,2374,2499,,,,
18,Number of sites that are cyanide code signatories,2 (2),2,2,2,1,1,,,,
19,(2) Cowal and Red Lake,,,,,,,,,,
21,Spills,,,,,,,,,,
22,GRI 306-3,FY23,FY22,FY21,FY20,FY19,FY18,,,,
23,Total volume of significant spills (kL),5.99,45,10,13,232,0,,,,
24,"Monetary value of significant fines (>US$10,000) (A$)",0,0,0,0,0,0,,,,
25,% of spills recovered,0.83,0.75,,,,,,,,
27,Environmental incidents - incident level,,,,,,,,,,
28,GRI 307-1,FY23,FY22,FY21,FY20,FY19,FY18,FY17,,,
29,Extreme (Level V),0,0,0,0,0,0,0,,,
30,Major (Level IV),0,0,0,0,0,0,0,,,
31,Moderate (Level III),1,1,4,8,9,7,9,,,
32,Minor (Level II),21,15,18,,,,,,,
33,Very Minor (Level I),100,121,123,,,,,,,
