Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
0,"Materials, Tailings & Waste",,,,,,,,,,,,,,,,,
2,Production,,,,,,,,,FY23,,,,,,,,
3,GRI 301-1,FY23,FY22,FY21,FY20,FY19,FY18,FY17,,Cowal,Red Lake,Mungari,Mt Rawdon,Ernest Henry,,,,
4,Total Ore processed (tonnes) (1),20654948,21747890.627515,15582910,15065382,14220376,14046053,16022060,,8630001,815178,1895069,3363720,5950980,,,,
5,Total Gold (oz),651155,640273,588391,624133,654312,772729,772874,,276314,120840,135591,53685,64725,,,,
6,Total Copper (tonnes) (2),47348,,,,,,,,,,,,47348,,,,
7,Total Gold Equivalent Ounce (oz) (2) (3),660973.1,,,,,,,,,,,,74543.1,,,,
8,Total Ore mined (tonnes),26294608,22815747.187586,9899583,10736000,12654000,14323000,20894000,,16227877,814085,1768018,2303310,5181318,,,,
9,Total Ore rehandled (tonnes) (2),10461681,,,,,,,,7281667,0,358463,2125049,696502,,,,
10,Total waste mined (tonnes),16530148,27088189.229959,32694503,31563000,37708000,40984000,33128000,,9268867,692632,3620060,2868496,80093,,,,
11,Total material mined (tonnes),42824756,49903936.417544,42594086,42299000,50362000,55307000,54022000,,25496744,1506717,5388078,5171806,5261411,,,,
12,Total material mined (tonnes) (4),42824756,48898682.917544,46655664.11,46277064.78,,,,,25496744,1506717,5388078,5171806,5261411,,,,
13,Total material moved (tonnes) (2) (5),53286437,,,,,,,,32778411,1506717,5746541,7296855,5957913,,,,
14,(1) Includes toll treatment at Ernest Henry and EKJV at Mungari for FY23,,,,,,,,,,,,,,,,,
15,(2) New metric reported in the Annual Sustainability Report for FY23 onwards,,,,,,,,,,,,,,,,,
16,(3) Calculated using standard gold equivalent ounce calculation of Total Copper (tonnes) divided by a calculation of average copper price for the year (A$) divided by gold price for the year (A$),,,,,,,,,,,,,,,,,
17,(4)Adjusted Total Material Mined representing Evolution's current asset portfolio.,,,,,,,,,,,,,,,,,
18,"(5) Includes Total Material Mined, Total Ore rehandled, toll treatment at Ernest Henry and 100% EKJV at Mungari",,,,,,,,,,,,,,,,,
