Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,People,,,,,,,,,,,,,,
2,"Employment type, contract, gender and region",,,,,,,,FY23,,,,,,
3,GRI 102-8,FY23,FY22,FY21,FY20,FY19,FY18,,Corporate,Cowal,Red Lake,Mungari,Mt Rawdon,Ernest Henry,
4,Total Contractors,934,991,704,554,576,-,,5,100,160,435,25,209,
5,Total Employees (excludes Labour Hire),2729,2689,1977,1448,1342,1263,,155,478,764,543,175,614,
6,Total Employees Male,2225,2178,1583,1209,1144,1097,,93,395,601,440,149,547,
7,Total Employees Female,504,511,394,239,198,166,,62,83,163,103,26,67,
8,Total Permanent Full time,2579,2512,1846,1356,1267,-,,141,454,720,505,167,592,
9,Permanent Male,2148,2091,1522,1154,1101,-,,90,380,588,414,145,531,
10,Permanent Female,431,421,324,202,166,-,,51,74,132,91,22,61,
11,Total Part time,17,25,25,17,12,-,,5,5,0,4,1,2,
12,Part time Male,3,1,2,1,1,-,,0,1,0,0,0,2,
13,Part time Female,14,24,23,16,11,-,,5,4,0,4,1,0,
14,Total Flexible Work (1),4,1,3,-,-,-,,3,1,0,0,0,0,
15,Flexible Work Male,2,1,0,-,-,-,,1,1,0,0,0,0,
16,Flexible Work Female,2,-,3,-,-,-,,2,0,0,0,0,0,
17,Total Fixed Term,92,114,76,50,41,-,,5,17,19,27,4,20,
18,Fixed Term Male,64,74,52,38,30,-,,2,13,11,20,4,14,
19,Fixed Term Female,28,40,24,12,11,-,,3,4,8,7,0,6,
20,Total Casual,37,37,27,25,22,-,,1,1,25,7,3,0,
21,Casual Male,8,11,7,16,12,-,,0,0,2,6,0,0,
22,Casual Female,29,26,20,9,10,-,,1,1,23,1,3,0,
23,Total Labour Hire,62,95,95,-,-,-,,1,0,4,56,1,0,
