Unnamed: 0,Home,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
3,,Customer,See pages 14-17 in the FY23 Annual Report for more detail,,,,,,,,,,,,,
4,,,AUSTRALIA,,,,,,,NEW ZEALAND,,,,,,
5,,,Change from prior year,,FY23,FY22,FY21,FY20,FY19,Change from prior year,,FY23,FY22,FY21,FY20,FY19
6,,CUSTOMER,,,,,,,,,,,,,,
8,,Customer Advocacy Score1,,,,,,,,,,,,,,
9,,Transactional Net Promoter Score2,q,-0.150943,45,53,53,49,43,q,-0.019231,51,52,43,50,46
11,,Customer Complaints,,,,,,,,,,,,,,
12,,Percentage of complaints resolved within 30 days,q,-0.010532,0.9489,0.959,N/R,N/R,N/R,,,N/R,N/R,N/R,N/R,N/R
16,,Footnotes to data,,,,,,,,,,,,,,
17,,1. Refer to the 'Definitions' tab for more detail on the customer advocacy score.,,,,,,,,,,,,,,
18,,"2. 12-month weighted average score for the following IAG Australian brands: NRMA Insurance, CGU, Coles, RACV, SGIO, SGIC, WFI, Swann Insurance & Lumley Special Vehicles; and New Zealand brands: AMI, State and NAC.",,,,,,,,,,,,,,
