Unnamed: 0,Home,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48
3,,Environment,See pages 28-32 in the FY23 Annual Report for more detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,AUSTRALIA,,,,,,,,NEW ZEALAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,Units,Change from prior year,,FY23,FY22,FY21,FY20,FY19,Change from prior year,,FY23,FY22,FY21,FY20,FY19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,EMISSIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,Scope 1 GHG emissions,tCO2e,p,0.090522,4290.1135847000005,3934,4563,5721,7121,p,0.419284,1327.0302,935,1037,1030,1236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,Scope 2 GHG emissions1,tCO2e,q,-0.124286,9244.039999999999,10556,12013,14025,17397,p,0.396266,484.50419999999997,347,445,537,702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,Scope 3 GHG emissions2,tCO2e,p,0.163698,8623,7410,3994,8431,17684,p,0.466693,2138.4389,1458,558,3175,4036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,Total GHG emissions,tCO2e,p,0.011742,22157.153584699998,21900,20570,28177,42202,p,0.441596,3949.9733,2740,2040,4743,5975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,Emissions Key Performance Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,GHG emissions - total,tCO2e / FTE,p,0.060033,2.8620896952438764,2.7,2.6,3.6,5.8,p,0.350959,1.0807668845315903,0.8,0.6,1.5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,GHG emissions - scope 1 & 2,tCO2e / FTE,q,-0.019655,1.7482372616384207,1.7832874948041295,2.0779872006217923,2.6650569611048933,3.3647108147154983,p,0.3577,0.49566066426570615,0.3650736697023026,0.44992019381177584,0.518677092065184,0.633009071333557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,ELECTRICITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,Emissions Ã¢ÂÂ Scope 2,tCO2e,q,-0.124286,9244.039999999999,10556,12013,14025,17397,p,0.396266,484.50419999999997,347,445,537,702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,Emissions Ã¢ÂÂ Scope 3 (Transmission & Distribution losses),tCO2e,q,-0.231262,798.7193000000002,1039,1340,1450,1805,p,0.48256,44.476800000000004,30,36,41,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,Electricity usage,MWh,q,-0.023443,11717.71216229999,11999,13377,15380,18297,p,0.191917,4034.6373747,3385,4477,5501,6081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,Electricity usage / FTE (Key Performance Indicator),kWh / FTE,p,0.01473,1.5018009958807745,1.48,1.67,1.99,2.53,p,0.149929,1.1039321368752626,0.96,1.3,1.74,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,Onsite energy generation (solar),MWh,p,0.090375,91.99168800000001,84.367,64.18310000000001,N/R,N/R,p,4.528927,119.46740000000001,21.6077,N/R,N/R,N/R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,BUSINESS TRAVEL - FLEET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,Emissions Ã¢ÂÂ Scope 1,tCO2e,p,0.098681,3997.0028000000007,3638,4310,5467,6837,p,0.090318,824.2802,756,983,1030,1236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,Emissions Ã¢ÂÂ Scope 3 (Transmission & Distribution losses),tCO2e,p,4.265807,989.9717999999998,188,223,284,357,p,4.24165,209.666,40,52,55,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,Fuel usage,Kilolitres,p,0.095929,1537.58837,1403,1678,2165,2785,p,0.089998,356.42949,327,425,445,534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,Fleet Vehicles,Total No.,q,-0.087361,982,1076,1086,1205,1309,p,0.039526,263,253,277,324,318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
