Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83
ENVIRONMENT,,,,,,,,,,,,SOCIAL ,,,,,,,COMMUNITY,,,AUD NZD FX Rate Jun 30 2023 [Google Finance],1.1057,,,Average FTE for KPIs,,,,,,,Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,GBPEUR,1.1057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUSTRALIA,,,,,,NEW ZEALAND,,,,,,AUSTRALIA,,,NEW ZEALAND,,,,AUSTRALIA,,,NEW ZEALAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AUSTRALIA,,,NEW ZEALAND,,,,,,,,,,,,,,,,,,,,,,,
Country,Australia,,,,,Country,New Zealand,,,,,Country,Australia,,Country,New Zealand,,,Country,Australia,,Country,New Zealand,,,,,,,,,,Country,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Year,FY23,,,,,Financial Year,FY23,,,,,Item Number,AU - Headcount,,Item Number,NZ - Headcount,,,Financial Year,FY23,,Financial Year,FY23,,,,,,,,,,Item Number,(All),,,,,,,,,,,,,,,,,,,,,,,Country,Australia,,Country,New Zealand,,,,,,,,,,,,,,,,,,,,,,
Item Number,(Multiple Items),,,,,Item Number,(All),,,,,Financial Year,FY23,,Financial Year,FY23,,,Quarter,(All),,Quarter,(All),,,Country,Australia,,Country,New Zealand,,,Data Type,Electricity [kWh],,,,,,,,,,,,,,,,,,,,,,,Financial Year,FY23,,Financial Year,FY23,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Quarter,Q4,,Quarter,Q4,,,Month,(All),,Month,(All),,,Financial Year,FY23,,Financial Year,FY23,,,,,,,,,,,,,,,,,,,,,,Option 1,,,,,Quarter,(All),,Quarter,(All),,,,,,,,,,,,,,,,,,,,,,
Row Labels,Sum of Scope 1 CO2e(t),Sum of Scope 2 CO2e(t),Sum of Scope 3 CO2e(t),Sum of Total CO2e(t),,Row Labels,Sum of Scope 1 CO2e(t),Sum of Scope 2 CO2e(t),Sum of Scope 3 CO2e(t),Sum of Total CO2e(t),,Month,Jun,,Month,Jun,,,,,,,,,,Quarter,(All),,Quarter,(All),,,Sum of Total Data,,,,,,,,,,,,,,,,,,,,,,,,Month,(All),,Month,(All),,,,,,,,,,,,,,,,,,,,,,
Business flights [pkm],,,3276.3071,3276.3071,,Business flights [pkm],,,935.9165999999999,935.9165999999999,,,,,,,,,Row Labels,Sum of Total Data,,Row Labels,Sum of Total Data,,,,,,,,,,Units,Financial Year,Quarter,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Country,Australia,,,,,
