Unnamed: 0,Climate Change,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
,,,,,,,,,,,,,,,,,,,
,Green energy assets at year end measured using 100% of generating capacity for assets managed / owned (including partially) by Macquarie (GW)(1)(2),FY23,FY22,FY21,,,,,,,,,,,,,,,
,In development,95,30,30,,Legend,,,,,,,,,,,,,
,Under construction,2,1,1,,NR = not reported due to data availability,,,,,,,,,,,,,
,Currently operating,14,16,14,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,"Invested, committed or arranged in green energy assets in the year ($Ab)(1)(3)",FY23,FY22,FY21,,,,,,,,,,,,,,,
,,2.2,2.3,3.1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Exposure at Default ($Ab)(4)(5),FY23,FY22,FY21,,,,,,,,,,,,,,,
,Coal(6)(7),NR,0.1,NR,,,,,,,,,,,,,,,
,Oil/gas(8),NR,1.2,NR,,,,,,,,,,,,,,,
,Motor Vehicles,NR,8.1,NR,,,,,,,,,,,,,,,
,Residential mortgages,NR,108.7,NR,,,,,,,,,,,,,,,
,Power and Utilities(9),NR,4.5,NR,,,,,,,,,,,,,,,
,Other(10),NR,44.5,NR,,,,,,,,,,,,,,,
,Total,NR,167.1,NR,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Baseline emissions and interim targets,"FY20 absolute emissions (Scope 1, 2) 
(MtCO2e)","FY20 absolute emissions (Scope 1, 2, 3)
(MtCO2e)","FY20 physical emissions intensity (Scope 1, 2) (gCO2e/MJ)","FY20 physical emissions intensity (Scope 1, 2, 3)
(gCO2e/MJ)","2030 physical emissions target (Scope 1, 2, 3)
(gCO2e/MJ)",,,,,,,,,,,,,
,Oil/gas (upstream)(12),0.51,3.88,8.3,66.2,56.3-59.6 (10-15% reduction),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Baseline emissions and interim targets,"FY20 absolute emissions (Scope 1, 2) 
(Mt CO2e)","FY20 physical emissions intensity (Scope 1, 2) (gCO2e/km)","2030 physical emissions target (Scope 1, 2) (gCO2e/km)",,,,,,,,,,,,,,,
,Motor vehicles(12),0.86,221,147 (34% reduction),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Baseline emissions and interim targets,"FY20 absolute emissions (Scope 1, 2) 
(MtCO2e)","FY20 absolute emissions (Scope 1, 2, 3)
(MtCO2e)","FY20 physical emissions intensity (Scope 1, 2) (gCO2e/MJ)","FY20 physical emissions intensity (Scope 1, 2, 3)
(gCO2e/MJ)","2024 absolute emissions target (Scope 1, 2, 3)
(MtCO2e)",,,,,,,,,,,,,
,Coal mining(7)(11)(12),0.14,4.83,2.7,93.7,0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Footnotes:,,,,,,,,,,,,,,,,,,
,"(1) PwC has provided limited assurance over this metric for the FY2023 reporting period as detailed in the PwC independent assurance report available within Macquarie’s FY2023 Basis of Preparation for ESG Reporting. This also sets out the reporting boundaries,",,,,,,,,,,,,,,,,,,
,     definitions and measurement methodologies for the assured metrics.,,,,,,,,,,,,,,,,,,
,"(2) On our balance sheet or under Macquarie management. Excludes lending and private credit funds. GW of green energy assets reflect 100% generating capacity of each asset, not the proportion owned/managed by Macquarie. Refer to the ESG Basis of Preparation for ESG Reporting for the definition of ‘green energy assets’.",,,,,,,,,,,,,,,,,,
,(3) On our balance sheet or under Macquarie management. Refer to the Basis of Preparation for ESG Reporting for the definition of ‘green energy assets’.,,,,,,,,,,,,,,,,,,
,"(4) Includes on‑balance sheet lending and equity investments for all sectors. In addition, for motor vehicles, it includes novated leases. ",,,,,,,,,,,,,,,,,,
,      FY2022 data was first disclosed in the 2022 Net Zero and Climate Risk Report. FY2023 data will be included in our 2023 Net Zero and Climate Risk Report to be released by the end of this year.,,,,,,,,,,,,,,,,,,
,      PwC has provided limited assurance over the FY2022 data. Refer to Macquarie's 2022 Net Zero and Climate Risk Report available at macquarie.com/esg. ,,,,,,,,,,,,,,,,,,
,(5) This data was first collected in FY22. FY23 data will be included in our 2023 Net Zero and Climate Risk Report to be released by the end of this year.,,,,,,,,,,,,,,,,,,
,(6) Includes coal mining and small exposure to coal‑fired power generation.,,,,,,,,,,,,,,,,,,
,"(7) Given computational challenges associated with revenue shares (particularly in a world of high and volatile coal prices), we define a coal company as one that derives the majority (i.e., more than 50%) of its revenue from coal (both thermal and metallurgical) production, mine ownership or operation, or coal‑fired power station ",,,,,,,,,,,,,,,,,,
,"      ownership or operation. We acknowledge that the 50% threshold is not in line with the NZBA Guidelines, which define a coal company as one that derives more than 5% of revenues directly from thermal coal. However, Macquarie has committed not to enter into new business activity with any counterparty where the ",,,,,,,,,,,,,,,,,,
,"      underlying purpose is to fund the purchase, development or expansion of a coal mine or coal‑fired power station.",,,,,,,,,,,,,,,,,,
,"(8) Oil/gas includes upstream, midstream, and downstream segments of the value chain. Note, only upstream is included in the interim targets released in 2022.",,,,,,,,,,,,,,,,,,
,"(9) Covers exposure to both renewable and conventional power generation, and excludes a small exposure to coal‑fired power generation. It also includes exposure to utilities clients, most of which relate to power.",,,,,,,,,,,,,,,,,,
,"(10) This primarily includes exposure to non‑carbon‑intensive sectors, e.g., financial and professional services. It also includes exposure to the shipping, commercial property and metals mining sectors.",,,,,,,,,,,,,,,,,,
,"(11) Our coal target is based on our pre‑existing commitment to run‑off our limited remaining on‑balance sheet lending and equity exposure to coal companies (inclusive of both coal mining and coal‑fired power generation, and covering both metallurgical and thermal coal) by the end of 2024.",,,,,,,,,,,,,,,,,,
,        This target does not include any emissions associated with potential projects that will significantly reduce GHG emissions in line with science based scenarios or are for the purpose of diversifying away from the coal sector in line with a credible transition plan.,,,,,,,,,,,,,,,,,,
,"(12) In line with the Net Zero Banking Alliance (NZBA) Guidelines, these commitments relate to our on-balance sheet lending and equity investment activities. This refers to on-balance sheet lending and equity investment activities, excluding on-balance sheet securities held for client facilitation and market making purposes (as opposed to held for investment). ",,,,,,,,,,,,,,,,,,
,"        Lending refers to loan assets held at amortised cost and excludes certain items such as leasing, asset finance, trading assets and short term financing (e.g. inventory finance). For motor vehicles, we have also included novated leases, given availability of both methodology and data. More details are set out in the 2022 Net Zero and Climate Risk Report",,,,,,,,,,,,,,,,,,
,"        available on macquarie.com/esg. Detailed analysis is now underway to assess the emissions associated with the residential mortgage and power generation sectors and, data allowing, these sectors will be included in our 2023 Net Zero and Climate Risk Report to be released by the end of this year.",,,,,,,,,,,,,,,,,,
