Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
4,,CONTENTS,,,,,AIR QUALITY,,,,,,,,,,,,,,
7,,,,,,,"MinRes reports our emissions of listed substances annually to the National Pollutant Inventory (NPI) for facilities that meet the relevant reporting thresholds. These are estimated using the approaches defined in the NPI Emissions Estimation Technique (EET) manuals, with most calculations undertaken using emission factors.",,,,,,,,,,,,,,
10,,,,,,,Our air quality performance metrics are detailed below.,,,,,,,,,,,,,,
13,,,,,,,"GRI 305-7 & GRI G4 - MM3 EN21 | Nitrogen oxides (NOX), sulfur oxides (SOX), and other significant air emissions",,,,,,,,,,,,,,
14,,,,,,,SASB | EM-MM-120a.1. Air quality,,,,,,,,,,,,,,
15,,,,,,,Table 1: Air quality emissions,,,,,,,,,,,,,,
16,,,,,,,Operation,Air Total Emissions1 (Tonnes),FY17,FY18,FY19,FY20,FY21,FY22,FY232,Trend from FY22,,,,,
17,,,,,,,MinRes (Total)3,,,,,,,,,,,,,,
18,,,,,,,,Carbon monoxide,747.964716512474,1023.9849452597132,921.7251917623199,1598.793702276022,1910.0093326082726,1584.444272195105,1412.7556,-0.10835892130005041,,,,,
19,,,,,,,,Lead and compounds,0.24002075694893338,0.5533206623537399,0.705963969642192,0.7921280401708707,0.7785559159630602,0.851157351668297,0.9353,0.09885674859857654,,,,,
20,,,,,,,,Mercury and compounds,0.0021184255551337716,0.0028713129365287907,0.002986971233825105,0.0055246740925054315,0.004680275237203437,0.004890900451889321,0.004200000000000001,-0.1412624236959128,,,,,
