Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,CONTENTS,,,,,ENERGY CONSUMPTION,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"Energy is a critical input for our business operations and makes a significant contribution to our operational scope 1 and 2 greenhouse gas emissions. Currently, diesel makes up the majority of our energy mix, however, we are actively exploring innovative ways to reduce our energy consumption and transition towards more sustainable energy sources to minimise our environmental impact.",,,,,,,,,,,,,,,,,,
,,,,,,Our energy performance metrics are detailed below.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,GRI 302-1 | Energy consumption within the organisation ,,,,,,,,,,,,,,,,,,
,,,,,,"SASB | EM-MM-130a.1. Energy management
",,,,,,,,,,,,,,,,,,
,,,,,,Table 1: Total energy consumption,,,,,,,,,,,,,,,,,,
,,,,,,,,                     FY18,,FY19,,FY20,,FY21,,FY22,,FY23 2,,Trend from FY22,,% Total energy consumption,,
,,,,,,,,GJ,MWh,GJ,MWh,GJ,MWh,GJ,MWh,GJ,MWh,GJ,MWh,GJ,MWh,,,
,,,,,,Non-renewable fuel consumption ,,,,,,,,,,,,,,,,,,
,,,,,,Natural gas1,,149274,41465,233215,64781.944444444445,236596,65721.11111111111,0,0,39,10.833333333333334,1050.67,291.8527777777778,25.940256410256413,25.940256410256413,0.00018969847090202196,,
,,,,,,"Diesel fuel - non-transport (excavators, cranes, forklifts)",,1980188,550052.2222222222,2055943,571095.2777777778,2338113,649475.8333333334,3545755,984931.9444444444,3805466,1057073.8888888888,4223573.375029202,1173214.8263970003,0.10987021695350888,0.10987021695350892,0.7625661825173762,,
,,,,,,Diesel fuel - electricity generation,,129678,36021.666666666664,136119,37810.833333333336,142958,39710.555555555555,216864,60240,316672,87964.44444444444,409704.9059665222,113806.91832403393,0.2937831761776291,0.29378317617762917,0.07397222170891521,,
,,,,,,Diesel fuel - transport,,475161,131989.16666666666,422880,117466.66666666666,293288,81468.88888888889,208258,57849.444444444445,290361,80655.83333333333,380739.28435564484,105760.91232101245,0.31126178913712527,0.3112617891371253,0.06874247866085065,,
,,,,,,LNG,,329367,91490.83333333333,429662,119350.55555555555,364018,101116.11111111111,327603,91000.83333333333,328407,91224.16666666667,391102.866,108639.685,0.1909090427426942,0.19090904274269418,0.070613623350432,,
