Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,CONTENTS,,,,,GREENHOUSE GAS EMISSIONS,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,Our greenhouse gas (GHG) emissions are directly related to our energy use and growth of our operations. MinRes calculates its direct (Scope 1) and energy indirect (Scope 2) GHG emissions for entities under its operational control in alignment with the GHG Protocol and the Australian National Greenhouse and Energy Reporting Act 2007. ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,Our GHG emissions performance metrics are detailed below.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,GRI 305-1 | Direct (Scope 1) GHG emissions,,,,,,,,,,,,,,,
,,,,,,GRI 305-2 | Energy indirect (Scope 2) GHG emissions,,,,,,,,,,,,,,,
,,,,,,SASB | EM-MM-110a.1. Greenhouse Gas,,,,,,,,,,,,,,,
,,,,,,Table 1: Scope 1 and 2 greenhouse gas emissions1 2,,,,,,,,,,,,,,,
,,,,,,,FY18,FY19,FY20,FY21,FY22,FY23,% of total emissions FY23,Trend from FY22,,Conversion factors,,,,,
,,,,,,Scope 1 emissions (tCO2e),215726,195034,222978,296343,337489,373461.2226740013,0.9907411735185534,0.10658783745248378,,GJ,277.78,kWh,,,
,,,,,,Scope 2 emissions (tCO2e),2222,2371,1917,1993,3026,3490.1271398737335,0.009258826481446564,0.1533797554110157,,KWh,0.0036,GJ,,,
,,,,,,Total ,217948,197405,224895,298336,340515,376951.34981387504,1,0.10700365567999955,,MWh,3.6,GJ,,,
,,,,,,1 MinRes scope 1 and scope 2 emissions only occur in Australia and are generated from metals and mining production activities. ,,,,,,,,,,,,,,,
,,,,,,2 External assurance has been obtained over scope 1 and scope 2 emissions. Refer to page 181 of the 2023 Sustainability Report for a copy of the Independent Limited Assurance Statement.,,,,,,,,,,,,,,,
,,,,,,Note: emissions are not inclusive of Wodgina in accordance with the Clean Energy Regulations and our JV arrangement.,,,,,,,,,,,,,,,
,,,,,,"We use emission factors disclosed in the Australian National Greenhouse and Energy Reporting (Measurement) Determination, 2008 made under subsection 10(3) of the National Greenhouse and Energy Reporting (NGER) Act 2007. The emission factors applied are for metric tonnes of carbon dioxide equivalent, including the greenhouse gases CO2, CH4 and N2O.",,,,,,,,,,,,,,,
