Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
176,,,,,,,,,,Sustainability Performance Data Tables - Diversity,2023 Sustainability Performance Data Tables - Diversity,,
177,,,,,,,,405-2,Ratio of basic salary and remuneration of women and men,,,Information unavailable/incomplete,MinRes will work on enhancing disclosures year-on-year to increase our alignment with the framework.
178,,,,,,,MinRes specific topic indicator,,Gender balance per MinRes occupational categories,Sustainability Report Ã¢ÂÂ Diversity and Inclusion - Our Diversity and Inclusion Performance,2023 Sustainability Report (page 104-106),,
179,,,,,,,,,,Sustainability Performance Data Tables - Diversity,2023 Sustainability Performance Data Tables - Diversity,,
181,,,,,,,Material Topic: Managing land access & cultural heritage,,,,,,
182,,,,,,,GRI 3: Material Topics 2021: Disclosures on material topics,3-3,Management of material topics,Sustainability Report - Land Access and Cultural Heritage,2023 Sustainability Report (page 108-117),,
183,,,,,,,GRI 203 Indirect economic impacts 2016,203-1,Infrastructure investments and services supported,Sustainability Report - Managing Land Access & Cultural Heritage - Our Approach to Indigenous Engagement,2023 Sustainability Report (page 114-116),Information unavailable/incomplete,MinRes does not currently report against all criteria of GRI 203-1. MinRes will work on enhancing disclosures year-on-year to increase our alignment with the framework.
184,,,,,,,,,,Sustainability Report - Economic Performance and Value Creation - Financial and Operational,2023 Sustainability Report (page 52),,
185,,,,,,,,,,Sustainability Performance Data Tables - Economic Performance,2023 Sustainability Performance Data Tables - Economic Performance,,
186,,,,,,,,203-2,Significant indirect economic impacts,Sustainability Report - Community and Stakeholder Relationships - Our Social Investment Program,2023 Sustainability Report (page 119-121),Information unavailable/incomplete,MinRes does not currently report against all criteria of GRI 203-2. MinRes will work on enhancing disclosures year-on-year to increase our alignment with the framework.
187,,,,,,,GRI 411: Rights of Indigenous Peoples,411-1,Incidents or violations involving the rights of Indigenous Peoples,Sustainability Performance Data Tables - Cultural Heritage,2023 Sustainability Performance Data Tables - Cultural Heritage,,
189,,,,,,,Material Topic: Community & stakeholder relationships,,,,,,
190,,,,,,,GRI 3: Material Topics 2021: Disclosures on material topics,3-3,Management of material topics,Sustainability Report - Community and Stakeholder Relationships,2023 Sustainability Report (page 118-121),,
191,,,,,,,GRI 413: Local communities 2016,413-1,"Operations with local community engagement, impact assessments, and development programs",Sustainability Report - Community and Stakeholder Relationships - Managing Our Relationships with Communities and Stakeholders,2023 Sustainability Report (page 120-121),Information unavailable/incomplete,MinRes will work on enhancing disclosures year-on-year to increase our alignment with the framework.
192,,,,,,,,413-2,Operations with significant actual and potential negative impacts on Local communities,,,Information unavailable/incomplete,MinRes will work on enhancing disclosures year-on-year to increase our alignment with the framework.
193,,,,,,,GRI 415: Public Policy,415-1,Political contributions,Sustainability Performance Data Tables - Ethics & Integrity,2023 Sustainability Performance Data Tables - Ethics & Integrity,,
194,,,,,,,MinRes specific topic indicators,,MinRes community donations,Sustainability Report Ã¢ÂÂ Community and Stakeholder Relationships - Our Social Investment Program,2023 Sustainability Report (page 119-121),,
195,,,,,,,,,,Sustainability Performance Data Tables - Economic Performance,2023 Sustainability Performance Data Tables - Economic Performance,,
198,,,,,,,ENVIRONMENT,,,,,,
200,,,,,,,Material Topic: Managing environmental impacts,,,,,,
201,,,,,,,GRI 3: Material Topics 2021: Disclosures on material topics,3-3,Management of material topics,Sustainability Report Ã¢ÂÂ Environment,2023 Sustainability Report (page 126-159),,
202,,,,,,,GRI 305: Emissions 2016,305-7,"Nitrogen oxides (NOX), sulfur oxides (SOX), and other significant air emissions",Sustainability Report Ã¢ÂÂ Environment - Air Quality,2023 Sustainability Report (page 127-128),,
203,,,,,,,,,,Sustainability Performance Data Tables - Air Quality,2023 Sustainability Performance Data Tables - Air Quality,,
204,,,,,,,GRI G4 MM: Emissions,G4-EN21,"NOX, SOX and other significant air emissions",Sustainability Report Ã¢ÂÂ Environment - Air Quality,2023 Sustainability Report (page 127-128),,
205,,,,,,,,,,Sustainability Performance Data Tables - Air Quality,2023 Sustainability Performance Data Tables - Air Quality,,
206,,,,,,,GRI 303: Water and Effluents 2018,303-01,Interactions with water as a shared resource,Sustainability Report - Environment - Water Stewardship,2023 Sustainability Report (page 128-136),Information unavailable/incomplete,MinRes does not currently report against GRI 303-01 d. MinRes will work on enhancing disclosures year-on-year to increase our alignment with the framework.
207,,,,,,,,303-02,Management of water discharge-related impacts,Sustainability Report - Environment - Water Stewardship,2023 Sustainability Report (page 128-136),,
208,,,,,,,,,,Sustainability Performance Data Tables - Water,2023 Sustainability Performance Data Tables - Water,,
209,,,,,,,,303-3,Water withdrawal,Sustainability Report - Environment - Water Stewardship,2023 Sustainability Report (page 128-136),,
210,,,,,,,,,,Sustainability Performance Data Tables - Water,2023 Sustainability Performance Data Tables - Water,,
211,,,,,,,,303-4,Water discharge,Sustainability Report - Environment - Water Stewardship,2023 Sustainability Report (page 128-136),,
212,,,,,,,,,,Sustainability Performance Data Tables - Water,2023 Sustainability Performance Data Tables - Water,,
213,,,,,,,GRI 304: Biodiversity,304-1,"Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",Sustainability Report Ã¢ÂÂ Environment - Biodiversity,2023 Sustainability Report (page 147-154),,
214,,,,,,,,,,Sustainability Performance Data Tables - Biodiversity & Land Management,2023 Sustainability Performance Data Tables - Biodiversity & Land Management,,
215,,,,,,,,304-2,"Significant impacts of activities, products, and services on biodiversity",Sustainability Report Ã¢ÂÂ Environment - Biodiversity,2023 Sustainability Report (page 147-154),Information unavailable/incomplete,MinRes will work on enhancing disclosures year-on-year to increase our alignment with the framework.
216,,,,,,,,,,Sustainability Performance Data Tables - Biodiversity & Land Management,2023 Sustainability Performance Data Tables - Biodiversity & Land Management,,
217,,,,,,,,304-3,Habitats protected or restored,Sustainability Report Ã¢ÂÂ Environment - Biodiversity,2023 Sustainability Report (page 147-154),Information unavailable/incomplete,MinRes will work on enhancing disclosures year-on-year to increase our alignment with the framework.
218,,,,,,,,304-4,IUCN Red List species and national conservation list species with habitats in areas affected by operations,Sustainability Report Ã¢ÂÂ Environment - Our Biodiversity Performance,2023 Sustainability Report (page 153-154),,
219,,,,,,,,,,Sustainability Performance Data Tables - Biodiversity & Land Management,2023 Sustainability Performance Data Tables - Biodiversity & Land Management,,
220,,,,,,,GRI G4 MM: Biodiversity,MM1,"Amount of land (owned or leased, and managed for production activities or extractive use) disturbed or rehabilitated",Sustainability Report Ã¢ÂÂ Environment - Land Management and Rehabilitation,2023 Sustainability Report (page 154-157),,
221,,,,,,,,,,Sustainability Performance Data Tables - Biodiversity & Land Management,2023 Sustainability Performance Data Tables - Biodiversity & Land Management,,
222,,,,,,,GRI 306: Waste 2020,306-1,Waste generation and significant waste-related impacts,Sustainability Report - Environment - Non-Mineral Waste,2023 Sustainability Report (page 137-139),,
223,,,,,,,,,,Sustainability Performance Data Tables - Waste & Tailings,2023 Sustainability Performance Data Tables - Waste & Tailings,,
224,,,,,,,,306-2,Management of significant waste-related impacts,Sustainability Report - Environment - Non-Mineral Waste,2023 Sustainability Report (page 137-139),,
225,,,,,,,,306-3,Waste generated,Sustainability Report - Environment - Non-Mineral Waste,2023 Sustainability Report (page 137-139),,
226,,,,,,,,,,Sustainability Performance Data Tables - Waste & Tailings,2023 Sustainability Performance Data Tables - Waste & Tailings,,
227,,,,,,,,306-4,Waste diverted from disposal,Sustainability Report - Environment - Non-Mineral Waste,2023 Sustainability Report (page 137-139),,
228,,,,,,,,,,Sustainability Performance Data Tables - Waste & Tailings,2023 Sustainability Performance Data Tables - Waste & Tailings,,
229,,,,,,,,306-5,Waste directed to disposal,Sustainability Report - Environment - Non-Mineral Waste,2023 Sustainability Report (page 137-139),,
230,,,,,,,,,,Sustainability Performance Data Tables - Waste & Tailings,2023 Sustainability Performance Data Tables - Waste & Tailings,,
231,,,,,,,GRI G4 MM: Effluents and waste,G4-EN23,Total weight of waste by type and disposal method,Sustainability Report - Environment - Our Non-Mineral Waste Performance,2023 Sustainability Report (page 137-139),,
232,,,,,,,,,,Sustainability Performance Data Tables - Waste & Tailings,2023 Sustainability Performance Data Tables - Waste & Tailings,,
233,,,,,,,,MM3,"Total amount of overburden, rock, tailings, and sludges and their associated risks",Sustainability Report - Environment - Tailings and Mining Waste,2023 Sustainability Report (page 139-147),,
234,,,,,,,,,,Sustainability Performance Data Tables - Waste & Tailings,2023 Sustainability Performance Data Tables - Waste & Tailings,,
235,,,,,,,GRI G4 - MM: Artisanal and Small-scale Mining,MM8,"Number (and percentage) of company operating sites where artisanal and small-scale mining takes place on, or adjacent to, the site; the associated risks and the actions taken to manage and mitigate these risks",Sustainability Performance Data Tables - Waste & Tailings,2023 Sustainability Performance Data Tables - Waste & Tailings,,
236,,,,,,,,,,"MinRes has 0 operations (0%) where artisanal and small scale mining (ASM) takes place on, or adjacent to the site",,,
238,,,,,,,Material Topic: Climate change,,,,,,
239,,,,,,,GRI 3: Material Topics 2021: Disclosures on material topics,3-3,Management of material topics,Sustainability Report Ã¢ÂÂ Climate Change,2023 Sustainability Report (page 160-174),,
240,,,,,,,GRI 201: Economic Performance,201-2,Financial implications and other risks and opportunities due to climate change,Sustainability Report Ã¢ÂÂ Climate Change - Our Climate-Related Risks and Opportunities,2023 Sustainability Report (page 172-174),,
241,,,,,,,GRI 302: Energy 2016,302-1,Energy consumption within the organisation,Sustainability Report Ã¢ÂÂ Climate Change - Our Climate-Related Risks and Opportunities,2023 Sustainability Report (page 172-174),,
242,,,,,,,,,,Sustainability Performance Data Tables - Energy Consumption,2023 Sustainability Performance Data Tables - Energy Consumption,,
243,,,,,,,,302-3,Energy intensity,,,Information unavailable/incomplete,MinRes will work on enhancing disclosures year-on-year to increase our alignment with the framework.
244,,,,,,,,302-4,Reduction of energy consumption,,,Information unavailable/incomplete,MinRes will work on enhancing disclosures year-on-year to increase our alignment with the framework.
