Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,CONTENTS,,,,,TAILINGS FACILITY REGISTER,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,"MinRes' mining operations generate mining-related waste, including tailings and waste rock. Tailings are a by-product of the mining process, consisting of fine-grained processed rock or soil left over from the separation of the commodities of value from the ore within which they occur.

Tailings management is a critical part of managing the risks of the waste produced from the mining process. These risks can range from potential consequences of a Tailings Storage Facility (TSF) failure through to groundwater impact due to seepage. 

MinRes prioritises the safety of a TSF through all phases of the life cycle with consideration of many factors through project conception, planning, design, construction, operation, closure and post closure. We are committed to operating in line with the 15 principles and 77 requirements set out by the Global Industry Standard on Tailings Management (GISTM) published by the International Council on Mining and Metals (ICMM), the United Nations Environment Program (UNEP), and the Principles for Responsible Investment (PRI). 

See our Tailings Facility Register below.",,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,Table 1: Tailings Storage Facility Register,,,,,,,,,
,,,,,,Tailings Dam Name/identifier,Coobina TSF 1,Wodgina TSF1,Wodgina TSF2,Wodgina - TSF3,Wodgina - TSF3E,Wodgina - Atlas in-pit TSF,Mt Marion - Ghost Crab in-pit TSF,Koolyanobbing - In-pit TSF,
,,,,,,Country ,Australia,Australia,Australia,Australia,Australia,Australia,Australia,Australia,
,,,,,,Mine ,Coobina Chromite Mine,Wodgina,Wodgina,Wodgina,Wodgina,Wodgina,Mt Marion,Albemarle’s Lithium Process Plant ,
,,,,,,Location,"-23.504
120.274","  -21.18138
  118.67333","  -21.18083
  118.67944","  -21.187777
  118.663888","  -21.1841528
  118.6648972","  -21.121580
  118.393377","  -31.08083
  121.4325","-30.843
119.550",
,,,,,,Ownership ,Pilbara Chromite Pty Ltd,MARBL Lithium Operations Pty Ltd,MARBL Lithium Operations Pty Ltd,MARBL Lithium Operations Pty Ltd,MARBL Lithium Operations Pty Ltd,MARBL Lithium Operations Pty Ltd,Reed Industrial Minerals Pty Ltd,Yilgarn Iron Ore Pty Ltd,
,,,,,,Status ,Care and maintenance,Decommissioned,Decommissioned,Decommissioned,Active ,Active ,Active ,Active ,
,,,,,,Date of initial operation ,2008,Unknown ,1999,1993,1905-07-11 00:00:00,1905-07-15 00:00:00,1905-07-08 00:00:00,2003,
,,,,,,Dam currently operated or closed as per currently approved design ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
,,,,,,Raising method ,None,Landform,Landform,Landform,Landform,In-pit,In-pit ,Filtered tailings with controlled compaction,
,,,,,,Current Maximum Height (m),3.5,Unknown ,Unknown ,27,16,N/A (54 depth),N/A (37 depth),N/A (42 depth),
,,,,,,Current Tailings Storage Impoundment Volume (m3),Unknown,Unknown ,Unknown ,10380365,2000000,3850000,7500000,350000,
,,,,,,Planned Tailings Storage Impoundment Volume in 5 years' time (m3),Unknown,Unknown,Unknown,10380365,2000000,3850000,7500000,350000,
,,,,,,Most recent Independent Expert Review,Unknown,2022-08-01 00:00:00,2022-08-01 00:00:00,2022-08-01 00:00:00,2022-08-01 00:00:00,N/A (Planned),2022-12-01 00:00:00,N/A (Planned),
,,,,,,"Do you have full and complete relevant engineering records including design, construction, operation, maintenance and/or closure?",Yes,No,No,No,Yes,Yes,Yes,Yes,
,,,,,,"What is your hazard categorisation of this facility, based on consequence of failure?",Low Hazard Rating (DMIRS),Low Hazard Rating (DMIRS),Low Hazard Rating (DMIRS),Low Hazard Rating (DMIRS),High Hazard Rating (DMIRS),Low Hazard Rating (DMIRS),Low Hazard Rating (DMIRS),Low Hazard Rating (DMIRS),
,,,,,,What guideline do you follow for the classification system? ,DMIRS,DMIRS,DMIRS,DMIRS,DMIRS,DMIRS,DMIRS,DMIRS,
,,,,,,"Has this facility, at any point in its history, failed to be confirmed or certified as stable, or experienced notable stability concerns, as identified by an independent engineer (even if later certified as stable by the same or a different firm)?",No,No,No,No,No,No,No,No,
,,,,,,Do you have internal/in house engineering specialist oversight of this facility? Or do you have external engineering support for this purpose? ,Internal,Internal,Internal,Internal,Internal & External,Internal & External,Internal & External,Internal & External,
,,,,,,"Has a formal analysis of the downstream impact on communities, ecosystems and critical infrastructure in the event of catastrophic failure been undertaken and to reflect final conditions? If so, when did this assessment take place? ",No,No,No,No,Yes - 2019,Yes - 2022,Yes - 2017,No,
,,,,,,"Is there a) a closure plan in place for this dam, and b) does it include long term monitoring?",No,No,No,No,Yes,Yes,Yes,No,
,,,,,,"Have you, or do you plan to assess your tailings facilities against the impact of more regular extreme weather events as a result of climate change, e.g. over the next two years?",Yes,Yes,Yes,Yes,Yes ,Yes,Yes ,Yes,
,,,,,,"Any other relevant information and supporting documentation.  

Please state if you have omitted any other exposure to tailings facilities through any joint ventures you may have.",,No information available from previous owner,No information available from previous owner,No information available from previous owner,,,,"Tailings source is the Albemarle Lithium Hydroxide Plant in Kemerton, Western Australia.",
