Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
4,,CONTENTS,,,,,WASTE & TAILINGS,,,,,,,,,,,
7,,,,,,,"We are committed to appropriately managing and reducing waste generated from our operations and sites. Our mining operations generate mining-related waste including waste rock and tailings, and non-mineral waste streams in the form of general waste, comingled recycling, construction and demolition, tyres and rubber, and hazardous waste types including liquid, solid and septic waste. \n\nTo ensure waste is appropriately managed, MinRes monitors and reports on all hazardous and non-hazardous waste streams in accordance with the Waste Avoidance and Resource Recovery Act 2007 and landfill licence conditions issued by the Department of Water and Environmental Regulation.\n\nOur waste performance metrics are detailed below.",,,,,,,,,,,
15,,,,,,,GRI 306 | Waste,,,,,,,,,,,
16,,,,,,,GRI G4 - EN23 | Effluents and Waste,,,,,,,,,,,
17,,,,,,,Table 1: Waste rock,,,,,,,,,,,
18,,,,,,,,Unit '000 WMT,,,,,,,,,,
19,,,,,,,,Operation,FY17,FY18,FY19,FY20,FY21,FY22,FY23,Trend from FY22,,
20,,,,,,,Yilgarn Hub (Iron Ore),Koolyanobbing,24726.20755109467,7870.028846606787,13582.349999999999,38765.2253427682,51301.0341585485,51553,29786,-0.4222256706690202,,
21,,,,,,,Pilbara HubÃ (Iron Ore),Iron Valley,6406.974999999999,8960.311714899999,10908.962700000004,11176.752,28815.604,20205,11827,-0.41464983914872555,,
22,,,,,,,,Wonmunna,-,-,-,-,3603.302,14791,16854,0.13947670880941113,,
23,,,,,,,Lithium Commodities,Mt Marion,5583.493,19615.435599999997,18980.389,25400.817,27653.555,29196,43375,0.4856487190026031,,
24,,,,,,,,Wodgina,1554.495,26158.778388681032,4768.046,1540.370825,176,609,9201,14.108374384236454,,
25,,,,,,,,Total,38271,62605,48240,76883,111549.4951585485,116356,111043,-0.045661590291862904,,
28,,,,,,,Table 2: Non-mineral waste,,,,,,,,,,,
29,,,,,,,Waste Type (tonnes),FY18,FY19,FY20,FY21,FY22,FY23,Trend from FY22,Disposal method,,,
30,,,,,,,Non-hazardous waste,,,,,,,,,,,
31,,,,,,,General waste,2479.83655,1898.2214000000008,2322.4305000000004,1801.4820999999997,3369,7128,1.1157613535173643,Disposal - Landfilling,,,
32,,,,,,,Comingled waste1,42.662000000000006,53.646999999999984,47.074,43.977999999999966,219.15,227,0.0358202144649783,Recovery - Recycling,,,
33,,,,,,,Construction & demolition waste,186.17000000000002,230.44,103.49000000000001,25.4486,83,201,1.4216867469879517,Recovery - Recycling,,,
34,,,,,,,Tyres & rubber,1001.1011599999999,1092.493,354.62999999999994,630.403,1275,1474.6859999999997,0.15661647058823505,Disposal - Landfilling,,,
35,,,,,,,,-,-,-,-,-,188.88000000000002,-,Recovery - Recycling,,,
36,,,,,,,Liquid waste,-,-,-,-,6.800000000000001,9,0.32352941176470573,Recovery & Disposal - Treatment and Disposal,,,
37,,,,,,,Scrap metal recycled,-,-,-,-,1340.667,1676,0.25012400543908375,Recovery - Recycling,,,
38,,,,,,,Organics2,-,-,-,-,-,299.24,-,Recovery - Other (Composting),,,
39,,,,,,,Sub total,3709.7697099999996,3274.8014000000007,2827.624500000001,2501.3116999999997,6293.617,11203.805999999999,0.7801855435435614,,,,
40,,,,,,,Hazardous waste,,,,,,,Trend from FY22,,,,
41,,,,,,,Medical Waste3,-,-,-,-,-,-,-,Disposal - Incineration (without energy recovery),,,
42,,,,,,,Liquid waste,731.44,741.7879999999999,875.1639999999999,1370.4679999999994,1715.8741573333332,2944,0.7157435394768789,Recovery - Recycling,,,
43,,,,,,,Solid waste,14.005,13.875700000000002,14.125000000000002,130.416,606.7332,1114.5498500000003,0.836968621463273,Recovery & Disposal - Treatment and Disposal,,,
44,,,,,,,,-,-,-,-,-,8.158000000000001,-,Recovery - Recycling,,,
45,,,,,,,Septic waste4,101823.959,86919.44,83745.18999999999,108644.52399999999,143152.63003030303,156438,0.0928056296757152,Recovery & Disposal - Treatment and Disposal,,,
