Unnamed: 0,Financial inclusion by product type and region,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,Financial inclusion,2023.0,2022,2021.0,2020.0,2019.0,,,,,,,
1,Australia1,,,,,,,,,,,,
2,Number of Australians assisted with microfinance products/services,87692.0,68932,61038.0,66372.0,71817.0,,,,,,,
3,Number of microfinance loans written,40940.0,31804,31161.0,31607.0,34215.0,,,,,,,
4,Value of microfinance loans written ($m),69.0,46.7,38.0,36.0,38.0,,,,,,,
5,Number of microfinance loans written since inception,378304.0,337364,305560.0,274399.0,242792.0,,,,,,,
6,Value of microfinance loans written since inception ($m),483.0,414,367.0,329.0,294.0,,,,,,,
7,New Zealand2,,,,,,,,,,,,
8,Total number of loans and advances written3,11870.0,13948,949.0,1037.0,760.0,,,,,,,
9,Total value of loans and advances written (NZ$m),14.8,5.4,3.5,3.3,2.1,,,,,,,
10,Number of NILS loans provided Ã¢ÂÂ cumulative,1979.0,1909,1768.0,1387.0,868.0,,,,,,,
11,Number of Good loans provided Ã¢ÂÂ cumulative3,2647.0,2242,1963.0,1483.0,1049.0,,,,,,,
12,Number of Habitat for Humanity loans provided Ã¢ÂÂ cumulative,346.0,282,186.0,98.0,14.0,,,,,,,
13,Number of Money Sweetspot loans provided Ã¢ÂÂ cumulative4,374.0,,,,,,,,,,,
14,Total number of microfinance loans provided Ã¢ÂÂ cumulative,5346.0,4433,3917.0,2968.0,1931.0,,,,,,,
15,Total value of microfinance loans provided Ã¢ÂÂ cumulative (NZ$m),26.4,14.4,12.0,8.5,5.2,,,,,,,
16,Total number of PaySauce advances provided - cumulative5,26669.0,15712,2280.0,,,,,,,,,
17,Total value of PaySauce advances provided Ã¢ÂÂ cumulative (NZ$m)5,6.2,3.4,0.48,,,,,,,,,
18,"1. Products provided in partnership with Good Shepherd Australia New Zealand. Cumulative data since 2003. Cumulative totals include retired products (StepUP, AddsUP, Speckle and Community Development Financial Institution loans). From 2022, all products provided are No Interest Loans Scheme (NILS) products.",,,,,,,,,,,,
19,"2. In partnership with Good Shepherd New Zealand, Habitat for Humanity, Good loans and PaySauce, cumulative data since 2014.",,,,,,,,,,,,
20,3. Good loans (previously known as StepUP loans until 2022) provides interest and fee free via third party Good Shepherd NZ.,,,,,,,,,,,,
21,"4. Money Sweetspot is a new partnership launched in December 2022. Offering loans of $2,000 - $40,000 for the purposes of a ""financial reset loan"" alongside financial education. Financial Reset loans allow customers to combine multiple debts into one loan with one regular loan repayment.",,,,,,,,,,,,
22,"5. PaySauce pilot launched in March 2021 and expanded in March 2022. The service offers employees access to money they are already owed for work already done ahead of payday, avoiding having to resort to PayDay lenders.",,,,,,,,,,,,
24,Number of microfinance products/services provided to Aboriginal and Torres Strait Islander customers - Australia,2023.0,2022,2021.0,2020.0,2019.0,,,,,,,
25,Total number of Microfinance loans provided to Aboriginal and Torres Strait Islander customers,10575.0,8044,7344.0,6906.0,6725.0,,,,,,,
43,"Note: In 2022, a variation of the NILS product was introduced for the purchasing of vehicles. This expanded the maximum limit of loans from $2,000 to $5,000. NAB has experienced an increase in the total dollar value of loans provided through this change since 2022.",,"Note: Increase in value of loans in 2023 through expansion of PaySauce, Good loans and the launch of Money Sweetspot.",,,,,,,,,,
45,Hardship assistance,,,,,,,,,,,,
46,Financial hardship assistance,2023.0,2022,2021.0,2020.0,2019.0,,,,,,,
47,Australia,,,,,,,,,,,,
48,Total number of NAB Assist customer accounts in financial hardship1,15354.0,15654,22927.0,26621.0,19673.0,,,,,,,
49,Cure rate (percentage of customers with accounts back on track with repayments 30 days after receiving assistance2),0.9288,0.93,0.93,0.86,0.899,,,,,,,
50,Cure rate (percentage of customers with accounts back on track with repayments 90 days after receiving assistance2),0.9658,0.97,0.97,0.94,0.96,,,,,,,
51,New Zealand,,,,,,,,,,,,
52,Number of customers assisted experiencing financial hardship,214.0,422,764.0,414.0,402.0,,,,,,,
53,"1. In 2023 NAB Assist monitored and reported the number of distinct financial hardship accounts at any point in time over the 12 month period. The 2022 figure has been restated but not assured by EY. Figures prior to 2022 are number of unique primary customers approved with hardship assistance for home loans, credit cards and personal loans, 2023 data contains all products excluding Advantedge. Figures exclude ubank.",,,,,,,,,,,,
54,2. Cure rate represents the percentage of accounts cured from delinquency past day 0 to day 30 (inclusive) and day 90 (inclusive).,,,,,,,,,,,,
