Global Reporting Initiative (GRI) Standards index (GRI universal standards 2021),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,Disclosure 303-2 Management of water discharge-related impacts,Sustainability Data Pack - Position,link,78,,,
,Disclosure 303-3 Water withdrawal,Sustainability Data Pack - Position,link,78,,,
,Disclosure 303-4 Water discharge,Sustainability Data Pack - Position,link,78,,,
,Disclosure 303-5 Water consumption,Sustainability Data Pack - Position,link,78,,,
GRI 304: Biodiversity 2016,"Disclosure 304-1 Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",Biodiversity and natural capital (p39-41),link,78,,,
,"Disclosure 304-2 Significant impacts of activities, products and services on biodiversity",Biodiversity and natural capital (p39-41),link,78,,,
,Disclosure 304-3 Habitats protected or restored,Biodiversity and natural capital (p39-41),link,78,,,
,Disclosure 304-4 IUCN Red List species and national conservation list species with habitats in areas affected by operations,"N/A, the Group's operations are located in urban environments where they are not located in habitats with high conservation value.",link,,,,
GRI 305: Emissions 2016,Disclosure 305-1 Direct (Scope 1) GHG emissions,Sustainability Data Pack - GHG Emissions,link,78,,,
,Disclosure 305-2 Energy indirect (Scope 2) GHG emissions,Sustainability Data Pack - GHG Emissions,link,78,,,
,Disclosure 305-3 Other indirect (Scope 3) GHG emissions,Sustainability Data Pack - GHG Emissions,link,78,,,
,Disclosure 305-4 GHG emissions intensity,Sustainability Data Pack - Position,link,78,,,
,Disclosure 305-5 Reduction of GHG emissions,Sustainability Data Pack - GHG Emissions,link,78,,,
,Disclosure 305-6 Emissions of ozone-depleting substances (ODS),2022 CDP Climate Change report - C6.4a (p44),link,78,,,
,"Disclosure 305-7 Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",Sustainabiltiy data pack - GHG Emissions,link,79,,,
GRI 306: Effluents and Waste 2016,Disclosure 306-1 Water discharge by quality and destination,2022 CDP Climate Change report - C6.5 (p49),link,78,,,
,Disclosure 306-2 Waste by type and disposal method,Sustainability Data Pack - Position,link,,,,
,Disclosure 306-3 Significant spills,No significant spills in 2023,link,,,,
,Disclosure 306-4 Transport of hazardous waste,"talk to property, Uyen - Kyle, Michale, Isamu",link,,,,
,Disclosure 306-5 Water bodies affected by water discharges and/or runoff,"N/A, the Group's operations are located in urban environments where we discharge to the system, therefore we don't have any",link,,,,
GRI 306: Waste 2020,Disclosure 306-1 Waste generation and significant waste-related impacts,The Group's waste is largely from commerical buidlings\nOther,link,78,,,
,Disclosure 306-2 Management of significant waste-related impacts,2022 CDP Climate Change report - C4.2b (p32-33),link,78,,,
,Disclosure 306-3 Waste generated,2022 CDP Climate Change report - C4.2b (p32-33)\nSustainability Data Pack - Position,link,78,,,
,Disclosure 306-4 Waste diverted from disposal,2022 CDP Climate Change report - C4.2b (p32-33)\nSustainability Data Pack - Position,link,,,,
,Disclosure 306-5 Waste directed to disposal,2022 CDP Climate Change report - C4.2b (p32-33)\nSustainability Data Pack - Position,link,,,,
GRI 308: Supplier Environmental Assessment 2016,Disclosure 308-1 New suppliers that were screened using environmental criteria,Sustainability Data Pack - Workforce\nSustainability Data Pack - Culture,link,,,,
,Disclosure 308-2 Negative environmental impacts in the supply chain and actions\ntaken,"P&C,",link,,,,
GRI 401: Employment 2016,Disclosure 401-1 New employee hires and employee turnover,Sustainability Data Pack - Workforce\nSustainability Data Pack - Culture,link,,,,
,Disclosure 401-2 Benefits provided to full-time employees that are not provided to temporary or part-time employees,"P&C,",link,,,,
,Disclosure 401-3 Parental leave,Inclusion and diversity (p33)\nSustainability Data Pack - Culture,link,,,,
GRI 402: Labor/Management Relations 2016,Disclosure 402-1 Minimum notice periods regarding operational changes,EA team,link,,,,
GRI 403: Occupational Health and Safety 2018,Disclosure 403-1 Occupational health and safety management system,"Health, safety and wellbeing (p35)",link,,,,
,"Disclosure 403-2 Hazard identification, risk assessment, and incident investigation","Health, safety and wellbeing (p35)",link,,,,
,Disclosure 403-3 Occupational health services,Sustainability Data Pack - Culture,link,,,,
,"Disclosure 403-4 Worker participation, consultation, and communication on occupational health and safety",Sustainability Data Pack - Culture,link,,,,
,Disclosure 403-5 Worker training on occupational health and safety,Sustainability Data Pack - Culture,link,,,,
,Disclosure 403-6 Promotion of worker health,Sustainability Data Pack - Culture,link,,,,
,Disclosure 403-7 Prevention and mitigation of occupational health and safety\nimpacts directly linked by business relationships,Sustainability Data Pack - Culture,link,,,,
,Disclosure 403-8 Workers covered by an occupational health and safety\nmanagement system,Sustainability Data Pack - Culture,link,,,,
