Global Reporting Initiative (GRI) Standards index (GRI universal standards 2021),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
GRI 2: General disclosures 2021,,Reference to Annual Report\n(unless otherwise stated),Reference,UN Global Compact Principles,,,
2-1 Organizational details,,Cover,link,,,,
2-2 Entities included in the organizationâs sustainability reporting,,Data pack - Home,link,,,,
"2-3 Reporting period, frequency and contact point",,Reporting period: 2023 Repoting Suite\nSustainability Data Pack - Home\nFrequency: Annual\nContact point: social.impact@nab.com.au,link,,,,
2.4 Restatements of information,,Sustainability Data Pack - Home,link,,,,
2.5 Extenal assurance,,EY's limited assurance statement (p56-60)\nWebsite: KPMG's assurance statement,link,,,,
"2.6 Activities, value chain, and other business relationships",,Our business (p12)\nOperating environment (p18-19)\nSustainability Data Pack - Supply Chain\nOperating and financial review (p104),link,7,,,
2.7 Employees,,Our business (p12)\nColleague strategy (p28)\nSustainability Data Pack - People,link,6,,,
2.8 Workers who are not employees,,Sustainability Data Pack - People,link,6,,,
2.9 Governance structure and composition,,Corporate Governance Statement (p61)\nClimate report: Governance (p18-19),link,,,,
2.10 Nomination and selection of the highest governance body,,Board of Directors (p64-68),link,,,,
2-11 Chair of the highest governance body,,Board of Directors (p64-68),link,,,,
2-12 Role of the highest governance body in overseeing the management of impacts,,"Environmental, Social and Governance (ESG) Risk Management (p53-55)",link,,,,
2-13 Delegation of responsibility for managing impacts,,Sustainability approach (p21-25),link,,,,
2-14 Role of the highest governance body in sustainability reporting,,Sustainability approach (p21-25),link,,,,
2-15 Conflicts of interest,,"Board composition, diversity and performance (p74)",link,,,,
2-16 Communication of critical concerns,,Sustainability approach (p21-25)\nWebsite: Human rights approach - Managing concerns and grievances,link,,,,
2-17 Collective knowledge of the highest governance body,,"Board composition, diversity and performance (p75)",link,,,,
2-18 Evaluation of the performance of the highest governance body,,"Board composition, diversity and performance (p74)",link,,,,
2-19 Remuneration policies,,Remuneration Report - Section 1 - Our remuneration framework (p117),link,,,,
2-20 Process to determine remuneration,,Remuneration Report - Section 1 - Our remuneration framework (p117),link,,,,
2-21 Annual total compensation ratio,,Remuneration Report - Section 7 - Group CEO and Group Executive statutory remuneration disclosures (p141),link,,,,
2-22 Statement on sustainable development strategy,,Chair's message (p6)\nCEO's message (p8)\nClimate report: Chair quote (p4)\nClimate report: Chief Climate Officer message (p4),link,,,,
2-23 Policy commitments,,"Environmental - Social and Governance (ESG) Risk Management (p53-55)\nGovernance, conduct and culture (p81-83)",link,10,,,
2-24 Embedding policy commitments,,Corporate Governance Statement (p61)\nRemuneration Report (p117),link,,,,
2-25 Processes to remediate negative impacts,,Colleagues (p30-36)\nWebsite: Human rights approach - Managing concerns and grievances,link,6,,,
2-26 Mechanisms for seeking advice and raising concerns,,Website - Code of Conduct\nWebsite: Human rights approach - Managing concerns and grievances,link,6,,,
2-27 Compliance with laws and regulations,,Risk factors - Compliance risk (p99),link,,,,
2-28 Membership associations,,Website - Our memberships and benchmarking,link,,,,
2-29 Approach to stakeholder engagement,,Stakeholder engagement (p23),link,,,,
2-30 Collective bargaining agreements,,Enterprise Agreement (p36)\nData Pack - Remuneration,link,3,,,
GRI 3: Material Topics 2021,,Reference to Annual Report\n(unless otherwise stated),Reference,UN Global Compact Principles,,,
3-1 Process to determine material topics,,What matters most (p24),link,,,,
3-2 List of material topics,,What matters most (p24)\nSustainability Data Pack - Home,link,,,,
3-3 Management of material topics,,Sustainability approach (p21)\nWhat matters most (p24),link,6,,,
GRI Topic disclosure,,Reference to Annual Report\n(unless otherwise stated),External assurance,UN Global Compact Principles,,,
"NAB's annual ESG materiality assessment is designed to identify and prioritise the ESG areas of most relevance to NAB's performance, its stakeholders, and where it can potentially have the biggest impacts on society. The outcomes guide reporting and decision-making, to help ensure NAB addresses the ESG topics that matter most.\nBelow table includes GRI indicators that are material to NAB and NAB's stakeholders.",,,,,,,
GRI 201: Economic Performance 2016,Disclosure 201-1 Direct economic value generated and distributed,Operating and financial review (p104),link,,,,
,Disclosure 201-2 Financial implications and other risks and opportunities due to climate change,Climate report - Risk management (p22),link,,,,
