Corporate Community Investment (CCI),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Community investment ($m) by category1,2023,2022.0,2021.0,2020.0,2019.0,,,,,,,
Cash contributions2,,,,,,,,,,,,
   Charitable gifts and donations,36.8,16.9,30.0,2.4,1.7,,,,,,,
   Community investments,2.2,2.9,7.8,10.0,12.5,,,,,,,
   Commercial initiatives,10.1,9.3,9.7,10.7,12.2,,,,,,,
Total cash contributions,49,29.1,47.5,23.1,26.4,,,,,,,
In-kind contributions,,,,,,,,,,,,
   In-kind volunteering3,3.8,2.0,1.1,3.0,6.8,,,,,,,
   In-kind support4,0,0.0,0.3,0.3,0.3,,,,,,,
Total in-kind contributions,3.8,2.0,1.4,3.3,7.1,,,,,,,
Management costs,2.7,3.2,3.7,3.8,4.9,,,,,,,
Total CCI (excluding foregone fee revenue),55.6,34.3,52.6,30.2,38.4,,,,,,,
   Total CCI (excluding foregone fee revenue) % of pre-tax profit5,0.51% ,0.0035,0.0057,0.00548,0.0046,,,,,,,
Foregone fee revenue6,23.6,11.4,11.9,12.5,12.8,,,,,,,
Total CCI,79.2,45.7,64.6,42.8,51.2,,,,,,,
   Total CCI % of pre-tax profit ,0.73% ,0.0046,0.007,0.0077,0.0061,,,,,,,
1. Numbers in table may not sum due to rounding.,,,,,,,,,,,,
"2. NAB has increased its contributions to the NAB Foundation to significantly increase its size and scope. This investment has permanently increased NAB Foundation’s capacity to provide long-term stable funding for programs and partnerships with community organisations. As a result, there has been an increase in NAB's community investment (charitable gifts and donations) since 2021. Please see p45 of 2023 Annual Report for further details.",,,,,,,,,,,,
3. Decline in in-kind volunteering since 2020 predominantly a result of COVID-19 related restrictions.,,,,,,,,,,,,
"4. Prior to 2022, in-kind support has been to a not-for-profit organisation where NAB funded its office space. Since 2022, the nature of this arrangement changed and NAB provided support in the form of a donation instead. ",,,,,,,,,,,,
"5. 'Pre-tax profit' refers to cash earnings before tax, refer NAB's 2023 Annual Report. Pre-tax profit has not been assured by EY.",,,,,,,,,,,,
6. Forgone revenue includes foregone fees and interest paid. ,,,,,,,,,,,,
,,,,,,,,,,,,
Community investment ($m) by category1,2023,,,,,,,,,,,
Charitable gifts and donations,36.8,,,,,,,,,,,
Community investments,2.2,,,,,,,,,,,
Commercial initiatives,10.1,,,,,,,,,,,
In-kind volunteering,3.8,,,,,,,,,,,
In-kind support,0,,,,,,,,,,,
Management costs,2.7,,,,,,,,,,,
Foregone fee revenue,23.6,,,,,,,,,,,
Total community investment,79.2,,,,,,,,,,,
1. Numbers in table may not sum due to rounding.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Community investment ($m) by region,2023,2022.0,2021.0,2020.0,2019.0,,,,,,,
Australia,64.1,39.8,58.0,36.4,43.6,,,,,,,
New Zealand,14.8,5.8,6.7,6.2,6.7,,,,,,,
"USA, UK, Europe and Asia",0.2,0.1,0.04,0.3,0.9,,,,,,,
,,,,,,,,,,,,
Breakdown of investment (%) by focus area1,2023,2022.0,2021.0,2020.0,2019.0,,,,,,,
Arts and culture,0.5,1.0,1.0,1.0,1.0,,,,,,,
Disadvantage/social welfare,6,9.0,14.0,37.0,39.0,,,,,,,
Education and young people,2.4,5.0,3.0,6.0,5.0,,,,,,,
Emergency relief,31.7,1.0,0.4,2.0,1.0,,,,,,,
Enterprise and economic development,0.7,2.0,1.0,3.0,4.0,,,,,,,
Environment and bio-diversity,15.4,47.0,0.5,1.0,3.0,,,,,,,
Health and medical research,0.3,0.0,0.1,0.1,1.0,,,,,,,
Sport,19.7,30.0,18.0,39.0,38.0,,,,,,,
Other issues,23.4,5.0,62.0,10.0,8.0,,,,,,,
"1. Calculation based on ‘cash contributions’ as other areas (e.g. volunteering) are difficult to classify towards a certain focus area. The majority of ""Other issues"" expenditure will be focused on helping people and places better prepare for natural disasters and assisting in their long-term recovery as facilitated by the NAB Foundation and community grants programs. ",,,,,,,,,,,,
,,,,,,,,,,,,
Volunteering,,,,,,,,,,,,
Volunteering,2023,2022.0,2021.0,2020.0,2019.0,,,,,,,
Number of volunteer days completed - Group,6832,3712.0,2362.0,6018.0,13464.0,,,,,,,
Value of volunteer days completed - Group ($m)1,3.8,2.0,1.1,3.0,6.8,,,,,,,
Australia,,,,,,,,,,,,
% of colleagues who took volunteer leave2,0.11,0.07,0.04,0.14,0.27,,,,,,,
Number of volunteers3,3582,2084.0,1013.0,4016.0,7550.0,,,,,,,
Number of general volunteer days completed,4248,2222.0,1020.0,4286.0,9424.0,,,,,,,
Number of skilled volunteer days completed,1037,556.0,269.0,656.0,1223.0,,,,,,,
"1. Value of volunteering days, calculated using average daily salaries by employment level, contributed by NAB colleagues to charitable organisations in Australia, New Zealand and - through our global branch network - in London, New York and parts of Asia. Note significant decrease in volunteering contribution since 2020 is due to COVID-19 restrictions on activity (e.g. lockdowns).",,,,,,,,,,,,
2. Calculated as total number of colleagues who took any amount of volunteer leave divided by total number of colleagues as at 30 September.,,,,,,,,,,,,
3. Figure is not assured by EY. ,,,,,,,,,,,,
