"Other environmental performance indicators (water, waste, paper, recycling, travel)1",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Other environmental performance indicators,Units,% change from prior year,2023,2022,2021.0,2020,2019,,,
"Office paper purchased (A3, A4 and A5)",tonnes,0.12,188,168,233.0,397,511,,,
"Office paper purchased (A3, A4 and A5) per FTE",kg/FTE,0.03,5,5,7.0,11,15,,,
Online statements,count,0.11,6103538,5520247,6110873.0,5485185,5254464,,,
Printed statements,count,-0.06,2165638,2311732,2664073.0,2927482,2937744,,,
Online only statements (percentage)2,%,,0.74,0.7,0.7,0.65,0.64,,,
Materials recycled/diverted from landfill (includes incineration),tonnes,0.1,1097,997,1367.0,2038,2083,,,
Waste generated,tonnes,0.06,1717,1623,2105.0,3489,3954,,,
Waste to landfill per FTE,kg/FTE,-0.11,17,19,21.0,42,55,,,
Waste diverted from landfill (percentage)2,%,0.05,0.64,0.61,0.65,0.58,0.53,,,
Water use (includes waste water),kL,0.09,181331,165989,195552.0,308912,391050,,,
Work use vehicles,number,0.02,1446,1415.9999999999998,1600.0,1791,1819,,,
Work use vehicles fuel consumption,kL,0.17,2095,1797,2278.0,2711,3358,,,
Air travel,pkms,0.26,18616,14750,9175.0,73196,118099,,,
Hotel stays,nights,1.63,42864,16325,13644.0,50460,69276,,,
"1. Figures include data relating to Citi consumer business, Europe, Vietnam and India operations where relevant from 2022.",,,,,,,,,,
"2. Customer statement data is as at 30 June 2023. As these indicators are a percentage outcome, the 'change' value is N/A.",,,,,,,,,,
,,,,,,,,,,
Paper purchased by geography (%),2023,,,,,,,,,
Australia,0.601,,,,,,,,,
UK,0.006,,,,,,,,,
New Zealand,0.376,,,,,,,,,
USA,0.001,,,,,,,,,
 ,0.0008,,,,,,,,,
Asia,0.015,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Summary of emissions reduction and renewable energy opportunities investigated – as at 30 June 2023,,,,,,,,,,
Development stage,Total project number,,Total estimated annual (tCO2-e),,,,,,,
Under investigation,5,,804,,,,,,,
Implementation commenced,3,,93,,,,,,,
Implemented1,938,,507284,,,,,,,
Not to be implemented1,381,,297141,,,,,,,
Total,1327,,805322,,,,,,,
"1. Projects implemented or not to be implemented from 1 July 2006 to 30 June 2023.
",,,,,,,,,,
,,,,,,,,,,
Examples of energy efficient and renewable energy opportunities implemented in EY 20231,,,,,,,,,,
Activity type,Description,,,Estimated annual CO2-e savings (metric tonnes),,Investment (AUD)2,Annual savings (AUD),Estimated payback period (yrs)2,Estimated initiative life time (yrs),
Office Upgrade,Moving into an energy efficient coporate office in New York,,,9,,0,7144,0,NR,
Network sites improvements,Installing timed hot water units,,,,1.0,0,430,0,NR,
Lighting Upgrade,Upgrading end of life lighting at 700 Bourke Building,,,31,,134928,11112,12,NR,
"1. As a result of our focus on major buildings and the purchase of renewable energy over the past few years, fewer other energy saving initiatives have been identified and implemented. A focus on lighting and HVAC upgrades across our Australian building portfolio including branches and business banking centres has continued and we plan to reassess outstanding energy efficiency initiatives and refresh our pipeline of energy efficiency opportunities in 2024.",,,,,,,,,,
"2. A project with no investment (AUD$) or payback value indicates that the environmental specific spend and payback cannot be separated from the cost of the underlying core project. Where specific spend and payback cannot be identified, it is not calculated.
",,,,,,,,,,
