PEOPLE,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Performance metric,Spreadsheet tab,,,,
Full-time equivalent colleagues,Workforce,,,,
Workforce by contract type and gender (headcount),Workforce,,,,
Colleague distribution by employment type,Workforce,,,,
Colleague distribution by geographic region,Workforce,,,,
Progress against 2021-2025 Inclusion and Diversity Measurable Objectives,Workforce,,,,
Permanent workforce by employment level and gender,Workforce,,,,
Permanent workforce by tenure and gender,Workforce,,,,
Permanent workforce by age and gender,Workforce,,,,
Permanent workforce age profile,Workforce,,,,
Females in STEM-related positions,Workforce,,,,
Workforce by gender identity,Workforce,,,,
Workforce Transgender representation,Workforce,,,,
Workforce Intersex representation,Workforce,,,,
Workforce Sexual Orientation,Workforce,,,,
People with disability,Workforce,,,,
Indigenous workforce metrics,Workforce,,,,
Race/ethnicity respresentation,Workforce,,,,
Workforce with unpaid caring responsibilities,Workforce,,,,
Workforce by carer type,Workforce,,,,
Flexible Working Options Utilisation,Workforce,,,,
Employee engagement,Culture,,,,
Code of conduct breaches,Culture,,,,
Whistleblower disclosures,Culture,,,,
Colleague turnover rate,Culture,,,,
High performer retention,Culture,,,,
Hiring,Culture,,,,
Parental leave - return to work rate (by gender),Culture,,,,
Long term injury frequency rate (LTIFR),Culture,,,,
Absenteeism,Culture,,,,
Basic salary female to male ratio (by location),Remuneration,,,,
New Zealand basic salary female to male ratio (using local pay scale bands),Remuneration,,,,
Performance-related compensation as a percentage of total compensation,Remuneration,,,,
Colleagues covered by collective bargaining agreements,Remuneration,,,,
No. consultations/negotiations with trade unions over organisational change,Remuneration,,,,
Employment pathways and development programs,Training,,,,
Average training hours per colleague,Training,,,,
