"Remuneration, compensation and colleague relations",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
Basic salary women to men ratio (by employment level and location)1,2023,2022.0,2021.0,2020.0,2019.0,,,,,,,
Australia,,,,,,,,,,,,
Group 7 (Executive Leadership Team),0.76,0.8,0.75,0.78,0.75,,,,,,,
Group 6 (Executive General Managers),1.01,1.0,1.01,0.99,0.96,,,,,,,
Group 5 (Head of functions),0.93,0.93,0.93,0.92,0.92,,,,,,,
Group 4 (Managers),0.96,0.96,0.96,0.97,0.97,,,,,,,
Group 3 (Consultants/Junior management),0.97,0.97,0.96,0.96,0.96,,,,,,,
Group 2 (Analyst/Team Leader),1.01,1.01,1.01,1.01,1.01,,,,,,,
Group 1 (Team member/officer),1.02,1.03,1.01,1.01,1.01,,,,,,,
Asia2,,,,,,,,,,,,
Group 7 (Executive Leadership Team),0,,,,,,,,,,,
Group 6 (Executive General Managers),N/A3,1.95,1.77,0.36,,,,,,,,
Group 5 (Head of functions),1.05,1.06,1.13,1.09,1.07,,,,,,,
Group 4 (Managers),1.15,1.19,0.87,0.83,0.85,,,,,,,
Group 3 (Consultants/Junior management),0.98,1.13,1.01,0.99,0.87,,,,,,,
Group 2 (Analyst/Team Leader),0.94,1.18,0.97,0.97,1.01,,,,,,,
Group 1 (Team member/officer),0.95,1.0,,,,,,,,,,
United Kingdom and Europe4,,,,,,,,,,,,
Group 7 (Executive Leadership Team),0,,,,,,,,,,,
Group 6 (Executive General Managers),1.08,,,1.15,,,,,,,,
Group 5 (Head of functions),0.9,0.97,1.0,1.05,1.05,,,,,,,
Group 4 (Managers),0.87,0.85,0.86,0.84,0.86,,,,,,,
Group 3 (Consultants/Junior management),0.9,0.87,0.91,0.84,0.92,,,,,,,
Group 2 (Analyst/Team Leader),0.96,0.85,0.8,0.81,0.77,,,,,,,
Group 1 (Team member/officer),0.64,,,0.75,,,,,,,,
United States of America,,,,,,,,,,,,
Group 7 (Executive Leadership Team),0,,,,,,,,,,,
Group 6 (Executive General Managers),N/A3,0.0,,,,,,,,,,
Group 5 (Head of functions),0.8,0.83,0.83,0.79,0.83,,,,,,,
Group 4 (Managers),0.88,0.88,0.94,0.93,0.88,,,,,,,
Group 3 (Consultants/Junior management),1.16,1.06,0.9,1.01,1.0,,,,,,,
Group 2 (Analyst/Team Leader),0.84,0.93,0.99,1.01,0.95,,,,,,,
Group 1 (Team member/officer),,,,,,,,,,,,
New Zealand5,,,,,,,,,,,,
Group 7 (Executive Leadership Team),,0.0,,,,,,,,,,
Group 6 (Executive General Managers),0.89,0.9,0.9,1.0,0.92,,,,,,,
Group 5 (Head of functions),0.9,0.88,0.9,0.96,0.96,,,,,,,
Group 4 (Managers),0.96,0.96,0.96,0.93,0.93,,,,,,,
Group 3 (Consultants/Junior management),0.95,0.94,0.94,0.95,0.93,,,,,,,
Group 2 (Analyst/Team Leader),0.99,0.99,1.0,0.95,0.95,,,,,,,
Group 1 (Team member/officer),0.99,0.98,0.99,0.97,0.97,,,,,,,
1. Ratio of women to men salary includes full-time and part-time permanent and fixed term colleagues only. The ratio is calculated by dividing women average salary by men average salary per employment level. Salary data excludes contractors. ,,,,,,,,,,,,
2. 2023 figure includes NAB's Banking Services and Innovation Centres in India and Vietnam.,,,,,,,,,,,,
3. Minimum number of colleagues not met for disclosure. Ratios in regions where the number of males or females is less than two are not disclosed.,,,,,,,,,,,,
4. Only FY23 figures include Europe. ,,,,,,,,,,,,
5. BNZ has 12 pay scale bands as opposed to the seven used in the Group. This reflects a different operating model and local market conditions. The 12 pay scale bands have been mapped and aggregated to the Group reporting format above.,,,,,,,,,,,,
,,,,,,,,,,,,
Performance-related compensation as a percentage of total compensation,2023,2022.0,2021.0,2020.0,2019.0,,,,,,,
Group 7 (Executive Leadership Team),49,47.0,0.0,7.0,47.0,,,,,,,
Group 6 (Executive General Managers),35,40.0,20.0,28.0,37.0,,,,,,,
Group 5 (Head of functions),24,28.0,14.0,22.0,27.0,,,,,,,
Group 4 (Managers),16,18.0,10.0,15.0,19.0,,,,,,,
Group 3 (Consultants/Junior management),8,9.0,4.0,7.0,10.0,,,,,,,
Group 2 (Analyst/Team Leader),2,5.0,2.0,5.0,6.0,,,,,,,
Group 1 (Team member/officer),0.4,3.0,1.0,3.0,3.0,,,,,,,
,,,,,,,,,,,,
Colleague relations,,,,,,,,,,,,
Colleague relations,2023,2022.0,2021.0,2020.0,2019.0,,,,,,,
Colleagues covered by collective bargaining agreements,,,,,,,,,,,,
Australia1,1,1.0,1.0,1.0,1.0,,,,,,,
New Zealand,0.085,0.12,0.09,0.08,0.06,,,,,,,
"Number of consultations/negotiations with trade unions over organisational change (restructures outsourcing, etc)",,,,,,,,,,,,
Australia,95,77.0,110.0,136.0,70.0,,,,,,,
1. Coverage excludes colleagues from 86 400 because collective bargaining agreements only apply to NAB employees. ,,,,,,,,,,,,
